step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.827,0.9544,0.827,0.8289,0.2771,0.5468,0.8964,0.827,29.6018
1,0.8358,0.9585,0.8358,0.8363,0.257,0.5096,0.9011,0.8358,31.0362
2,0.8504,0.963,0.8504,0.8503,0.2299,0.4488,0.9066,0.8504,31.9216
3,0.8574,0.9661,0.8574,0.8574,0.216,0.4209,0.9145,0.8574,32.4714
4,0.8625,0.9665,0.8625,0.8624,0.2088,0.409,0.9158,0.8625,32.0581
5,0.866,0.9685,0.866,0.8657,0.2034,0.3991,0.9203,0.866,31.9825
6,0.8725,0.9698,0.8725,0.8722,0.1956,0.3901,0.9243,0.8725,31.7161
7,0.873,0.9702,0.873,0.8731,0.1943,0.3847,0.9242,0.873,30.2948
8,0.8675,0.9694,0.8675,0.8674,0.1992,0.3904,0.9226,0.8675,31.7554
9,0.8712,0.9701,0.8712,0.8712,0.1954,0.3868,0.9237,0.8712,30.9331
10,0.8729,0.971,0.8729,0.8729,0.1924,0.3832,0.9257,0.8729,31.5405
11,0.8768,0.972,0.8768,0.8767,0.1879,0.3783,0.9285,0.8768,30.1933
12,0.8802,0.9727,0.8802,0.8801,0.1852,0.376,0.9307,0.8802,30.2398
13,0.8794,0.9729,0.8794,0.8793,0.1856,0.3769,0.9308,0.8794,30.4346
14,0.879,0.9734,0.879,0.879,0.1849,0.3763,0.932,0.879,27.448
15,0.8783,0.9736,0.8783,0.8783,0.185,0.376,0.9327,0.8783,27.9868
16,0.8802,0.974,0.8802,0.88,0.1829,0.3751,0.9337,0.8802,27.8915
17,0.881,0.9741,0.881,0.8808,0.1822,0.3751,0.9342,0.881,28.1222
18,0.8812,0.974,0.8812,0.8811,0.1822,0.3773,0.934,0.8812,27.6586
19,0.8825,0.974,0.8825,0.8825,0.1802,0.3755,0.9341,0.8825,27.3118
20,0.881,0.9736,0.881,0.881,0.1832,0.3757,0.9325,0.881,28.0272
21,0.8821,0.9738,0.8821,0.8821,0.1812,0.3765,0.9332,0.8821,28.6667
22,0.8814,0.9736,0.8814,0.8814,0.182,0.3786,0.9326,0.8814,26.8427
23,0.8826,0.9739,0.8826,0.8826,0.1806,0.3781,0.9333,0.8826,27.3108
24,0.8821,0.9738,0.8821,0.8818,0.1819,0.3756,0.9333,0.8821,28.2806
25,0.8817,0.9739,0.8817,0.8814,0.1833,0.3786,0.9334,0.8817,28.4988
26,0.8823,0.974,0.8823,0.882,0.1818,0.3782,0.934,0.8823,29.2044
27,0.8833,0.9741,0.8833,0.8831,0.1801,0.376,0.9343,0.8833,27.4837
28,0.8846,0.9743,0.8846,0.8845,0.1791,0.3749,0.9351,0.8846,29.16
29,0.8852,0.9746,0.8852,0.8851,0.1778,0.3748,0.936,0.8852,27.3465
30,0.8844,0.9744,0.8844,0.8844,0.179,0.3795,0.9357,0.8844,28.5924
31,0.8828,0.9741,0.8828,0.8828,0.1807,0.3839,0.9351,0.8828,27.8409
32,0.8832,0.9743,0.8832,0.8833,0.1806,0.3836,0.9355,0.8832,27.7008
33,0.884,0.9745,0.884,0.8839,0.1795,0.3829,0.9359,0.884,29.2029
34,0.8849,0.9746,0.8849,0.8848,0.1791,0.3817,0.9359,0.8849,28.8417
35,0.8859,0.9751,0.8859,0.8857,0.1774,0.3772,0.9368,0.8859,27.9695
36,0.885,0.9755,0.885,0.8849,0.1764,0.3711,0.9372,0.885,28.3278
37,0.8875,0.9756,0.8875,0.8874,0.1749,0.371,0.9377,0.8875,28.5075
38,0.8863,0.9757,0.8863,0.8862,0.1752,0.3702,0.9378,0.8863,27.253
39,0.8874,0.9759,0.8874,0.8872,0.1741,0.3689,0.9382,0.8874,27.7924
40,0.8872,0.9762,0.8872,0.887,0.1738,0.365,0.9386,0.8872,29.351
41,0.8862,0.976,0.8862,0.8861,0.1751,0.368,0.9382,0.8862,28.6122
42,0.8855,0.9759,0.8855,0.8853,0.1766,0.3731,0.938,0.8855,28.9549
43,0.8864,0.976,0.8864,0.8863,0.1753,0.3663,0.9381,0.8864,27.8955
44,0.8866,0.976,0.8866,0.8865,0.1745,0.3666,0.9381,0.8866,28.0316
45,0.887,0.9762,0.887,0.8868,0.1736,0.3634,0.938,0.887,28.3738
46,0.8871,0.9764,0.8871,0.887,0.1732,0.3612,0.9385,0.8871,28.6794
47,0.8868,0.9764,0.8868,0.8866,0.1734,0.3609,0.9384,0.8868,27.4057
48,0.8874,0.9765,0.8874,0.8873,0.1733,0.3616,0.9385,0.8874,28.8417
49,0.8869,0.9764,0.8869,0.8867,0.1737,0.3619,0.9382,0.8869,28.5407
50,0.8868,0.9765,0.8868,0.8866,0.1736,0.3629,0.9383,0.8868,28.5421
51,0.8875,0.9764,0.8875,0.8873,0.1732,0.3626,0.9382,0.8875,28.5482
52,0.8881,0.9766,0.8881,0.888,0.1721,0.361,0.9388,0.8881,29.8763
53,0.889,0.9766,0.889,0.8889,0.1715,0.3595,0.9388,0.889,28.7855
54,0.8881,0.9766,0.8881,0.888,0.1716,0.3596,0.939,0.8881,29.5131
55,0.8882,0.9767,0.8882,0.8881,0.1716,0.3568,0.939,0.8882,28.051
56,0.8889,0.9767,0.8889,0.8888,0.1713,0.357,0.9389,0.8889,27.9657
57,0.8896,0.9766,0.8896,0.8895,0.1711,0.357,0.9389,0.8896,27.4947
58,0.8891,0.9767,0.8891,0.8889,0.1705,0.3567,0.9391,0.8891,28.1934
59,0.8896,0.9767,0.8896,0.8895,0.1706,0.3578,0.9392,0.8896,28.718
