step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.25,0.5,0.25,0.1,1.5,27.0327,0.25,0.25,146.9602
1,0.3325,0.5954,0.3325,0.2238,0.9858,18.3292,0.3528,0.3325,37.8895
2,0.2665,0.6482,0.2665,0.1326,1.118,18.383,0.4425,0.2665,21.7255
3,0.3105,0.7833,0.3105,0.2133,0.9043,9.7904,0.6338,0.3105,8.0656
4,0.2768,0.7743,0.2768,0.1531,1.0437,9.9478,0.6179,0.2768,4.3648
5,0.2832,0.8344,0.2832,0.1654,0.9438,1.6048,0.7086,0.2832,4.0879
6,0.2827,0.8333,0.2827,0.1644,0.9639,1.6435,0.708,0.2827,7.6546
7,0.2745,0.8245,0.2745,0.1487,1.0156,1.7475,0.6918,0.2745,6.6062
8,0.3289,0.8417,0.3289,0.2342,0.9178,1.6053,0.7196,0.3289,4.7977
9,0.317,0.8176,0.317,0.2171,0.9823,1.7507,0.682,0.317,11.2246
10,0.3084,0.7947,0.3084,0.204,1.0374,1.9068,0.6471,0.3084,7.2171
11,0.3943,0.8394,0.3943,0.3341,0.8486,1.5731,0.7187,0.3943,6.4202
12,0.481,0.867,0.481,0.4127,0.7225,1.4199,0.7575,0.481,8.1319
13,0.4923,0.8665,0.4923,0.429,0.7107,1.4043,0.7558,0.4923,9.8402
14,0.5585,0.8813,0.5585,0.5047,0.6313,1.2759,0.7744,0.5585,6.0509
15,0.5564,0.8819,0.5564,0.5029,0.6392,1.2987,0.7782,0.5564,8.5685
16,0.5992,0.9078,0.5992,0.5767,0.5456,0.9894,0.8186,0.5992,9.6583
17,0.612,0.915,0.612,0.5844,0.5285,0.9677,0.828,0.612,8.2823
18,0.6742,0.9246,0.6742,0.6395,0.4654,0.887,0.838,0.6742,8.4055
19,0.6719,0.9215,0.6719,0.6369,0.4738,0.9025,0.8344,0.6719,9.5238
20,0.6799,0.9245,0.6799,0.6411,0.4633,0.8938,0.8369,0.6799,9.7875
21,0.6746,0.9231,0.6746,0.6343,0.4717,0.9094,0.8357,0.6746,9.4446
22,0.699,0.9376,0.699,0.6737,0.4212,0.7876,0.8618,0.699,8.1719
23,0.7021,0.9385,0.7021,0.6744,0.4154,0.7813,0.8622,0.7021,9.5003
24,0.7067,0.9382,0.7067,0.676,0.4107,0.7755,0.8609,0.7067,10.4108
25,0.7323,0.9415,0.7323,0.7161,0.3787,0.7167,0.8676,0.7323,13.6147
26,0.7439,0.9437,0.7439,0.7329,0.3637,0.6903,0.8728,0.7439,10.3072
27,0.7498,0.9451,0.7498,0.7371,0.3558,0.6773,0.8755,0.7498,12.7913
28,0.7523,0.9458,0.7523,0.739,0.352,0.6711,0.8761,0.7523,10.8205
29,0.7569,0.947,0.7569,0.7425,0.3458,0.6627,0.8774,0.7569,13.3165
30,0.7537,0.9499,0.7537,0.739,0.35,0.6688,0.8836,0.7537,14.3779
31,0.7486,0.9493,0.7486,0.7343,0.3559,0.6768,0.8831,0.7486,12.0369
32,0.7508,0.9498,0.7508,0.7358,0.3527,0.6721,0.8835,0.7508,14.5494
33,0.751,0.9499,0.751,0.7354,0.3514,0.6695,0.8836,0.751,16.9064
34,0.7515,0.9506,0.7515,0.7359,0.3499,0.6662,0.8847,0.7515,14.1818
35,0.7527,0.9506,0.7527,0.7376,0.3483,0.6646,0.8852,0.7527,13.8118
36,0.7499,0.9506,0.7499,0.7351,0.3522,0.671,0.8859,0.7499,18.9495
37,0.7509,0.951,0.7509,0.7349,0.3504,0.6713,0.8863,0.7509,13.5888
38,0.7519,0.9515,0.7519,0.735,0.3487,0.6683,0.8869,0.7519,14.2295
39,0.745,0.9513,0.745,0.7286,0.3562,0.6802,0.8874,0.745,15.1946
40,0.7383,0.9516,0.7383,0.7222,0.366,0.6963,0.8884,0.7383,14.2939
41,0.7347,0.9512,0.7347,0.719,0.3705,0.7033,0.8891,0.7347,25.1329
42,0.7324,0.9511,0.7324,0.7168,0.3736,0.7083,0.8891,0.7324,19.3597
43,0.7323,0.9513,0.7323,0.7167,0.3737,0.7088,0.8898,0.7323,23.13
44,0.7264,0.9508,0.7264,0.7116,0.3815,0.7212,0.8897,0.7264,20.4029
45,0.7356,0.953,0.7356,0.7181,0.369,0.6997,0.8929,0.7356,16.553
46,0.7582,0.9528,0.7582,0.7504,0.3411,0.6494,0.894,0.7582,19.1116
47,0.7774,0.9531,0.7774,0.7738,0.319,0.6016,0.8943,0.7774,19.9656
48,0.794,0.9548,0.794,0.794,0.3019,0.5731,0.8966,0.794,16.4273
49,0.8005,0.956,0.8005,0.799,0.2938,0.5627,0.898,0.8005,21.4214
50,0.8021,0.9563,0.8021,0.8004,0.2916,0.5593,0.8982,0.8021,27.7391
51,0.803,0.9571,0.803,0.8009,0.2892,0.5541,0.8996,0.803,25.7517
52,0.8025,0.957,0.8025,0.8003,0.2901,0.5557,0.8994,0.8025,20.1917
53,0.8047,0.9576,0.8047,0.8021,0.2871,0.5516,0.9002,0.8047,26.0364
54,0.8044,0.9576,0.8044,0.8017,0.2876,0.5523,0.9002,0.8044,17.6029
55,0.7999,0.9571,0.7999,0.7978,0.2918,0.5587,0.8996,0.7999,21.2338
56,0.8075,0.9569,0.8075,0.8069,0.2835,0.5448,0.8994,0.8075,25.7738
57,0.8041,0.9577,0.8041,0.8039,0.2859,0.5486,0.9014,0.8041,28.6275
58,0.8044,0.9575,0.8044,0.8042,0.287,0.5507,0.9014,0.8044,20.5491
59,0.7959,0.9527,0.7959,0.7939,0.3002,0.5778,0.8927,0.7959,25.5749
