step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7661,0.9363,0.7661,0.7571,0.479,0.9112,0.8504,0.7661,0.096
1,0.7569,0.9322,0.7569,0.7618,0.4968,0.9324,0.8427,0.7569,0.6787
2,0.7816,0.9346,0.7816,0.7814,0.4943,0.9296,0.8422,0.7816,1.1671
3,0.805,0.9459,0.805,0.8069,0.4902,0.9225,0.8682,0.805,1.4511
4,0.831,0.9538,0.831,0.8322,0.4724,0.8953,0.8847,0.831,2.0774
5,0.8164,0.953,0.8164,0.8168,0.4819,0.9087,0.8803,0.8164,2.6682
6,0.8207,0.9542,0.8207,0.821,0.4837,0.9108,0.882,0.8207,2.6645
7,0.8105,0.949,0.8105,0.8115,0.4967,0.9292,0.8686,0.8105,3.8746
8,0.8164,0.9528,0.8164,0.8143,0.4802,0.9061,0.8777,0.8164,4.0905
9,0.8078,0.9524,0.8078,0.8064,0.4853,0.9112,0.8774,0.8078,4.7606
10,0.8162,0.9529,0.8162,0.8154,0.4874,0.9161,0.8783,0.8162,4.5315
11,0.814,0.9538,0.814,0.8122,0.4822,0.9065,0.8811,0.814,5.4288
12,0.822,0.9553,0.822,0.8228,0.4837,0.9077,0.8854,0.822,5.9758
13,0.8304,0.9577,0.8304,0.8319,0.4774,0.8971,0.8903,0.8304,6.9818
14,0.838,0.96,0.838,0.8394,0.4782,0.8992,0.8948,0.838,8.6761
15,0.8367,0.9586,0.8367,0.8381,0.4847,0.9071,0.8902,0.8367,8.231
16,0.8309,0.9578,0.8309,0.8324,0.4873,0.9119,0.8896,0.8309,8.7448
17,0.8303,0.958,0.8303,0.8317,0.488,0.9124,0.8891,0.8303,8.989
18,0.8213,0.9573,0.8213,0.8227,0.4872,0.9118,0.8881,0.8213,10.3432
19,0.835,0.9599,0.835,0.8363,0.4874,0.9126,0.8932,0.835,7.704
20,0.8289,0.9584,0.8289,0.8304,0.4844,0.907,0.8919,0.8289,11.5527
21,0.8278,0.9588,0.8278,0.8292,0.4869,0.9117,0.8938,0.8278,11.1518
22,0.822,0.9579,0.822,0.8234,0.4892,0.9155,0.891,0.822,11.1829
23,0.8243,0.959,0.8243,0.8261,0.4899,0.9147,0.8923,0.8243,11.8187
24,0.8283,0.9588,0.8283,0.8295,0.483,0.9031,0.8923,0.8283,14.3179
25,0.826,0.9581,0.826,0.8274,0.4894,0.9131,0.8913,0.826,13.3754
26,0.8215,0.9582,0.8215,0.8231,0.4889,0.9128,0.8901,0.8215,14.452
27,0.8243,0.9591,0.8243,0.8256,0.4889,0.9132,0.8939,0.8243,16.518
28,0.8241,0.9577,0.8241,0.8254,0.4885,0.9118,0.8895,0.8241,18.6071
29,0.8219,0.9578,0.8219,0.8232,0.4914,0.916,0.8898,0.8219,15.6571
30,0.829,0.96,0.829,0.8303,0.4879,0.9102,0.8951,0.829,16.0078
31,0.8225,0.9563,0.8225,0.8239,0.4984,0.9267,0.8851,0.8225,20.1622
32,0.8223,0.9586,0.8223,0.8237,0.4921,0.9166,0.8907,0.8223,20.013
33,0.823,0.9594,0.823,0.8244,0.4916,0.916,0.8937,0.823,19.515
34,0.8235,0.9594,0.8235,0.825,0.4913,0.9148,0.893,0.8235,25.0159
35,0.8262,0.9587,0.8262,0.8276,0.4948,0.9192,0.8912,0.8262,25.7943
36,0.8214,0.9593,0.8214,0.8228,0.4905,0.9125,0.8914,0.8214,24.2709
37,0.8209,0.9584,0.8209,0.8222,0.4957,0.9201,0.8909,0.8209,24.0726
38,0.8172,0.9573,0.8172,0.8186,0.496,0.9208,0.8876,0.8172,28.7752
39,0.8132,0.9576,0.8132,0.8142,0.5,0.9265,0.8867,0.8132,35.3188
40,0.82,0.9588,0.82,0.8213,0.4937,0.9164,0.8917,0.82,30.8763
41,0.8098,0.958,0.8098,0.8109,0.4989,0.9249,0.8903,0.8098,31.387
42,0.8276,0.9596,0.8276,0.829,0.4906,0.911,0.8929,0.8276,32.2643
43,0.8242,0.9598,0.8242,0.8256,0.4876,0.9054,0.8946,0.8242,31.4679
44,0.8249,0.9597,0.8249,0.8263,0.4902,0.9113,0.8948,0.8249,36.0697
45,0.8246,0.9595,0.8246,0.826,0.4904,0.9111,0.895,0.8246,41.7204
46,0.8263,0.9592,0.8263,0.8277,0.4897,0.9103,0.894,0.8263,40.105
47,0.8241,0.9606,0.8241,0.8254,0.4916,0.9126,0.8963,0.8241,30.2705
48,0.8288,0.9602,0.8288,0.8302,0.4881,0.9067,0.895,0.8288,40.8488
49,0.8166,0.9597,0.8166,0.8179,0.4929,0.9149,0.8957,0.8166,42.9008
50,0.8185,0.9588,0.8185,0.8198,0.4901,0.9094,0.8931,0.8185,46.3773
51,0.824,0.9595,0.824,0.8254,0.4886,0.9073,0.8947,0.824,32.4561
52,0.8234,0.9595,0.8234,0.8249,0.4853,0.9025,0.8943,0.8234,46.7578
53,0.8133,0.9602,0.8133,0.8142,0.4906,0.9106,0.8954,0.8133,54.0284
54,0.8234,0.9608,0.8234,0.8247,0.4884,0.9066,0.8965,0.8234,53.1142
55,0.8198,0.9599,0.8198,0.821,0.4882,0.9067,0.8944,0.8198,45.6079
56,0.8231,0.9596,0.8231,0.8246,0.4913,0.9101,0.8933,0.8231,35.1955
57,0.8205,0.9594,0.8205,0.8217,0.4904,0.9096,0.8942,0.8205,41.7658
58,0.8198,0.9594,0.8198,0.8214,0.4944,0.9153,0.8916,0.8198,39.8715
59,0.8177,0.9601,0.8177,0.8193,0.4906,0.9093,0.8946,0.8177,39.1651
