step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.7201,0.9238,0.7201,0.6998,0.5035,0.9534,0.8191,0.7201,2.6121
1,0.8069,0.9492,0.8069,0.8038,0.434,0.8407,0.875,0.8069,2.8891
2,0.8281,0.953,0.8281,0.8264,0.4167,0.8129,0.8823,0.8281,2.5543
3,0.8441,0.9584,0.8441,0.8438,0.3926,0.7706,0.8936,0.8441,3.5718
4,0.8468,0.9599,0.8468,0.8468,0.3816,0.7507,0.8976,0.8468,2.6661
5,0.8451,0.9598,0.8451,0.8452,0.3775,0.744,0.8972,0.8451,2.7608
6,0.8559,0.963,0.8559,0.8565,0.364,0.7207,0.9033,0.8559,3.1658
7,0.8584,0.9648,0.8584,0.8589,0.3526,0.7022,0.9083,0.8584,3.1195
8,0.8607,0.9647,0.8607,0.8607,0.3472,0.6915,0.9084,0.8607,3.2941
9,0.8641,0.9657,0.8641,0.8642,0.3456,0.6886,0.9102,0.8641,3.2324
10,0.8633,0.9657,0.8633,0.8635,0.3401,0.6802,0.9107,0.8633,3.3683
11,0.8603,0.9656,0.8603,0.8607,0.339,0.6783,0.9114,0.8603,3.3134
12,0.8665,0.9661,0.8665,0.867,0.3305,0.6638,0.9126,0.8665,3.5524
13,0.8659,0.9665,0.8659,0.8662,0.3294,0.6622,0.9126,0.8659,3.5925
14,0.8647,0.966,0.8647,0.8649,0.3272,0.6585,0.912,0.8647,3.7888
15,0.8672,0.9672,0.8672,0.8674,0.3183,0.6427,0.9141,0.8672,3.6956
16,0.865,0.966,0.865,0.8652,0.3228,0.6515,0.9111,0.865,3.9403
17,0.8637,0.9664,0.8637,0.8637,0.3182,0.6414,0.9119,0.8637,3.824
18,0.8658,0.9669,0.8658,0.866,0.3173,0.6399,0.914,0.8658,4.1689
19,0.8629,0.9658,0.8629,0.8632,0.3176,0.6399,0.9111,0.8629,4.0999
20,0.8681,0.9675,0.8681,0.8682,0.3127,0.6325,0.9147,0.8681,4.2534
21,0.8683,0.9678,0.8683,0.8686,0.3139,0.6349,0.9151,0.8683,4.4319
22,0.8683,0.9681,0.8683,0.8685,0.311,0.6293,0.9156,0.8683,4.3774
23,0.8696,0.9678,0.8696,0.8699,0.3095,0.6267,0.9159,0.8696,4.743
24,0.8694,0.9681,0.8694,0.8697,0.3076,0.6245,0.9166,0.8694,4.6443
25,0.8695,0.968,0.8695,0.8698,0.3062,0.6211,0.9166,0.8695,4.4848
26,0.8697,0.9683,0.8697,0.87,0.3057,0.6203,0.9173,0.8697,5.4014
27,0.8743,0.9687,0.8743,0.8744,0.305,0.6199,0.9179,0.8743,5.0515
28,0.873,0.9685,0.873,0.8731,0.3032,0.6161,0.9165,0.873,5.2419
29,0.8728,0.9688,0.8728,0.8729,0.301,0.6132,0.9175,0.8728,5.5507
30,0.8748,0.969,0.8748,0.8749,0.301,0.613,0.918,0.8748,5.2257
31,0.8746,0.9693,0.8746,0.8747,0.3023,0.6148,0.9183,0.8746,5.4947
32,0.8752,0.969,0.8752,0.8753,0.2992,0.609,0.9182,0.8752,5.4761
33,0.8771,0.9691,0.8771,0.8771,0.2968,0.6055,0.9182,0.8771,5.7039
34,0.8759,0.9693,0.8759,0.8759,0.2946,0.6,0.9185,0.8759,5.9796
35,0.877,0.9698,0.877,0.877,0.2948,0.6011,0.9194,0.877,6.4858
36,0.8755,0.9692,0.8755,0.8755,0.2938,0.5988,0.9182,0.8755,7.349
37,0.8752,0.9697,0.8752,0.8752,0.2914,0.595,0.9196,0.8752,6.6921
38,0.8754,0.9695,0.8754,0.8754,0.2928,0.5978,0.9189,0.8754,7.3283
39,0.8777,0.9698,0.8777,0.8777,0.2905,0.5946,0.9191,0.8777,7.4493
40,0.8785,0.97,0.8785,0.8785,0.2889,0.5911,0.9207,0.8785,7.1076
41,0.8785,0.9702,0.8785,0.8785,0.2906,0.5924,0.9204,0.8785,7.645
42,0.8765,0.9705,0.8765,0.8764,0.2884,0.5891,0.9214,0.8765,7.9245
43,0.8784,0.9705,0.8784,0.8784,0.2889,0.5902,0.9216,0.8784,7.3937
44,0.8788,0.9709,0.8788,0.8788,0.2873,0.5869,0.9224,0.8788,7.9639
45,0.8776,0.9706,0.8776,0.8775,0.2884,0.5889,0.9215,0.8776,7.9506
46,0.8773,0.9706,0.8773,0.8772,0.2888,0.5891,0.9215,0.8773,7.8974
47,0.8796,0.9711,0.8796,0.8795,0.2851,0.5826,0.9228,0.8796,7.7253
48,0.8788,0.971,0.8788,0.8788,0.2864,0.586,0.9224,0.8788,8.5568
49,0.8793,0.9709,0.8793,0.8793,0.2855,0.5836,0.9226,0.8793,9.3287
50,0.8781,0.9709,0.8781,0.8781,0.2844,0.5816,0.9222,0.8781,7.993
51,0.8765,0.9709,0.8765,0.8765,0.2849,0.5825,0.9223,0.8765,8.4164
52,0.8807,0.9713,0.8807,0.8807,0.2844,0.5817,0.9228,0.8807,9.3071
53,0.8793,0.9709,0.8793,0.8793,0.2857,0.5835,0.9227,0.8793,9.4078
54,0.8801,0.9711,0.8801,0.8801,0.2857,0.5854,0.9231,0.8801,8.9616
55,0.8789,0.9709,0.8789,0.8788,0.2823,0.577,0.9226,0.8789,9.3087
56,0.8804,0.9714,0.8804,0.8805,0.2833,0.5817,0.9237,0.8804,9.3683
57,0.8785,0.9709,0.8785,0.8785,0.282,0.5794,0.9225,0.8785,9.307
58,0.8813,0.9713,0.8813,0.8813,0.2817,0.5776,0.9232,0.8813,9.6188
59,0.8824,0.9716,0.8824,0.8824,0.2799,0.5735,0.9242,0.8824,9.5651
