step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3868,0.8584,0.3868,0.329,0.6596,1.2024,0.6725,0.3868,1.1228
1,0.6785,0.9103,0.6785,0.6613,0.556,1.0366,0.7989,0.6785,1.5175
2,0.7708,0.9272,0.7708,0.7713,0.5013,0.948,0.8359,0.7708,1.37
3,0.8013,0.9395,0.8013,0.803,0.4727,0.8974,0.8582,0.8013,1.6499
4,0.795,0.9405,0.795,0.7956,0.4769,0.905,0.8581,0.795,1.411
5,0.8062,0.9471,0.8062,0.805,0.4438,0.8504,0.8725,0.8062,1.6056
6,0.7857,0.9394,0.7857,0.7849,0.4572,0.8714,0.86,0.7857,1.5457
7,0.7829,0.9428,0.7829,0.782,0.4459,0.8542,0.8644,0.7829,1.6719
8,0.7851,0.9415,0.7851,0.7838,0.4486,0.8591,0.8639,0.7851,1.8147
9,0.7982,0.9448,0.7982,0.7977,0.4382,0.8362,0.865,0.7982,1.7375
10,0.7904,0.9442,0.7904,0.789,0.4422,0.8429,0.8622,0.7904,1.6635
11,0.7915,0.9397,0.7915,0.7908,0.4456,0.8493,0.8538,0.7915,1.9941
12,0.8051,0.9439,0.8051,0.8049,0.4356,0.8326,0.8627,0.8051,1.6317
13,0.8,0.9415,0.8,0.799,0.4316,0.827,0.8575,0.8,1.6211
14,0.808,0.9454,0.808,0.8073,0.4207,0.8107,0.8664,0.808,1.8134
15,0.8099,0.9475,0.8099,0.8095,0.4193,0.8064,0.8715,0.8099,1.6429
16,0.8074,0.9454,0.8074,0.8069,0.4174,0.8029,0.8668,0.8074,1.7446
17,0.8102,0.947,0.8102,0.8088,0.4153,0.8011,0.8708,0.8102,1.8537
18,0.8135,0.9483,0.8135,0.8123,0.413,0.7989,0.8722,0.8135,1.9438
19,0.8154,0.9479,0.8154,0.8142,0.4103,0.7933,0.8723,0.8154,1.7333
20,0.8139,0.9481,0.8139,0.813,0.4079,0.7873,0.8717,0.8139,1.8845
21,0.8159,0.9488,0.8159,0.8141,0.4053,0.7865,0.8747,0.8159,1.7749
22,0.8161,0.9499,0.8161,0.8148,0.4026,0.781,0.8757,0.8161,1.8695
23,0.82,0.9498,0.82,0.8186,0.4033,0.782,0.8764,0.82,1.713
24,0.8167,0.951,0.8167,0.8151,0.3955,0.7687,0.8774,0.8167,1.7318
25,0.8193,0.9504,0.8193,0.8178,0.3986,0.7746,0.8779,0.8193,1.7842
26,0.8165,0.9504,0.8165,0.8145,0.3955,0.7703,0.8769,0.8165,1.7589
27,0.8126,0.9511,0.8126,0.8101,0.3969,0.7699,0.8777,0.8126,2.2285
28,0.8193,0.9513,0.8193,0.8173,0.3935,0.7653,0.8785,0.8193,1.9286
29,0.8149,0.9508,0.8149,0.8126,0.3895,0.7586,0.8786,0.8149,2.069
30,0.8131,0.951,0.8131,0.8106,0.3932,0.7662,0.8778,0.8131,2.1457
31,0.8205,0.952,0.8205,0.8186,0.3936,0.7667,0.8805,0.8205,1.9087
32,0.8203,0.952,0.8203,0.8185,0.3895,0.7589,0.8799,0.8203,1.9668
33,0.8222,0.9534,0.8222,0.8199,0.3838,0.75,0.8824,0.8222,2.0473
34,0.8215,0.952,0.8215,0.8196,0.3889,0.7589,0.8801,0.8215,2.6091
35,0.8177,0.9506,0.8177,0.8159,0.3857,0.7527,0.877,0.8177,2.0752
36,0.825,0.9539,0.825,0.823,0.3797,0.7439,0.8846,0.825,2.2115
37,0.8244,0.9533,0.8244,0.8224,0.3802,0.7461,0.8839,0.8244,2.1548
38,0.8236,0.953,0.8236,0.8215,0.3803,0.7455,0.8829,0.8236,2.2933
39,0.8202,0.9517,0.8202,0.8182,0.3829,0.7497,0.8805,0.8202,2.2946
40,0.8248,0.9538,0.8248,0.8233,0.3776,0.7394,0.8847,0.8248,2.0361
41,0.8199,0.9529,0.8199,0.8174,0.377,0.7371,0.8815,0.8199,2.007
42,0.8292,0.9554,0.8292,0.8273,0.3726,0.7306,0.8867,0.8292,2.125
43,0.8295,0.9567,0.8295,0.8275,0.3732,0.7325,0.8898,0.8295,2.3467
44,0.8275,0.9545,0.8275,0.8263,0.3737,0.733,0.8868,0.8275,1.7928
45,0.8315,0.9562,0.8315,0.8299,0.3718,0.7307,0.8898,0.8315,1.8042
46,0.8304,0.9558,0.8304,0.8285,0.3741,0.7334,0.8882,0.8304,2.1084
47,0.8314,0.9566,0.8314,0.8301,0.369,0.7252,0.8902,0.8314,2.0889
48,0.8335,0.957,0.8335,0.8318,0.3688,0.725,0.89,0.8335,1.8852
49,0.8301,0.956,0.8301,0.8282,0.3685,0.7247,0.8892,0.8301,2.0899
50,0.8287,0.9555,0.8287,0.8265,0.3738,0.7326,0.8875,0.8287,2.1456
51,0.8242,0.9538,0.8242,0.8222,0.3729,0.7323,0.8846,0.8242,1.9784
52,0.8255,0.9549,0.8255,0.8234,0.3706,0.7259,0.8856,0.8255,2.4338
53,0.8263,0.955,0.8263,0.824,0.3682,0.7226,0.8872,0.8263,2.596
54,0.8293,0.9558,0.8293,0.8277,0.3714,0.7283,0.888,0.8293,2.6823
55,0.8306,0.9563,0.8306,0.8289,0.3662,0.7212,0.8899,0.8306,2.7105
56,0.8337,0.957,0.8337,0.832,0.3669,0.7226,0.8907,0.8337,2.4591
57,0.8324,0.9569,0.8324,0.8305,0.364,0.7162,0.8911,0.8324,2.5745
58,0.8327,0.9569,0.8327,0.831,0.3614,0.7112,0.8903,0.8327,2.6753
59,0.8327,0.9564,0.8327,0.831,0.3659,0.7198,0.8895,0.8327,2.6939
