step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.25,0.5,0.25,0.1,1.5,27.0327,0.25,0.25,0.242
1,0.3557,0.6078,0.3557,0.2384,0.9832,18.3501,0.3494,0.3557,0.4315
2,0.2959,0.726,0.2959,0.1876,0.8022,9.7818,0.5057,0.2959,0.4121
3,0.4871,0.7323,0.4871,0.4769,0.702,1.2941,0.4818,0.4871,0.4324
4,0.2564,0.7168,0.2564,0.1145,0.7453,1.3558,0.4466,0.2564,0.4492
5,0.3974,0.7666,0.3974,0.2776,0.7036,1.3029,0.5363,0.3974,0.4661
6,0.4506,0.7599,0.4506,0.3959,0.6942,1.2845,0.5469,0.4506,0.467
7,0.4391,0.7382,0.4391,0.3728,0.6978,1.3035,0.5031,0.4391,0.4594
8,0.4691,0.8062,0.4691,0.4014,0.6759,1.264,0.6081,0.4691,0.471
9,0.4659,0.7711,0.4659,0.3729,0.7031,1.3641,0.5807,0.4659,0.4478
10,0.5096,0.7751,0.5096,0.4488,0.6877,1.3229,0.5738,0.5096,0.4507
11,0.4974,0.8024,0.4974,0.4713,0.6583,1.2144,0.6089,0.4974,0.4612
12,0.4923,0.8075,0.4923,0.4339,0.6538,1.2174,0.6236,0.4923,0.4438
13,0.5412,0.8189,0.5412,0.5324,0.643,1.1858,0.633,0.5412,0.4713
14,0.6507,0.8558,0.6507,0.6508,0.6183,1.1457,0.7019,0.6507,0.4838
15,0.6387,0.8546,0.6387,0.6286,0.6129,1.1387,0.6982,0.6387,0.4907
16,0.6247,0.8815,0.6247,0.6137,0.5919,1.1074,0.7432,0.6247,0.5071
17,0.5559,0.8736,0.5559,0.5343,0.6061,1.1334,0.7331,0.5559,0.536
18,0.4861,0.8697,0.4861,0.446,0.6159,1.1509,0.7212,0.4861,0.5257
19,0.4274,0.8628,0.4274,0.3846,0.6242,1.1648,0.7049,0.4274,0.5278
20,0.4565,0.8769,0.4565,0.4145,0.614,1.1472,0.7352,0.4565,0.5319
21,0.4283,0.8848,0.4283,0.3944,0.6138,1.1396,0.7546,0.4283,0.5437
22,0.4617,0.8845,0.4617,0.4156,0.6032,1.13,0.7444,0.4617,0.5361
23,0.4207,0.8805,0.4207,0.3592,0.6224,1.159,0.7399,0.4207,0.5412
24,0.4339,0.8646,0.4339,0.3823,0.6222,1.16,0.7091,0.4339,0.5471
25,0.4863,0.9028,0.4863,0.4311,0.5894,1.1043,0.7785,0.4863,0.5414
26,0.4925,0.8994,0.4925,0.4701,0.5914,1.1036,0.7672,0.4925,0.5347
27,0.4931,0.8974,0.4931,0.46,0.5869,1.0985,0.7604,0.4931,0.4794
28,0.4606,0.9067,0.4606,0.429,0.5945,1.1066,0.7821,0.4606,0.4722
29,0.4581,0.8956,0.4581,0.4236,0.6002,1.1222,0.7589,0.4581,0.4573
30,0.4753,0.8899,0.4753,0.4242,0.6035,1.1354,0.7512,0.4753,0.4928
31,0.5405,0.9135,0.5405,0.5197,0.5671,1.0604,0.7873,0.5405,0.486
32,0.5743,0.916,0.5743,0.5688,0.5625,1.0526,0.8034,0.5743,0.4959
33,0.5787,0.9226,0.5787,0.5686,0.5618,1.0492,0.8129,0.5787,0.5024
34,0.6765,0.9291,0.6765,0.6712,0.5383,1.0132,0.8281,0.6765,0.509
35,0.6054,0.9183,0.6054,0.5956,0.5588,1.048,0.8038,0.6054,0.4538
36,0.6633,0.9287,0.6633,0.6495,0.5313,1.0021,0.8278,0.6633,0.4742
37,0.6325,0.9267,0.6325,0.6218,0.548,1.0275,0.8157,0.6325,0.4665
38,0.6315,0.9187,0.6315,0.6268,0.5553,1.0438,0.8102,0.6315,0.4607
39,0.6715,0.9275,0.6715,0.667,0.529,0.9992,0.8234,0.6715,0.4577
40,0.606,0.9106,0.606,0.5947,0.5551,1.0416,0.7825,0.606,0.5087
41,0.6588,0.9177,0.6588,0.6514,0.5395,1.0185,0.8032,0.6588,0.5452
42,0.632,0.9196,0.632,0.6264,0.5438,1.0236,0.8094,0.632,0.5438
43,0.6652,0.9091,0.6652,0.6525,0.5371,1.018,0.7897,0.6652,0.5659
44,0.7287,0.9319,0.7287,0.7245,0.513,0.9742,0.8316,0.7287,0.5553
45,0.6478,0.9152,0.6478,0.6412,0.539,1.0184,0.7964,0.6478,0.5593
46,0.6144,0.9191,0.6144,0.6083,0.5365,1.0125,0.809,0.6144,0.5631
47,0.6966,0.9338,0.6966,0.6929,0.5148,0.9763,0.8422,0.6966,0.5448
48,0.6732,0.9281,0.6732,0.66,0.5185,0.983,0.8208,0.6732,0.5747
49,0.6991,0.931,0.6991,0.6919,0.5176,0.9813,0.8357,0.6991,0.577
50,0.7001,0.9239,0.7001,0.6928,0.5145,0.9796,0.8256,0.7001,0.5572
51,0.6696,0.9277,0.6696,0.6665,0.521,0.9869,0.8303,0.6696,0.5982
52,0.6983,0.9257,0.6983,0.6935,0.5178,0.9826,0.8246,0.6983,0.5863
53,0.718,0.9296,0.718,0.713,0.5091,0.9684,0.8298,0.718,0.5802
54,0.7228,0.9341,0.7228,0.7163,0.5041,0.9581,0.8389,0.7228,0.5694
55,0.7287,0.925,0.7287,0.7245,0.5148,0.9754,0.8202,0.7287,0.5812
56,0.7249,0.9294,0.7249,0.7208,0.5131,0.9745,0.8319,0.7249,0.5929
57,0.7268,0.9272,0.7268,0.7217,0.5074,0.9657,0.828,0.7268,0.5703
58,0.7046,0.9247,0.7046,0.7006,0.5126,0.9729,0.8214,0.7046,0.599
59,0.692,0.9292,0.692,0.6884,0.5166,0.9794,0.8307,0.692,0.5833
