step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5608,0.8805,0.5608,0.4806,0.578,1.1159,0.7341,0.5608,4.8383
1,0.7207,0.9314,0.7207,0.6892,0.4877,0.9351,0.8334,0.7207,4.8951
2,0.7263,0.9403,0.7263,0.6826,0.4642,0.8944,0.8482,0.7263,5.0078
3,0.7311,0.9463,0.7311,0.6941,0.4461,0.8619,0.8641,0.7311,5.0617
4,0.754,0.9555,0.754,0.7314,0.4237,0.8165,0.8854,0.754,4.9905
5,0.7359,0.9512,0.7359,0.6916,0.4212,0.8197,0.8755,0.7359,5.0351
6,0.7631,0.955,0.7631,0.7322,0.4057,0.7933,0.8832,0.7631,5.4456
7,0.7651,0.956,0.7651,0.7379,0.4018,0.782,0.8857,0.7651,5.5062
8,0.7629,0.9566,0.7629,0.7344,0.3994,0.7795,0.8869,0.7629,5.2299
9,0.7672,0.9566,0.7672,0.7398,0.3952,0.772,0.886,0.7672,5.2874
10,0.7898,0.9602,0.7898,0.7715,0.3828,0.752,0.8955,0.7898,5.4142
11,0.7853,0.9606,0.7853,0.7671,0.3848,0.7534,0.8957,0.7853,5.4864
12,0.7911,0.9617,0.7911,0.7748,0.3777,0.7408,0.8989,0.7911,5.4767
13,0.8026,0.9628,0.8026,0.7895,0.3716,0.7295,0.9027,0.8026,5.6562
14,0.8066,0.9631,0.8066,0.7948,0.3703,0.7294,0.9031,0.8066,5.8602
15,0.809,0.9627,0.809,0.7979,0.3661,0.7218,0.9023,0.809,5.8531
16,0.8051,0.9639,0.8051,0.7925,0.3649,0.717,0.9034,0.8051,5.8666
17,0.8061,0.9642,0.8061,0.7941,0.3631,0.7149,0.9055,0.8061,6.0372
18,0.8138,0.9637,0.8138,0.8049,0.36,0.7087,0.9046,0.8138,6.2514
19,0.8125,0.9652,0.8125,0.8031,0.357,0.7025,0.9068,0.8125,6.2398
20,0.8257,0.9655,0.8257,0.8189,0.3498,0.6903,0.9077,0.8257,6.0971
21,0.8319,0.9658,0.8319,0.8264,0.3504,0.6928,0.9094,0.8319,6.2816
22,0.8328,0.966,0.8328,0.827,0.3496,0.6929,0.9091,0.8328,6.5963
23,0.8322,0.9666,0.8322,0.8272,0.3434,0.6798,0.9117,0.8322,7.2035
24,0.8386,0.9669,0.8386,0.8342,0.3412,0.6775,0.9124,0.8386,6.8585
25,0.8262,0.9659,0.8262,0.8188,0.3443,0.6815,0.9099,0.8262,7.3694
26,0.8326,0.9668,0.8326,0.8264,0.3354,0.6664,0.9114,0.8326,7.3612
27,0.8373,0.9669,0.8373,0.832,0.335,0.6658,0.9113,0.8373,7.1742
28,0.8319,0.9666,0.8319,0.8255,0.3367,0.6698,0.91,0.8319,7.7153
29,0.829,0.9674,0.829,0.8216,0.3375,0.6695,0.9124,0.829,7.4019
30,0.8357,0.9676,0.8357,0.8298,0.3315,0.6602,0.912,0.8357,8.0538
31,0.8429,0.9676,0.8429,0.8387,0.3284,0.6552,0.9123,0.8429,7.7623
32,0.8528,0.9681,0.8528,0.85,0.32,0.6428,0.9139,0.8528,8.017
33,0.853,0.9682,0.853,0.8505,0.3173,0.6388,0.9147,0.853,7.8816
34,0.8514,0.9679,0.8514,0.8484,0.3204,0.6425,0.914,0.8514,7.9418
35,0.8544,0.9685,0.8544,0.8518,0.3181,0.6383,0.9151,0.8544,8.1789
36,0.8579,0.9693,0.8579,0.8557,0.3129,0.6304,0.9171,0.8579,8.4775
37,0.8618,0.9691,0.8618,0.86,0.3116,0.6277,0.9166,0.8618,8.6857
38,0.8589,0.9692,0.8589,0.857,0.3117,0.6264,0.9157,0.8589,8.6237
39,0.8596,0.9693,0.8596,0.8577,0.3102,0.6241,0.9175,0.8596,9.0173
40,0.8613,0.9693,0.8613,0.8594,0.3103,0.6241,0.9173,0.8613,8.996
41,0.8624,0.9691,0.8624,0.8606,0.3104,0.6248,0.9169,0.8624,9.0678
42,0.862,0.9695,0.862,0.86,0.3059,0.6166,0.9179,0.862,9.2203
43,0.8641,0.97,0.8641,0.8622,0.3077,0.6201,0.9197,0.8641,8.9837
44,0.8633,0.9694,0.8633,0.8615,0.3048,0.618,0.9183,0.8633,9.4198
45,0.8598,0.9693,0.8598,0.8576,0.3068,0.6175,0.9171,0.8598,9.0701
46,0.8624,0.9693,0.8624,0.8605,0.3062,0.6195,0.9182,0.8624,9.4124
47,0.8608,0.9696,0.8608,0.8591,0.3043,0.6144,0.9178,0.8608,9.5429
48,0.8602,0.9694,0.8602,0.8582,0.3037,0.613,0.9171,0.8602,9.5453
49,0.8598,0.9699,0.8598,0.8576,0.304,0.6133,0.9194,0.8598,9.8534
50,0.8623,0.9697,0.8623,0.8602,0.3028,0.6121,0.9188,0.8623,9.3669
51,0.8621,0.9698,0.8621,0.8604,0.2996,0.606,0.9182,0.8621,10.0272
52,0.8637,0.9702,0.8637,0.862,0.3007,0.6087,0.9195,0.8637,9.3819
53,0.8652,0.9704,0.8652,0.8636,0.2997,0.6068,0.9196,0.8652,10.062
54,0.8659,0.9705,0.8659,0.8643,0.2967,0.6013,0.92,0.8659,10.1738
55,0.867,0.9707,0.867,0.8656,0.2957,0.5992,0.9208,0.867,10.3122
56,0.8617,0.9699,0.8617,0.8598,0.3002,0.6062,0.9181,0.8617,10.7588
57,0.8685,0.9703,0.8685,0.8672,0.2949,0.598,0.9193,0.8685,10.7781
58,0.8661,0.9703,0.8661,0.8645,0.2942,0.5963,0.9201,0.8661,11.2357
59,0.8676,0.9703,0.8676,0.8662,0.2927,0.5937,0.9195,0.8676,10.8903
