step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.25,0.5,0.25,0.1,1.5,27.0327,0.25,0.25,44.7299
1,0.2569,0.5493,0.2569,0.1146,1.0197,18.3704,0.2987,0.2569,4.0561
2,0.2602,0.6136,0.2602,0.1219,0.9889,18.3502,0.3585,0.2602,4.056
3,0.2625,0.6012,0.2625,0.1292,0.9888,18.347,0.3556,0.2625,4.0578
4,0.2572,0.6151,0.2572,0.1155,0.989,18.3461,0.3671,0.2572,4.1655
5,0.2502,0.6073,0.2502,0.1005,1.0138,18.3599,0.3692,0.2502,4.1869
6,0.2501,0.5902,0.2501,0.1003,1.0214,18.3666,0.3497,0.2501,4.1639
7,0.2502,0.6844,0.2502,0.1004,0.8734,9.8558,0.4562,0.2502,4.1521
8,0.2501,0.7053,0.2501,0.1003,0.894,9.8769,0.5026,0.2501,4.1735
9,0.25,0.7148,0.25,0.1,0.9193,9.9015,0.5122,0.25,4.1478
10,0.2558,0.7346,0.2558,0.1124,0.8619,9.8639,0.5282,0.2558,4.1822
11,0.349,0.7558,0.349,0.2298,0.8195,9.8224,0.5639,0.349,4.181
12,0.4184,0.7351,0.4184,0.3098,0.7613,9.7229,0.5406,0.4184,4.1632
13,0.3023,0.7557,0.3023,0.1946,0.79,9.7468,0.5723,0.3023,4.1612
14,0.4005,0.7576,0.4005,0.2981,0.7571,9.714,0.57,0.4005,4.1711
15,0.3097,0.7393,0.3097,0.2008,0.7959,9.7667,0.5473,0.3097,4.1715
16,0.4329,0.7673,0.4329,0.2958,0.7687,9.7314,0.5871,0.4329,4.1689
17,0.4074,0.7753,0.4074,0.2812,0.7628,9.7242,0.6012,0.4074,4.1868
18,0.4514,0.7919,0.4514,0.3048,0.763,9.7296,0.6365,0.4514,4.1736
19,0.4638,0.7736,0.4638,0.3218,0.7504,9.7115,0.5957,0.4638,4.1847
