step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.735,0.925,0.735,0.7188,0.4873,0.9284,0.8283,0.735,25.9807
1,0.7978,0.9441,0.7978,0.7942,0.4352,0.8396,0.8637,0.7978,35.4119
2,0.8059,0.9464,0.8059,0.8045,0.3999,0.7783,0.8717,0.8059,52.092
3,0.8213,0.9524,0.8213,0.8208,0.3937,0.7664,0.8827,0.8213,57.5488
4,0.8332,0.9573,0.8332,0.8332,0.3716,0.7283,0.8925,0.8332,73.3404
5,0.84,0.9584,0.84,0.8402,0.3638,0.7144,0.8951,0.84,89.1599
6,0.8454,0.9596,0.8454,0.8451,0.3589,0.708,0.8974,0.8454,103.6835
7,0.8527,0.9626,0.8527,0.8524,0.3468,0.6881,0.903,0.8527,132.4756
8,0.8491,0.9621,0.8491,0.8489,0.3438,0.6831,0.9031,0.8491,138.8715
9,0.8523,0.9642,0.8523,0.8523,0.3358,0.6698,0.907,0.8523,143.5422
10,0.8533,0.9629,0.8533,0.8537,0.3348,0.6684,0.9049,0.8533,139.3236
11,0.8558,0.9642,0.8558,0.8564,0.3284,0.6546,0.9082,0.8558,155.5737
12,0.8592,0.9651,0.8592,0.8596,0.3247,0.6487,0.9099,0.8592,161.4117
13,0.8585,0.9647,0.8585,0.859,0.3243,0.6486,0.9095,0.8585,173.1472
14,0.8575,0.9638,0.8575,0.8577,0.3222,0.6453,0.9074,0.8575,192.7587
15,0.8605,0.9653,0.8605,0.8609,0.3189,0.6393,0.9108,0.8605,197.7725
16,0.8596,0.965,0.8596,0.86,0.3142,0.631,0.9091,0.8596,212.2235
17,0.8608,0.966,0.8608,0.861,0.3176,0.6359,0.9111,0.8608,220.4315
18,0.8627,0.9661,0.8627,0.8628,0.3138,0.6292,0.9118,0.8627,226.0683
19,0.8636,0.9664,0.8636,0.8639,0.3112,0.6242,0.9128,0.8636,238.6816
20,0.865,0.9676,0.865,0.8652,0.3063,0.6159,0.915,0.865,247.6431
21,0.8654,0.9673,0.8654,0.8655,0.3076,0.6201,0.9143,0.8654,269.3533
22,0.8658,0.9677,0.8658,0.8659,0.3058,0.6157,0.9148,0.8658,271.4664
23,0.8638,0.967,0.8638,0.8638,0.3045,0.6124,0.9135,0.8638,297.7356
24,0.8674,0.9677,0.8674,0.8674,0.3018,0.6085,0.9153,0.8674,318.2718
25,0.8672,0.9678,0.8672,0.8674,0.3027,0.6094,0.9153,0.8672,307.8189
26,0.8669,0.9679,0.8669,0.867,0.2988,0.6013,0.9153,0.8669,332.6041
27,0.8693,0.9684,0.8693,0.8694,0.297,0.6001,0.9167,0.8693,365.5965
28,0.8689,0.9685,0.8689,0.8689,0.296,0.5973,0.9168,0.8689,337.1053
29,0.8694,0.9685,0.8694,0.8693,0.295,0.5953,0.9168,0.8694,362.7025
30,0.8698,0.9686,0.8698,0.8697,0.2971,0.5996,0.9167,0.8698,373.7229
31,0.8692,0.9689,0.8692,0.8693,0.2965,0.598,0.9178,0.8692,371.8044
32,0.8712,0.9691,0.8712,0.8713,0.2924,0.5905,0.9181,0.8712,414.4709
33,0.87,0.9692,0.87,0.87,0.2922,0.59,0.9186,0.87,398.5594
34,0.8705,0.969,0.8705,0.8705,0.2913,0.589,0.9181,0.8705,400.837
35,0.8711,0.9689,0.8711,0.8711,0.291,0.5889,0.9173,0.8711,397.9038
36,0.8715,0.9688,0.8715,0.8715,0.2893,0.5857,0.9181,0.8715,404.3672
37,0.8703,0.9691,0.8703,0.8703,0.2892,0.5855,0.9184,0.8703,436.6513
38,0.8712,0.9691,0.8712,0.8711,0.2877,0.5829,0.9182,0.8712,440.2627
39,0.8699,0.9686,0.8699,0.8699,0.2861,0.5792,0.9175,0.8699,459.7703
40,0.8706,0.9693,0.8706,0.8705,0.2838,0.5751,0.9184,0.8706,487.6816
41,0.8719,0.9696,0.8719,0.8719,0.2842,0.576,0.9198,0.8719,467.7995
42,0.8713,0.9694,0.8713,0.8715,0.2853,0.5771,0.919,0.8713,498.8525
43,0.8678,0.9688,0.8678,0.8678,0.2867,0.5794,0.9182,0.8678,491.8803
44,0.8705,0.9692,0.8705,0.8705,0.2839,0.5758,0.9189,0.8705,498.518
45,0.8702,0.9694,0.8702,0.8701,0.2829,0.5748,0.919,0.8702,510.8788
46,0.8715,0.9697,0.8715,0.8715,0.2802,0.5673,0.9196,0.8715,533.2489
47,0.8706,0.9699,0.8706,0.8707,0.2813,0.5694,0.9202,0.8706,526.2525
48,0.8713,0.9693,0.8713,0.8714,0.2815,0.5712,0.9188,0.8713,533.2674
49,0.8703,0.9693,0.8703,0.8702,0.281,0.5699,0.9194,0.8703,543.7392
50,0.8713,0.9699,0.8713,0.8713,0.2806,0.5685,0.9197,0.8713,542.3418
51,0.871,0.9698,0.871,0.871,0.2811,0.5687,0.9193,0.871,563.0929
52,0.8718,0.9697,0.8718,0.8716,0.2791,0.5652,0.9193,0.8718,555.4565
53,0.8715,0.9696,0.8715,0.8715,0.2788,0.565,0.9199,0.8715,558.3816
54,0.8723,0.9697,0.8723,0.8722,0.2778,0.5636,0.9195,0.8723,548.4333
55,0.8716,0.97,0.8716,0.8716,0.2781,0.5625,0.9197,0.8716,565.0758
56,0.8736,0.9697,0.8736,0.8735,0.2775,0.5627,0.9198,0.8736,570.6139
57,0.8728,0.9696,0.8728,0.8727,0.2772,0.5628,0.9196,0.8728,569.9039
58,0.8736,0.9698,0.8736,0.8735,0.2761,0.5599,0.9206,0.8736,574.8755
59,0.8735,0.9701,0.8735,0.8734,0.276,0.5614,0.9205,0.8735,614.3748
