step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.3298,0.7836,0.3298,0.215,0.746,1.4058,0.5605,0.3298,0.0922
1,0.5948,0.89,0.5948,0.5593,0.5947,1.1059,0.7584,0.5948,0.2211
2,0.7077,0.906,0.7077,0.7101,0.5582,1.0402,0.7953,0.7077,0.2204
3,0.7442,0.9241,0.7442,0.7422,0.531,0.9943,0.8313,0.7442,0.2572
4,0.7264,0.9225,0.7264,0.7298,0.5471,1.0144,0.8273,0.7264,0.2939
5,0.7364,0.9303,0.7364,0.7342,0.5247,0.9799,0.8406,0.7364,0.2948
6,0.7883,0.9394,0.7883,0.7893,0.5187,0.9719,0.8561,0.7883,0.2917
7,0.8006,0.9413,0.8006,0.8016,0.5115,0.9607,0.8621,0.8006,0.3187
8,0.7841,0.9397,0.7841,0.7852,0.51,0.9572,0.8561,0.7841,0.3727
9,0.8002,0.9426,0.8002,0.7963,0.5,0.9481,0.8642,0.8002,0.3352
10,0.7874,0.9387,0.7874,0.7827,0.5002,0.9445,0.8516,0.7874,0.3458
11,0.8267,0.9493,0.8267,0.827,0.4914,0.9268,0.874,0.8267,0.3922
12,0.8229,0.9484,0.8229,0.822,0.4904,0.9265,0.872,0.8229,0.3954
13,0.824,0.9499,0.824,0.824,0.4842,0.9158,0.8748,0.824,0.402
14,0.8176,0.9481,0.8176,0.8171,0.4849,0.9187,0.8734,0.8176,0.4571
15,0.8235,0.9496,0.8235,0.8227,0.4852,0.9196,0.8764,0.8235,0.4317
16,0.8142,0.9482,0.8142,0.8129,0.4883,0.9228,0.8717,0.8142,0.4485
17,0.8241,0.9503,0.8241,0.8236,0.4827,0.9133,0.875,0.8241,0.4672
18,0.8212,0.95,0.8212,0.8213,0.4883,0.9204,0.8732,0.8212,0.4573
19,0.8179,0.9476,0.8179,0.817,0.4974,0.9375,0.8692,0.8179,0.538
20,0.828,0.9505,0.828,0.8281,0.4884,0.9233,0.8766,0.828,0.4844
21,0.831,0.9526,0.831,0.831,0.4889,0.9248,0.8823,0.831,0.5444
22,0.8304,0.9517,0.8304,0.8305,0.4882,0.9218,0.8797,0.8304,0.5416
23,0.8203,0.9477,0.8203,0.8199,0.5021,0.9449,0.8715,0.8203,0.6207
24,0.8314,0.9526,0.8314,0.8314,0.4932,0.9292,0.8804,0.8314,0.5839
25,0.8319,0.9532,0.8319,0.8325,0.4899,0.9254,0.8834,0.8319,0.6261
26,0.8264,0.9518,0.8264,0.8263,0.4903,0.9261,0.8801,0.8264,0.6307
27,0.8295,0.9525,0.8295,0.8296,0.4919,0.9303,0.8839,0.8295,0.6233
28,0.8257,0.9512,0.8257,0.8265,0.4973,0.9366,0.8792,0.8257,0.7363
29,0.8378,0.9548,0.8378,0.8383,0.4844,0.917,0.8866,0.8378,0.663
30,0.8388,0.954,0.8388,0.8395,0.4873,0.9222,0.8867,0.8388,0.6825
31,0.8446,0.9565,0.8446,0.8447,0.4818,0.9142,0.8916,0.8446,0.6805
32,0.8443,0.9555,0.8443,0.8449,0.4843,0.9162,0.8888,0.8443,0.8019
33,0.8466,0.9577,0.8466,0.8465,0.4794,0.9103,0.8924,0.8466,0.7386
34,0.8396,0.9557,0.8396,0.8399,0.4869,0.9215,0.8888,0.8396,0.7506
35,0.8435,0.9567,0.8435,0.843,0.4842,0.9176,0.8902,0.8435,0.815
36,0.8449,0.956,0.8449,0.8447,0.4859,0.9195,0.8881,0.8449,0.8333
37,0.8452,0.9571,0.8452,0.8446,0.4814,0.9133,0.8918,0.8452,0.8087
38,0.8454,0.9576,0.8454,0.8451,0.4777,0.9066,0.8922,0.8454,0.8316
39,0.8402,0.9568,0.8402,0.8399,0.4821,0.9131,0.89,0.8402,0.8591
40,0.8459,0.9579,0.8459,0.845,0.4852,0.9197,0.8931,0.8459,0.8429
41,0.8386,0.9562,0.8386,0.8376,0.4883,0.9241,0.8893,0.8386,0.874
42,0.8488,0.9575,0.8488,0.8488,0.4895,0.9249,0.8936,0.8488,0.8902
43,0.8534,0.9601,0.8534,0.8532,0.4768,0.9056,0.8976,0.8534,1.0277
44,0.8519,0.9578,0.8519,0.852,0.4888,0.9232,0.8931,0.8519,0.9619
45,0.8517,0.9581,0.8517,0.8518,0.4848,0.9173,0.8946,0.8517,0.9559
46,0.853,0.9583,0.853,0.8532,0.485,0.9186,0.8957,0.853,0.9529
47,0.8549,0.9606,0.8549,0.8549,0.478,0.9065,0.8994,0.8549,0.9587
48,0.8583,0.9602,0.8583,0.8586,0.4795,0.9092,0.9011,0.8583,1.007
49,0.8594,0.9604,0.8594,0.8594,0.4782,0.9076,0.8998,0.8594,1.0234
50,0.8506,0.9583,0.8506,0.851,0.4795,0.9082,0.8937,0.8506,1.1627
51,0.8546,0.9592,0.8546,0.8551,0.4768,0.9056,0.8999,0.8546,1.0672
52,0.8516,0.9586,0.8516,0.8522,0.4826,0.913,0.8942,0.8516,1.09
