step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.001,0.5,0.001,0.0,1.998,36.0081,0.001,0.001,0.0443
1,0.002,0.501,0.002,0.0,1.5811,35.9715,0.0015,0.002,0.2954
2,0.0025,0.5013,0.0025,0.0005,1.5979,35.9393,0.0018,0.0025,0.3659
3,0.0022,0.5014,0.0022,0.0002,1.5973,35.9105,0.0018,0.0022,0.505
4,0.0025,0.5014,0.0025,0.0005,1.604,35.9106,0.0018,0.0025,0.6895
5,0.0025,0.5014,0.0025,0.0005,1.6039,35.9107,0.0018,0.0025,0.7613
6,0.0025,0.5015,0.0025,0.0005,1.6155,35.9108,0.0015,0.0025,0.7862
7,0.0033,0.502,0.0033,0.0009,1.5987,35.8751,0.0023,0.0033,0.8325
8,0.0033,0.502,0.0033,0.0009,1.5988,35.8752,0.0023,0.0033,0.8277
9,0.0033,0.5019,0.0033,0.0008,1.5965,35.8476,0.0023,0.0033,0.8303
10,0.0033,0.5019,0.0033,0.0009,1.5973,35.845,0.0023,0.0033,0.8691
11,0.004,0.5019,0.004,0.0009,1.4727,35.8107,0.0026,0.0039,0.9031
12,0.0039,0.502,0.0039,0.0009,1.4602,35.809,0.0026,0.0039,0.9246
13,0.0046,0.5023,0.0046,0.0009,1.4033,35.7752,0.0026,0.0046,0.868
14,0.0053,0.5029,0.0053,0.0009,1.3638,35.7389,0.0032,0.0053,0.9043
15,0.0053,0.5028,0.0053,0.0009,1.403,35.7407,0.0031,0.0054,0.92
16,0.0053,0.5029,0.0053,0.0009,1.3935,35.7412,0.0031,0.0054,0.8995
17,0.0053,0.503,0.0053,0.0009,1.3902,35.7384,0.0031,0.0054,0.9305
18,0.0059,0.5033,0.0059,0.001,1.3704,35.7063,0.0034,0.0059,0.9086
19,0.0059,0.5034,0.0059,0.001,1.3725,35.7058,0.0035,0.0059,0.9907
20,0.0066,0.5039,0.0066,0.001,1.2993,35.6709,0.0039,0.0067,0.9893
21,0.0075,0.5046,0.0075,0.001,1.2739,35.6346,0.0044,0.0075,0.9722
22,0.0074,0.5046,0.0074,0.0011,1.2889,35.6361,0.0044,0.0074,0.9837
23,0.0075,0.5046,0.0075,0.0011,1.299,35.6348,0.0044,0.0075,0.9635
24,0.0075,0.5047,0.0075,0.0011,1.3173,35.6358,0.0043,0.0075,0.996
25,0.0075,0.5047,0.0075,0.0011,1.3146,35.6359,0.0044,0.0075,0.9287
26,0.0085,0.5051,0.0085,0.0013,1.3887,35.6003,0.0046,0.0085,1.0158
27,0.0086,0.5057,0.0086,0.0012,1.3334,35.566,0.0046,0.0087,0.9897
28,0.0097,0.5062,0.0097,0.0016,1.3181,35.5284,0.0053,0.0098,0.9726
29,0.0101,0.5067,0.0101,0.002,1.2984,35.4919,0.0059,0.0102,0.9642
30,0.0101,0.5067,0.0101,0.0021,1.3051,35.4931,0.0059,0.0101,0.981
31,0.0101,0.5067,0.0101,0.0021,1.3205,35.4941,0.0059,0.0101,0.9737
32,0.0111,0.5072,0.0111,0.002,1.2687,35.4582,0.006,0.0111,1.0027
33,0.0118,0.5076,0.0118,0.0023,1.2658,35.4239,0.0064,0.0119,1.0303
34,0.0128,0.5081,0.0128,0.0029,1.2732,35.3861,0.0073,0.0129,1.0481
35,0.0136,0.5086,0.0136,0.0037,1.2771,35.3522,0.0083,0.0136,1.0866
36,0.0136,0.5087,0.0136,0.0033,1.2528,35.3503,0.0083,0.0136,1.1258
37,0.0136,0.5086,0.0136,0.0034,1.2529,35.3517,0.0082,0.0136,1.0549
38,0.0139,0.5091,0.0139,0.0042,1.2623,35.3178,0.0091,0.014,1.0482
39,0.0139,0.5091,0.0139,0.0042,1.2629,35.3177,0.0092,0.014,1.0892
40,0.0148,0.5095,0.0148,0.0046,1.2641,35.2839,0.0099,0.0148,1.1196
41,0.0148,0.5096,0.0148,0.0043,1.2609,35.2827,0.0099,0.0149,1.0645
42,0.0148,0.5095,0.0148,0.0046,1.2634,35.2839,0.0098,0.0149,1.1063
43,0.0154,0.5094,0.0154,0.0046,1.2538,35.2832,0.0104,0.0155,1.0835
44,0.0155,0.5097,0.0155,0.0042,1.2214,35.2476,0.0101,0.0155,1.1273
45,0.0154,0.5096,0.0154,0.0043,1.2264,35.2483,0.0101,0.0155,1.0584
46,0.0154,0.5097,0.0154,0.0042,1.2248,35.2478,0.0102,0.0155,1.1371
47,0.0156,0.5101,0.0156,0.0044,1.2242,35.2146,0.0104,0.0156,1.1208
48,0.0156,0.5106,0.0156,0.0043,1.2158,35.1803,0.0102,0.0157,1.1231
49,0.0155,0.5105,0.0155,0.0046,1.226,35.1829,0.0103,0.0156,1.0824
50,0.0155,0.5106,0.0155,0.0044,1.2202,35.1821,0.0102,0.0156,1.1262
51,0.0156,0.5106,0.0156,0.0042,1.2165,35.1816,0.0102,0.0156,1.1638
52,0.0162,0.5109,0.0162,0.0049,1.2178,35.1482,0.0115,0.0163,1.2404
53,0.0162,0.5109,0.0162,0.0049,1.2226,35.1492,0.0114,0.0163,1.1207
54,0.0172,0.5114,0.0172,0.0049,1.2016,35.112,0.0128,0.0172,1.1053
55,0.0172,0.5114,0.0172,0.0049,1.2095,35.1117,0.0129,0.0172,1.1345
56,0.0177,0.5118,0.0177,0.0049,1.1979,35.0771,0.0127,0.0178,1.1305
57,0.0177,0.5118,0.0177,0.0051,1.2047,35.0776,0.0127,0.0177,1.1719
58,0.0177,0.5118,0.0177,0.0051,1.212,35.0779,0.0128,0.0177,1.1483
59,0.0177,0.5118,0.0177,0.005,1.2095,35.0781,0.0127,0.0177,1.1991
