step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0201,0.5174,0.0201,0.0133,1.3109,34.6769,0.0201,0.02,1.1691
1,0.0356,0.5317,0.0356,0.0253,1.1175,33.5727,0.0385,0.0355,1.1341
2,0.0515,0.5453,0.0515,0.0342,1.0366,32.6671,0.0546,0.0515,0.9785
3,0.0615,0.5565,0.0615,0.0436,1.0229,31.8449,0.0676,0.0615,1.1021
4,0.0756,0.567,0.0756,0.0561,1.0099,31.1609,0.0814,0.0754,1.0656
5,0.0836,0.5745,0.0836,0.0668,1.0024,30.6207,0.0918,0.0834,1.0781
6,0.0939,0.5817,0.0939,0.0759,0.9897,30.0825,0.1034,0.0937,1.1801
7,0.1033,0.5892,0.1033,0.0842,0.9844,29.562,0.1134,0.1031,1.1238
8,0.1101,0.5971,0.1101,0.0896,0.9784,29.0245,0.122,0.1099,1.1332
9,0.1163,0.6031,0.1163,0.0971,0.9728,28.6418,0.1312,0.1161,1.2436
10,0.1263,0.6082,0.1263,0.1053,0.9598,28.231,0.1405,0.126,1.214
11,0.1341,0.6146,0.1341,0.1102,0.9639,27.7756,0.1483,0.1338,1.3787
12,0.1437,0.6214,0.1437,0.1184,0.9523,27.308,0.1575,0.1435,1.184
13,0.1493,0.6274,0.1493,0.1235,0.9446,26.9152,0.1662,0.1491,1.3911
14,0.155,0.6328,0.155,0.1271,0.9366,26.5501,0.1726,0.1548,1.2634
15,0.1585,0.6368,0.1585,0.1296,0.9288,26.2459,0.1768,0.1583,1.237
16,0.163,0.639,0.163,0.1343,0.9352,26.102,0.1818,0.1627,1.2616
17,0.1707,0.6432,0.1707,0.1421,0.9283,25.8242,0.1879,0.1704,1.3219
18,0.1789,0.6489,0.1789,0.1484,0.9184,25.4228,0.1942,0.1786,1.3061
19,0.1857,0.6539,0.1857,0.1561,0.9086,25.0533,0.2016,0.1855,1.4207
20,0.1914,0.6571,0.1914,0.1594,0.9001,24.8163,0.2067,0.1912,1.4938
21,0.1962,0.6595,0.1962,0.1639,0.8947,24.6359,0.2121,0.196,1.4462
