step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.001,0.5,0.001,0.0,1.998,36.0081,0.001,0.001,26.4471
1,0.0015,0.5001,0.0015,0.0005,1.9959,35.9748,0.0012,0.0015,0.7741
2,0.0026,0.5012,0.0026,0.0005,1.6503,35.9383,0.0015,0.0025,10.4649
3,0.0035,0.5017,0.0035,0.0005,1.5899,35.9029,0.0017,0.0035,0.5756
4,0.0038,0.5014,0.0038,0.0006,1.5501,35.8723,0.0016,0.0037,0.917
5,0.0048,0.5019,0.0048,0.0007,1.5346,35.8357,0.0027,0.0047,0.786
6,0.0057,0.5025,0.0057,0.0008,1.4302,35.8003,0.0039,0.0057,1.3499
7,0.0067,0.5029,0.0067,0.0008,1.3963,35.7651,0.0041,0.0066,1.454
8,0.0076,0.5034,0.0076,0.001,1.3823,35.7295,0.0048,0.0075,0.7756
9,0.0085,0.5039,0.0085,0.001,1.3612,35.6943,0.0054,0.0085,2.0574
10,0.0094,0.5043,0.0094,0.001,1.3378,35.6582,0.0051,0.0094,1.8247
11,0.0104,0.5048,0.0104,0.0011,1.3305,35.6229,0.0055,0.0104,2.4218
12,0.0114,0.5054,0.0114,0.0011,1.3141,35.5876,0.0058,0.0114,0.914
13,0.0123,0.5059,0.0123,0.0013,1.3158,35.5511,0.0067,0.0123,1.1742
14,0.0133,0.5064,0.0133,0.0014,1.3038,35.5155,0.008,0.0133,0.8695
15,0.0143,0.5069,0.0143,0.0015,1.2983,35.4797,0.0084,0.0142,1.1581
16,0.0152,0.5074,0.0152,0.0015,1.2829,35.4439,0.009,0.0151,1.9392
17,0.0161,0.5078,0.0161,0.0017,1.2959,35.4087,0.0091,0.0161,2.6746
18,0.017,0.5084,0.017,0.0019,1.2889,35.3737,0.0093,0.017,1.3202
19,0.018,0.5089,0.018,0.002,1.2778,35.3373,0.0104,0.018,0.8575
20,0.0187,0.5094,0.0187,0.0022,1.2743,35.3014,0.0106,0.0187,1.6827
21,0.0197,0.5099,0.0197,0.0023,1.265,35.2653,0.0111,0.0196,1.5126
22,0.0206,0.5104,0.0206,0.0024,1.2604,35.2289,0.0116,0.0205,1.432
23,0.0214,0.5109,0.0214,0.0025,1.2533,35.193,0.0127,0.0213,1.5439
24,0.0223,0.5114,0.0223,0.0027,1.2519,35.1586,0.0127,0.0222,1.9691
25,0.023,0.5119,0.023,0.0029,1.2453,35.1223,0.0133,0.0229,1.7095
26,0.024,0.5124,0.024,0.003,1.2331,35.087,0.0142,0.0239,2.7631
27,0.025,0.5129,0.025,0.0034,1.2291,35.05,0.0152,0.0249,1.5538
28,0.026,0.5134,0.026,0.0035,1.2184,35.0153,0.0159,0.0259,1.4265
29,0.027,0.5139,0.027,0.0036,1.2184,34.9803,0.016,0.027,3.392
30,0.0281,0.5144,0.0281,0.0037,1.2131,34.9437,0.0173,0.028,1.9126
31,0.0287,0.5149,0.0287,0.0038,1.2048,34.9097,0.0178,0.0286,1.6643
32,0.0297,0.5154,0.0297,0.0039,1.1969,34.8744,0.0188,0.0296,2.4338
33,0.0297,0.5154,0.0297,0.0039,1.1968,34.8742,0.0188,0.0296,2.1989
34,0.0306,0.5159,0.0306,0.0042,1.1951,34.8395,0.019,0.0306,3.228
35,0.0315,0.5164,0.0315,0.0042,1.1844,34.8042,0.0199,0.0315,2.1811
36,0.0321,0.5169,0.0321,0.0043,1.1816,34.7686,0.0205,0.032,6.3997
37,0.0329,0.5174,0.0329,0.0045,1.1813,34.7336,0.021,0.0329,3.7719
38,0.0336,0.5179,0.0336,0.0048,1.1788,34.6982,0.0215,0.0335,1.3455
39,0.0345,0.5184,0.0345,0.005,1.1768,34.6629,0.0218,0.0344,2.9339
40,0.0349,0.5189,0.0349,0.0052,1.177,34.6291,0.022,0.0348,3.0616
41,0.0357,0.5194,0.0357,0.0054,1.1759,34.594,0.0224,0.0357,3.1599
42,0.0365,0.5198,0.0365,0.0056,1.1735,34.5592,0.023,0.0365,1.6437
43,0.0374,0.5203,0.0374,0.0057,1.1694,34.5248,0.0232,0.0374,2.2112
44,0.0384,0.5208,0.0384,0.0058,1.1665,34.4897,0.0235,0.0384,5.4356
45,0.0392,0.5213,0.0392,0.006,1.1644,34.454,0.0242,0.0392,2.7766
46,0.0402,0.5218,0.0402,0.0063,1.1619,34.4177,0.0252,0.0402,3.0066
47,0.0411,0.5223,0.0411,0.0065,1.1584,34.3814,0.026,0.0411,2.3522
48,0.042,0.5228,0.042,0.0067,1.1556,34.3457,0.0264,0.0419,2.1988
49,0.043,0.5233,0.043,0.0071,1.1552,34.3107,0.0266,0.0429,1.7132
50,0.044,0.5238,0.044,0.0074,1.1527,34.2752,0.0278,0.0439,2.9873
51,0.0448,0.5243,0.0448,0.0077,1.1501,34.2403,0.0285,0.0448,2.5326
52,0.0456,0.5247,0.0456,0.0081,1.149,34.2056,0.0294,0.0456,3.2045
53,0.0466,0.5253,0.0466,0.0084,1.1457,34.1696,0.03,0.0465,2.548
54,0.047,0.5257,0.047,0.0086,1.1442,34.1349,0.0304,0.047,4.2051
55,0.0479,0.5262,0.0479,0.009,1.1406,34.1005,0.0313,0.0478,2.848
56,0.0485,0.5266,0.0485,0.0092,1.138,34.0658,0.0318,0.0484,3.424
57,0.0491,0.5271,0.0491,0.0094,1.1363,34.0314,0.0324,0.0491,2.9414
58,0.05,0.5276,0.05,0.0096,1.1344,33.9955,0.0329,0.0499,5.6655
59,0.0508,0.5281,0.0508,0.0099,1.1337,33.9614,0.033,0.0507,3.895
