step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0077,0.5043,0.0077,0.0003,1.3142,35.6903,0.0027,0.0076,0.1251
1,0.0144,0.5086,0.0144,0.0012,1.2375,35.3493,0.0066,0.0144,0.1861
2,0.0222,0.5135,0.0222,0.0026,1.2023,35.0007,0.0101,0.0221,0.1915
3,0.0292,0.5175,0.0292,0.0044,1.1835,34.722,0.0122,0.0292,0.1793
4,0.036,0.5223,0.036,0.0059,1.1588,34.3806,0.0141,0.036,0.1756
5,0.0408,0.5266,0.0408,0.0078,1.1392,34.0764,0.0165,0.0408,0.1978
6,0.0453,0.5312,0.0453,0.0099,1.1291,33.7388,0.0185,0.0453,0.1898
7,0.0498,0.5357,0.0498,0.0122,1.1195,33.398,0.0223,0.0498,0.2143
8,0.0568,0.5405,0.0568,0.0146,1.1059,33.0594,0.0264,0.0567,0.2244
9,0.063,0.5453,0.063,0.0173,1.0974,32.7198,0.0308,0.0629,3.3989
10,0.0696,0.5494,0.0696,0.0205,1.0867,32.3883,0.0358,0.0694,6.6373
11,0.0747,0.5538,0.0747,0.0232,1.0795,32.0854,0.0386,0.0746,5.6391
12,0.0801,0.5587,0.0801,0.0272,1.0727,31.7504,0.0429,0.0801,7.5183
13,0.0855,0.5626,0.0855,0.0302,1.0661,31.4807,0.047,0.0855,2.3145
14,0.0914,0.5673,0.0914,0.0331,1.0593,31.1464,0.0503,0.0914,3.2077
15,0.0956,0.572,0.0956,0.0363,1.0555,30.8184,0.0533,0.0956,3.0494
16,0.1002,0.5763,0.1002,0.0397,1.0506,30.5166,0.0575,0.1003,4.0732
17,0.105,0.5801,0.105,0.0435,1.0467,30.2474,0.0606,0.105,4.1884
18,0.1105,0.5836,0.1105,0.0466,1.0411,30.0046,0.0657,0.1105,3.0513
19,0.1152,0.5883,0.1152,0.0499,1.0387,29.6765,0.0688,0.1152,6.5172
20,0.1202,0.5923,0.1202,0.0541,1.0388,29.4078,0.0723,0.1203,4.2816
21,0.1255,0.5971,0.1255,0.058,1.0365,29.0714,0.0757,0.1255,8.1955
22,0.1312,0.6013,0.1312,0.0624,1.0338,28.7726,0.0792,0.1312,2.1516
23,0.1373,0.6058,0.1373,0.0666,1.0245,28.4645,0.0853,0.1374,2.3418
24,0.1402,0.6099,0.1402,0.0696,1.0227,28.1764,0.0873,0.1403,3.6967
25,0.1434,0.6138,0.1434,0.0731,1.0194,27.9096,0.0913,0.1435,3.6148
26,0.1463,0.618,0.1463,0.0757,1.0192,27.6134,0.094,0.1464,3.002
27,0.1524,0.6219,0.1524,0.0803,1.0154,27.343,0.0982,0.1525,6.5365
