step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0087,0.5045,0.0087,0.0007,1.1603,35.7155,0.007,0.0087,18.0274
1,0.0169,0.5092,0.0169,0.0013,1.0989,35.3846,0.0135,0.0169,18.1255
2,0.0254,0.5137,0.0254,0.0039,1.0857,35.0768,0.0182,0.0255,21.8603
3,0.0324,0.5176,0.0324,0.0068,1.07,34.7971,0.0237,0.0325,18.8249
4,0.0391,0.522,0.0391,0.0089,1.0609,34.4908,0.029,0.0392,18.6416
5,0.0449,0.526,0.0449,0.0106,1.0496,34.1933,0.0338,0.0451,18.348
6,0.0499,0.5298,0.0499,0.0124,1.0435,33.9286,0.0363,0.05,18.2645
7,0.0537,0.5341,0.0537,0.016,1.0394,33.6118,0.0404,0.0537,18.2677
8,0.06,0.5381,0.06,0.0192,1.0339,33.3346,0.0467,0.06,18.3949
9,0.0646,0.5413,0.0646,0.0223,1.0281,33.0859,0.0502,0.0645,18.9297
10,0.07,0.5453,0.07,0.0246,1.0246,32.8254,0.0555,0.07,19.4003
11,0.0731,0.5486,0.0731,0.0277,1.0212,32.5865,0.0582,0.073,19.3757
12,0.0778,0.5512,0.0778,0.0296,1.0168,32.3949,0.0621,0.0777,19.2153
13,0.0839,0.5551,0.0839,0.0315,1.0108,32.1231,0.068,0.0838,18.6753
14,0.0883,0.5587,0.0883,0.0345,1.007,31.8849,0.072,0.0882,18.4679
15,0.0889,0.561,0.0889,0.036,1.0077,31.7084,0.0746,0.0887,18.2582
16,0.0935,0.5649,0.0935,0.0386,1.0041,31.4459,0.0784,0.0934,18.4271
17,0.0985,0.5679,0.0985,0.0409,1.0007,31.2373,0.0807,0.0983,18.7985
18,0.104,0.5718,0.104,0.0455,0.9964,30.9532,0.0874,0.104,19.2624
19,0.1048,0.5744,0.1048,0.0452,0.9952,30.7707,0.0888,0.1047,19.5884
20,0.1086,0.5776,0.1086,0.0489,0.9924,30.539,0.0939,0.1086,19.8303
21,0.1133,0.5808,0.1133,0.0523,0.9892,30.3342,0.0987,0.1133,19.7925
22,0.115,0.5833,0.115,0.056,0.9871,30.137,0.1014,0.1151,19.9711
23,0.1183,0.5869,0.1183,0.0576,0.9852,29.9021,0.105,0.1183,19.1217
24,0.126,0.5901,0.126,0.0606,0.9804,29.6795,0.1119,0.126,19.0867
25,0.1275,0.5933,0.1275,0.0633,0.979,29.4482,0.1126,0.1276,19.0734
26,0.1301,0.5964,0.1301,0.0643,0.978,29.2316,0.1151,0.1301,20.6469
27,0.1366,0.5998,0.1366,0.0693,0.9737,28.9936,0.1235,0.1366,19.6514
28,0.143,0.6025,0.143,0.0744,0.9707,28.8154,0.128,0.143,19.3649
29,0.1478,0.6059,0.1478,0.079,0.9683,28.59,0.1317,0.1478,19.9835
30,0.1531,0.6086,0.1531,0.0814,0.9655,28.3888,0.1362,0.1531,20.768
31,0.1527,0.6114,0.1527,0.0812,0.9641,28.2,0.1384,0.1527,19.2397
32,0.156,0.6132,0.156,0.0863,0.9618,28.0729,0.1433,0.156,19.9112
33,0.1594,0.6159,0.1594,0.0902,0.9605,27.8886,0.1454,0.1595,20.0188
34,0.1625,0.6184,0.1625,0.0928,0.9589,27.6971,0.1472,0.1625,20.5482
35,0.1637,0.6214,0.1637,0.0952,0.9577,27.4969,0.1511,0.1638,20.2417
36,0.1713,0.6259,0.1713,0.0987,0.9531,27.1995,0.1583,0.1714,19.9366
37,0.1717,0.628,0.1717,0.1001,0.9525,27.0532,0.1594,0.1718,20.7785
38,0.1758,0.6309,0.1758,0.1047,0.9501,26.8425,0.1626,0.1759,21.3773
39,0.18,0.6339,0.18,0.1082,0.9471,26.653,0.1677,0.1801,20.0164
40,0.1843,0.6356,0.1843,0.112,0.9461,26.5255,0.1697,0.1845,22.3703
41,0.1843,0.6383,0.1843,0.1132,0.9451,26.3434,0.1713,0.1844,22.1628
42,0.1885,0.6409,0.1885,0.1158,0.942,26.153,0.1764,0.1887,19.5663
43,0.1936,0.6433,0.1936,0.1203,0.9399,25.9896,0.1803,0.1938,22.2108
44,0.1951,0.6458,0.1951,0.1235,0.9387,25.822,0.1833,0.1953,21.3281
45,0.1981,0.6469,0.1981,0.1252,0.9364,25.7361,0.1856,0.1983,21.1172
46,0.1985,0.6487,0.1985,0.1285,0.9364,25.6165,0.1872,0.1987,24.1758
47,0.2017,0.6509,0.2017,0.1305,0.9354,25.4784,0.1891,0.2019,22.4924
48,0.2018,0.6511,0.2018,0.1309,0.9337,25.4545,0.1924,0.202,20.7325
49,0.2031,0.653,0.2031,0.1323,0.9329,25.3403,0.1935,0.2033,22.7778
50,0.2062,0.6537,0.2062,0.1352,0.931,25.2732,0.1964,0.2064,21.6528
51,0.2123,0.6578,0.2123,0.1396,0.9282,24.9989,0.202,0.2124,21.6824
52,0.2078,0.6589,0.2078,0.1394,0.9291,24.9339,0.2,0.208,21.729
53,0.2133,0.6605,0.2133,0.1437,0.9264,24.8115,0.2064,0.2134,23.3016
54,0.2172,0.6637,0.2172,0.1467,0.925,24.5871,0.2085,0.2173,22.3666
55,0.218,0.6664,0.218,0.1492,0.9232,24.4086,0.2117,0.2181,21.1879
56,0.226,0.6695,0.226,0.152,0.9201,24.2076,0.2171,0.2261,21.4036
57,0.2271,0.6715,0.2271,0.1562,0.9196,24.0747,0.2196,0.2273,22.0591
58,0.2349,0.6746,0.2349,0.1626,0.9164,23.8685,0.226,0.2351,23.2407
59,0.2334,0.6757,0.2334,0.1604,0.9158,23.7827,0.2243,0.2336,24.2726
