step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.009,0.5048,0.009,0.0005,1.1504,35.693,0.0063,0.009,0.0696
1,0.0133,0.508,0.0133,0.0013,1.1093,35.4519,0.0092,0.0133,1.2123
2,0.0184,0.5115,0.0184,0.0022,1.0968,35.2103,0.0134,0.0184,1.6172
3,0.0222,0.5147,0.0222,0.0039,1.0874,34.9732,0.0153,0.0221,1.0553
4,0.0261,0.5179,0.0261,0.0046,1.0807,34.739,0.0199,0.0261,1.1099
5,0.0308,0.5209,0.0308,0.0066,1.0701,34.5307,0.0242,0.0307,1.4461
6,0.0356,0.5242,0.0356,0.0093,1.0629,34.2924,0.0281,0.0355,0.9109
7,0.0382,0.5256,0.0382,0.0112,1.0626,34.1877,0.0307,0.038,1.1274
8,0.0372,0.5266,0.0372,0.0116,1.0621,34.0886,0.0304,0.037,1.2583
9,0.0442,0.5307,0.0442,0.0147,1.0546,33.8016,0.0361,0.0441,1.3332
10,0.0466,0.5343,0.0466,0.0165,1.0442,33.5622,0.0376,0.0465,1.3292
11,0.0522,0.538,0.0522,0.0195,1.0399,33.2962,0.0429,0.0521,1.2789
12,0.0552,0.5414,0.0552,0.0199,1.0356,33.0521,0.046,0.0552,1.5645
13,0.0584,0.5438,0.0584,0.022,1.0351,32.8881,0.0505,0.0583,1.4815
14,0.0625,0.5456,0.0625,0.0246,1.0336,32.7474,0.0533,0.0624,1.6764
15,0.0667,0.5496,0.0667,0.0267,1.0258,32.4924,0.057,0.0666,1.4488
16,0.0701,0.5535,0.0701,0.0276,1.0201,32.2145,0.0606,0.07,1.6323
17,0.0738,0.5556,0.0738,0.0299,1.0192,32.0509,0.0617,0.0737,1.6227
18,0.0754,0.5586,0.0754,0.0332,1.0171,31.8329,0.0657,0.0753,1.3239
19,0.08,0.5632,0.08,0.0357,1.0143,31.52,0.0691,0.0799,1.6363
20,0.0841,0.5662,0.0841,0.0383,1.0113,31.2973,0.0725,0.084,1.6996
21,0.0856,0.5695,0.0856,0.039,1.0091,31.0568,0.0746,0.0855,1.6789
22,0.0906,0.573,0.0906,0.0437,1.0069,30.8137,0.0791,0.0905,1.6132
23,0.0936,0.5763,0.0936,0.0453,1.0033,30.5874,0.0813,0.0935,1.4913
24,0.0961,0.5777,0.0961,0.0474,1.0021,30.4656,0.0838,0.096,1.7601
25,0.0978,0.5819,0.0978,0.0505,1.0005,30.1705,0.0885,0.0976,1.7065
26,0.1036,0.5843,0.1036,0.0525,0.9968,30.0074,0.0909,0.1035,2.0493
27,0.1044,0.585,0.1044,0.0532,0.9952,29.963,0.0929,0.1042,1.5791
28,0.1062,0.5882,0.1062,0.0537,0.9936,29.739,0.0951,0.106,1.6976
29,0.1119,0.59,0.1119,0.0593,0.9913,29.6146,0.1001,0.1117,1.9454
30,0.1111,0.5916,0.1111,0.0583,0.991,29.5085,0.1013,0.111,1.8161
31,0.1138,0.5938,0.1138,0.0608,0.9896,29.3551,0.1047,0.1136,1.9574
32,0.1195,0.5973,0.1195,0.0648,0.9875,29.116,0.1078,0.1193,1.7482
33,0.1215,0.5991,0.1215,0.0666,0.9846,28.9931,0.1118,0.1213,1.9517
34,0.1242,0.6008,0.1242,0.0686,0.9824,28.8779,0.1149,0.124,2.1799
35,0.1304,0.6044,0.1304,0.0718,0.9797,28.6224,0.1196,0.1302,2.1302
36,0.1324,0.6077,0.1324,0.0745,0.9786,28.4009,0.1222,0.1322,2.1392
37,0.136,0.6093,0.136,0.0766,0.9754,28.2902,0.1264,0.1358,2.2433
38,0.1384,0.6118,0.1384,0.0796,0.9748,28.1108,0.1282,0.1382,2.2331
39,0.1423,0.6144,0.1423,0.0801,0.9718,27.9355,0.131,0.142,2.1565
40,0.145,0.6171,0.145,0.0827,0.9711,27.7539,0.1329,0.1448,2.161
41,0.1454,0.6191,0.1454,0.0838,0.9698,27.6223,0.1351,0.1451,2.1816
42,0.1536,0.622,0.1536,0.0915,0.9674,27.4108,0.1411,0.1534,2.4218
43,0.1553,0.6247,0.1553,0.0927,0.9649,27.2132,0.1442,0.155,2.2104
44,0.1552,0.6267,0.1552,0.094,0.9637,27.0898,0.1462,0.155,2.291
45,0.157,0.6301,0.157,0.0955,0.9615,26.8568,0.1472,0.1568,2.2525
46,0.1619,0.6328,0.1619,0.1011,0.9615,26.6843,0.1526,0.1616,2.2052
47,0.1682,0.6345,0.1682,0.1035,0.9573,26.5592,0.1567,0.168,2.4917
48,0.1727,0.638,0.1727,0.1093,0.9555,26.3273,0.1618,0.1725,2.3335
49,0.1718,0.6384,0.1718,0.1065,0.9544,26.3038,0.1626,0.1715,2.5082
50,0.1739,0.6397,0.1739,0.1097,0.9533,26.2222,0.1645,0.1737,2.088
51,0.175,0.6427,0.175,0.1109,0.952,26.0179,0.1643,0.1747,2.3095
52,0.1808,0.6448,0.1808,0.1145,0.9502,25.8775,0.1707,0.1806,2.4232
53,0.1861,0.648,0.1861,0.12,0.9472,25.6727,0.178,0.186,2.4983
54,0.1856,0.649,0.1856,0.1203,0.9479,25.5876,0.1775,0.1854,2.2902
55,0.1862,0.6515,0.1862,0.1207,0.9475,25.4272,0.1769,0.186,2.1011
56,0.1898,0.6519,0.1898,0.1239,0.9439,25.3807,0.1802,0.1896,2.8338
57,0.1915,0.6554,0.1915,0.1261,0.9446,25.1596,0.1833,0.1914,2.4819
58,0.1981,0.6577,0.1981,0.1301,0.9411,25.0122,0.1892,0.1979,3.0464
59,0.2,0.6604,0.2,0.1345,0.9401,24.8116,0.1932,0.1998,2.8133
