step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.001,0.5,0.001,0.0,1.998,36.0081,0.001,0.001,0.0295
1,0.0019,0.501,0.0019,0.0,1.5185,35.9732,0.0014,0.002,0.0346
2,0.0027,0.5014,0.0027,0.0001,1.3825,35.9387,0.0019,0.0028,0.0319
3,0.0036,0.5019,0.0036,0.0002,1.3331,35.904,0.0025,0.0037,0.0238
4,0.0045,0.5023,0.0045,0.0002,1.2564,35.8698,0.0028,0.0046,0.0244
5,0.0056,0.5029,0.0056,0.0002,1.2205,35.8352,0.0039,0.0056,0.0252
6,0.0065,0.5033,0.0065,0.0002,1.1943,35.7994,0.0044,0.0065,0.0284
7,0.0073,0.5039,0.0073,0.0004,1.1793,35.7652,0.0052,0.0073,0.0261
8,0.0084,0.5044,0.0084,0.0005,1.1654,35.7305,0.0065,0.0084,0.0262
9,0.0094,0.5049,0.0094,0.0003,1.1456,35.6963,0.0068,0.0094,0.0303
10,0.0099,0.5053,0.0099,0.0006,1.1492,35.6608,0.0071,0.01,0.0246
11,0.0111,0.5059,0.0111,0.0007,1.1314,35.6261,0.0085,0.0112,0.0226
12,0.0121,0.5063,0.0121,0.0005,1.1237,35.5918,0.0086,0.0122,0.0306
13,0.0124,0.5067,0.0124,0.0009,1.1238,35.5672,0.0092,0.0125,0.0275
14,0.0126,0.5067,0.0126,0.0009,1.1248,35.5497,0.009,0.0127,0.026
15,0.0133,0.5072,0.0133,0.0012,1.1133,35.5149,0.0097,0.0134,0.0258
16,0.014,0.5077,0.014,0.0011,1.111,35.4808,0.0104,0.0141,0.0313
17,0.015,0.5081,0.015,0.0013,1.1082,35.4462,0.0105,0.0151,0.023
18,0.016,0.5087,0.016,0.0011,1.1015,35.4112,0.0111,0.0161,0.0269
19,0.0164,0.5091,0.0164,0.0016,1.1043,35.3754,0.0113,0.0165,0.0317
20,0.0173,0.5096,0.0173,0.0015,1.1005,35.3394,0.0117,0.0174,0.0285
21,0.0178,0.5101,0.0178,0.0015,1.0993,35.3068,0.0121,0.018,0.0245
22,0.0192,0.5106,0.0192,0.0017,1.0922,35.2727,0.0128,0.0193,0.0293
23,0.0195,0.511,0.0195,0.002,1.0932,35.2381,0.0132,0.0197,0.0238
24,0.019,0.5113,0.019,0.0018,1.0878,35.2095,0.0136,0.0192,0.0283
25,0.0211,0.5118,0.0211,0.0023,1.0809,35.1761,0.0143,0.0212,0.0294
26,0.0212,0.5122,0.0212,0.0024,1.0823,35.1375,0.0145,0.0213,0.0314
27,0.0212,0.5128,0.0212,0.0022,1.079,35.1061,0.015,0.0213,0.0425
28,0.0225,0.5131,0.0225,0.0027,1.0789,35.0733,0.0155,0.0226,0.027
29,0.0231,0.5137,0.0231,0.0028,1.079,35.0403,0.0164,0.0232,0.0314
30,0.0244,0.5141,0.0244,0.003,1.0778,35.0047,0.0166,0.0245,0.0296
31,0.0249,0.5146,0.0249,0.003,1.0764,34.9683,0.0173,0.025,0.0307
32,0.0248,0.5151,0.0248,0.003,1.0718,34.9347,0.0173,0.0249,0.0314
33,0.0269,0.5156,0.0269,0.0033,1.0686,34.9011,0.0183,0.027,0.0292
34,0.0272,0.5162,0.0272,0.0035,1.0699,34.8605,0.0184,0.0272,0.0253
35,0.028,0.5165,0.028,0.0034,1.0694,34.8303,0.0188,0.0281,0.0299
36,0.0281,0.5172,0.0281,0.0037,1.0697,34.7957,0.0198,0.0282,0.0268
37,0.0284,0.5174,0.0284,0.004,1.068,34.7681,0.0199,0.0284,0.0252
38,0.0286,0.5178,0.0286,0.004,1.0656,34.7424,0.0199,0.0287,0.0254
39,0.0305,0.5184,0.0305,0.0046,1.063,34.7038,0.0214,0.0305,0.037
40,0.0309,0.5189,0.0309,0.0044,1.0614,34.6654,0.0212,0.0309,0.0273
41,0.0328,0.5193,0.0328,0.0054,1.0614,34.6363,0.0231,0.0329,0.0281
42,0.0332,0.5197,0.0332,0.0052,1.0577,34.6117,0.0232,0.0333,0.028
43,0.034,0.5204,0.034,0.0056,1.0588,34.5613,0.0243,0.0341,0.0245
44,0.0341,0.5209,0.0341,0.0051,1.057,34.5325,0.0247,0.0341,0.0241
45,0.036,0.5211,0.036,0.0057,1.0544,34.503,0.0248,0.036,0.0344
46,0.0351,0.5217,0.0351,0.0057,1.0562,34.4589,0.0249,0.0351,0.0275
47,0.0367,0.5222,0.0367,0.0058,1.0556,34.4338,0.0253,0.0367,0.0302
48,0.0363,0.5227,0.0363,0.0054,1.0556,34.3964,0.0243,0.0363,0.0254
49,0.0372,0.5226,0.0372,0.0065,1.0555,34.3963,0.0249,0.0372,0.0292
50,0.0373,0.5233,0.0373,0.0061,1.0536,34.3555,0.0248,0.0373,0.0273
51,0.0376,0.5233,0.0376,0.0057,1.054,34.3438,0.0256,0.0376,0.0331
52,0.0395,0.5241,0.0395,0.0068,1.0527,34.2965,0.0263,0.0395,0.0463
53,0.0399,0.5247,0.0399,0.0067,1.0523,34.2595,0.0268,0.0399,0.0413
54,0.0401,0.525,0.0401,0.007,1.0517,34.2268,0.0281,0.0402,0.0385
55,0.0403,0.5257,0.0403,0.0068,1.0503,34.1873,0.0285,0.0403,0.0295
56,0.0421,0.526,0.0421,0.0069,1.0469,34.1694,0.0293,0.0422,0.0454
57,0.0431,0.5265,0.0431,0.0078,1.0479,34.1303,0.03,0.0431,0.0416
58,0.043,0.5267,0.043,0.0079,1.0481,34.1194,0.0303,0.043,0.0266
59,0.0453,0.5269,0.0453,0.0078,1.0463,34.0935,0.0319,0.0454,0.0439
