step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0094,0.5046,0.0094,0.0009,1.1783,35.6989,0.0081,0.0093,5.6003
1,0.0189,0.5097,0.0189,0.0026,1.1117,35.3412,0.0166,0.0187,2.7469
2,0.0277,0.5145,0.0277,0.0042,1.0841,35.0021,0.0228,0.0275,3.0438
3,0.0364,0.5195,0.0364,0.0074,1.0657,34.657,0.0305,0.0364,3.0842
4,0.0444,0.5244,0.0444,0.0093,1.0543,34.3105,0.0386,0.0443,2.3837
5,0.0532,0.5294,0.0532,0.0114,1.0391,33.9598,0.0464,0.0531,3.2598
6,0.0624,0.5342,0.0624,0.0136,1.0301,33.6167,0.0536,0.0623,4.6518
7,0.0713,0.5392,0.0713,0.0184,1.023,33.2682,0.0622,0.0712,4.0235
8,0.0771,0.5436,0.0771,0.0226,1.0183,32.9666,0.0688,0.077,3.9793
9,0.0848,0.5473,0.0848,0.0242,1.0112,32.7003,0.0745,0.0847,4.6678
10,0.0922,0.5523,0.0922,0.0284,1.0037,32.3541,0.0818,0.092,5.7974
11,0.0991,0.5568,0.0991,0.0327,1.0008,32.0414,0.0879,0.099,5.5064
12,0.1064,0.5612,0.1064,0.038,0.9934,31.7311,0.0962,0.1062,5.2242
13,0.1133,0.5653,0.1133,0.0422,0.9906,31.4358,0.1025,0.1132,4.5897
14,0.1191,0.57,0.1191,0.0444,0.9848,31.1077,0.1089,0.1189,6.9805
15,0.1239,0.5728,0.1239,0.0471,0.9789,30.9147,0.1133,0.1237,10.8117
16,0.1319,0.5778,0.1319,0.0527,0.975,30.5682,0.1201,0.1317,4.9857
17,0.1392,0.5824,0.1392,0.0573,0.9703,30.2507,0.1276,0.1391,6.357
18,0.1469,0.5869,0.1469,0.0649,0.9672,29.9395,0.1338,0.1468,5.7084
19,0.1544,0.5917,0.1544,0.0693,0.9612,29.6034,0.1407,0.1543,8.1846
20,0.1593,0.5965,0.1593,0.0735,0.9568,29.2674,0.1461,0.1591,6.8311
21,0.1679,0.6011,0.1679,0.0788,0.9529,28.953,0.1529,0.1676,7.9126
22,0.1747,0.6056,0.1747,0.0839,0.9476,28.6376,0.1599,0.1744,8.141
23,0.1813,0.6104,0.1813,0.0887,0.9445,28.3045,0.1668,0.1811,7.2088
24,0.1867,0.6146,0.1867,0.0937,0.9408,28.0059,0.1722,0.1865,8.5262
25,0.191,0.6183,0.191,0.0994,0.9388,27.7585,0.1758,0.1909,7.67
26,0.1959,0.622,0.1959,0.1023,0.9351,27.499,0.1814,0.1957,12.1908
27,0.2022,0.6263,0.2022,0.1104,0.9327,27.1957,0.1871,0.2019,10.7594
28,0.2081,0.6307,0.2081,0.1131,0.9292,26.8921,0.1938,0.2079,9.4786
29,0.2174,0.6354,0.2174,0.1208,0.924,26.5754,0.2024,0.2171,8.2966
30,0.219,0.6399,0.219,0.1233,0.9225,26.2547,0.2042,0.2187,14.2109
31,0.2276,0.6437,0.2276,0.1305,0.9182,25.9983,0.213,0.2274,11.8444
32,0.2327,0.6479,0.2327,0.1378,0.9151,25.7099,0.2188,0.2324,9.8067
33,0.2382,0.6504,0.2382,0.1423,0.9133,25.5313,0.2232,0.2379,9.9037
34,0.2415,0.6544,0.2415,0.1456,0.9101,25.2573,0.2287,0.2411,13.2844
35,0.2494,0.6584,0.2494,0.1515,0.9069,24.9844,0.2343,0.2491,9.0718
36,0.2521,0.6628,0.2521,0.1555,0.9044,24.6831,0.2373,0.2518,10.044
37,0.2595,0.6667,0.2595,0.1614,0.9016,24.4115,0.2447,0.2591,13.0016
38,0.2666,0.6711,0.2666,0.1684,0.8982,24.1093,0.2509,0.2662,11.1532
39,0.2713,0.6754,0.2713,0.1737,0.8947,23.811,0.2563,0.271,18.2813
40,0.2763,0.6795,0.2763,0.1777,0.892,23.532,0.2629,0.276,11.9972
41,0.2836,0.6846,0.2836,0.1854,0.8893,23.1894,0.2678,0.2832,13.3151
42,0.2885,0.6879,0.2885,0.1916,0.8867,22.9511,0.2749,0.2882,10.5094
43,0.2928,0.6917,0.2928,0.1938,0.8844,22.7013,0.2795,0.2926,12.7648
44,0.2966,0.695,0.2966,0.2008,0.8819,22.4735,0.2836,0.2964,13.7539
45,0.2997,0.6978,0.2997,0.204,0.8801,22.2777,0.2872,0.2995,15.037
46,0.3053,0.7016,0.3053,0.2096,0.878,22.0239,0.2925,0.3051,22.3809
47,0.3084,0.7047,0.3084,0.2141,0.8755,21.8021,0.2971,0.3081,20.4294
48,0.3143,0.7097,0.3143,0.2203,0.873,21.4627,0.302,0.314,16.5639
49,0.3183,0.7117,0.3183,0.2236,0.8711,21.3316,0.3076,0.3181,16.0782
50,0.3232,0.7157,0.3232,0.23,0.8679,21.0411,0.3135,0.3229,13.4339
51,0.3266,0.719,0.3266,0.235,0.8646,20.8263,0.3191,0.3263,20.0092
52,0.3306,0.7217,0.3306,0.2388,0.8631,20.6432,0.3216,0.3304,19.0749
53,0.3351,0.7259,0.3351,0.2453,0.8616,20.3541,0.3266,0.3348,25.657
54,0.3426,0.7277,0.3426,0.2532,0.8591,20.2233,0.3353,0.3423,17.2768
55,0.347,0.732,0.347,0.2555,0.8563,19.9307,0.3378,0.3467,15.5775
56,0.3491,0.7361,0.3491,0.2587,0.8547,19.6559,0.3407,0.3488,16.633
57,0.3556,0.7396,0.3556,0.2677,0.8524,19.4135,0.3474,0.3553,21.1915
58,0.3624,0.7432,0.3624,0.2747,0.8493,19.1692,0.3543,0.3621,14.858
59,0.3635,0.7453,0.3635,0.2773,0.8473,19.0244,0.3577,0.3632,19.5218
