step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.001,0.5,0.001,0.0,1.998,36.0081,0.001,0.001,0.1268
1,0.002,0.501,0.002,0.0,1.5099,35.9732,0.0014,0.002,0.2234
2,0.0025,0.5014,0.0025,0.0,1.3523,35.9386,0.0025,0.0026,0.248
3,0.004,0.5019,0.004,0.0001,1.2871,35.9027,0.0027,0.004,0.2347
4,0.0047,0.5024,0.0047,0.0001,1.234,35.8683,0.0034,0.0047,0.2262
5,0.0058,0.503,0.0058,0.0002,1.2138,35.8334,0.0049,0.0059,0.2248
6,0.007,0.5034,0.007,0.0003,1.1882,35.7979,0.005,0.007,0.2368
7,0.0072,0.5036,0.0072,0.0003,1.1663,35.7634,0.0055,0.0072,0.2723
8,0.0076,0.504,0.0076,0.0003,1.1643,35.7294,0.0046,0.0076,0.243
9,0.0078,0.5045,0.0078,0.0005,1.1483,35.6948,0.0053,0.0079,0.2426
10,0.0089,0.5049,0.0089,0.0005,1.1404,35.6606,0.0063,0.0089,0.2447
11,0.0096,0.5053,0.0096,0.0009,1.1302,35.6269,0.0069,0.0097,0.2418
12,0.0109,0.5059,0.0109,0.0009,1.119,35.5919,0.007,0.0109,0.2367
13,0.0113,0.5063,0.0113,0.0009,1.1079,35.5575,0.0067,0.0113,0.2459
14,0.0115,0.5068,0.0115,0.0011,1.1107,35.5236,0.0079,0.0115,0.2554
15,0.0123,0.5074,0.0123,0.0011,1.1067,35.4905,0.0082,0.0123,0.2712
16,0.013,0.5077,0.013,0.001,1.0993,35.4557,0.0085,0.0131,0.2876
17,0.0138,0.5082,0.0138,0.0012,1.1068,35.4205,0.0088,0.0139,0.2752
18,0.0148,0.5087,0.0148,0.0011,1.0963,35.3877,0.0094,0.0148,0.2762
19,0.016,0.5091,0.016,0.0013,1.0939,35.3527,0.01,0.016,0.2737
20,0.0163,0.5098,0.0163,0.0015,1.0942,35.3188,0.0095,0.0164,0.2688
21,0.0167,0.5099,0.0167,0.0015,1.0898,35.2912,0.0104,0.0167,0.2968
22,0.0175,0.5102,0.0175,0.0016,1.0844,35.2597,0.011,0.0175,0.2909
23,0.0184,0.5109,0.0184,0.0021,1.0899,35.2338,0.0112,0.0184,0.2761
24,0.0187,0.5112,0.0187,0.003,1.0856,35.1986,0.0122,0.0188,0.3084
25,0.0186,0.5117,0.0186,0.0027,1.0821,35.1657,0.0132,0.0187,0.2826
26,0.0201,0.5124,0.0201,0.0031,1.0801,35.1231,0.014,0.0201,0.2738
27,0.0203,0.5125,0.0203,0.0026,1.0765,35.1036,0.0141,0.0203,0.3109
28,0.0207,0.5128,0.0207,0.0033,1.0789,35.0623,0.0132,0.0207,0.2881
29,0.0217,0.513,0.0217,0.003,1.0707,35.0303,0.0135,0.0217,0.2645
30,0.0224,0.5137,0.0224,0.0037,1.0726,35.0019,0.0148,0.0224,0.2967
31,0.0231,0.5143,0.0231,0.004,1.0705,34.962,0.0156,0.0231,0.294
32,0.0234,0.5152,0.0234,0.0044,1.0732,34.9219,0.0157,0.0234,0.3046
33,0.024,0.515,0.024,0.0045,1.0639,34.8949,0.016,0.024,0.3017
34,0.0255,0.5156,0.0255,0.005,1.0677,34.8611,0.0161,0.0255,0.3151
35,0.0258,0.5164,0.0258,0.0043,1.0616,34.8253,0.0176,0.0258,0.3452
36,0.027,0.5171,0.027,0.0048,1.0607,34.7842,0.0167,0.027,0.3329
37,0.0266,0.5168,0.0266,0.0045,1.0608,34.769,0.0163,0.0266,0.3115
38,0.0275,0.5174,0.0275,0.0049,1.0606,34.7322,0.018,0.0275,0.4128
39,0.0288,0.5181,0.0288,0.0053,1.0567,34.699,0.0186,0.0288,0.3701
40,0.0281,0.518,0.0281,0.0051,1.0614,34.6661,0.0175,0.0281,0.3623
41,0.0279,0.5191,0.0279,0.0054,1.0596,34.6303,0.019,0.0279,0.3578
42,0.0296,0.5194,0.0296,0.0061,1.0557,34.597,0.0207,0.0296,0.5355
43,0.0306,0.5199,0.0306,0.0067,1.0555,34.5649,0.0199,0.0306,0.5706
44,0.0312,0.5204,0.0312,0.0069,1.0531,34.5333,0.0205,0.0312,0.4578
45,0.031,0.5208,0.031,0.0071,1.0566,34.4956,0.0209,0.031,0.3819
46,0.0319,0.5211,0.0319,0.007,1.0515,34.4714,0.0214,0.0319,0.344
47,0.0325,0.5215,0.0325,0.0077,1.0529,34.4332,0.0207,0.0324,0.3364
48,0.0333,0.5222,0.0333,0.0072,1.0507,34.399,0.0219,0.0333,0.3605
49,0.0341,0.5226,0.0341,0.007,1.048,34.3702,0.023,0.0341,0.3841
50,0.034,0.5228,0.034,0.008,1.0495,34.3385,0.0227,0.0341,0.3679
51,0.0354,0.5235,0.0354,0.0082,1.0465,34.2974,0.0242,0.0354,0.3857
52,0.0338,0.5235,0.0338,0.0083,1.0479,34.2712,0.0236,0.0338,0.3628
53,0.0354,0.524,0.0354,0.0088,1.0455,34.2428,0.025,0.0354,0.3871
54,0.0345,0.5245,0.0345,0.0095,1.0503,34.2212,0.0244,0.0345,0.3978
55,0.036,0.5251,0.036,0.0097,1.047,34.1806,0.0245,0.036,0.3471
56,0.0383,0.5255,0.0383,0.0102,1.0435,34.1459,0.026,0.0383,0.3559
57,0.037,0.5256,0.037,0.0099,1.0447,34.1258,0.025,0.037,0.3607
58,0.0377,0.5264,0.0377,0.0098,1.0422,34.0819,0.0267,0.0377,0.3844
59,0.0385,0.5265,0.0385,0.0105,1.0411,34.0475,0.0273,0.0385,0.5027
