step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0076,0.5044,0.0076,0.0003,1.1455,35.6942,0.0049,0.0076,0.1205
1,0.0155,0.5091,0.0155,0.001,1.0911,35.3508,0.0103,0.0155,0.2425
2,0.022,0.5139,0.022,0.0021,1.0742,35.0106,0.0138,0.022,0.2705
3,0.0291,0.5177,0.0291,0.0036,1.0624,34.7112,0.0182,0.0291,0.2684
4,0.0338,0.5223,0.0338,0.0058,1.062,34.4066,0.0239,0.0338,0.281
5,0.0405,0.5266,0.0405,0.0077,1.0525,34.0869,0.0284,0.0405,0.2956
6,0.0465,0.5313,0.0465,0.0091,1.0437,33.7712,0.0325,0.0464,0.3157
7,0.0515,0.5349,0.0515,0.0113,1.0377,33.4749,0.0359,0.0514,0.3317
8,0.0564,0.5394,0.0564,0.0133,1.0318,33.1421,0.0419,0.0563,0.3532
9,0.0621,0.5441,0.0621,0.0155,1.0264,32.8483,0.046,0.0621,0.384
10,0.068,0.5482,0.068,0.0184,1.0224,32.5455,0.05,0.0681,0.4032
11,0.0704,0.5525,0.0704,0.0214,1.0185,32.2408,0.0528,0.0705,0.423
12,0.0774,0.5562,0.0774,0.0245,1.0138,31.9987,0.0601,0.0774,0.4561
13,0.0808,0.5597,0.0808,0.0268,1.0111,31.7615,0.0623,0.0809,0.4667
14,0.0839,0.5633,0.0839,0.0276,1.0079,31.5036,0.0651,0.084,0.4828
15,0.0895,0.5665,0.0895,0.0314,1.0048,31.2682,0.0696,0.0897,0.5089
16,0.0942,0.5709,0.0942,0.0345,0.9999,30.9623,0.0759,0.0943,0.5362
17,0.1,0.5749,0.1,0.0396,0.9978,30.6686,0.0791,0.1001,0.561
18,0.1043,0.579,0.1043,0.042,0.9954,30.4001,0.0845,0.1044,0.5925
19,0.1113,0.5839,0.1113,0.0462,0.9907,30.0601,0.092,0.1113,0.6139
20,0.1171,0.5879,0.1171,0.0506,0.9878,29.7822,0.0954,0.1171,0.6365
21,0.1219,0.5919,0.1219,0.0541,0.9862,29.516,0.0999,0.122,0.6552
22,0.1272,0.596,0.1272,0.0572,0.9828,29.24,0.1047,0.1272,0.6894
23,0.1312,0.6005,0.1312,0.0625,0.9803,28.9203,0.1091,0.1312,0.7078
24,0.1363,0.6037,0.1363,0.0676,0.978,28.6944,0.1151,0.1363,0.735
25,0.1425,0.6086,0.1425,0.0717,0.9737,28.3776,0.121,0.1425,0.7727
26,0.1468,0.6125,0.1468,0.0761,0.9723,28.1083,0.1252,0.1468,0.8086
27,0.1531,0.6152,0.1531,0.079,0.969,27.9119,0.132,0.1532,0.807
28,0.1572,0.6195,0.1572,0.0839,0.967,27.6249,0.1337,0.1572,0.8648
29,0.1631,0.6225,0.1631,0.0904,0.9645,27.4076,0.1422,0.1632,0.8721
30,0.1664,0.6277,0.1664,0.0924,0.9627,27.0593,0.1446,0.1665,0.8689
31,0.1691,0.6299,0.1691,0.0967,0.961,26.9056,0.1486,0.1692,0.9302
32,0.1727,0.6328,0.1727,0.0999,0.959,26.7118,0.1524,0.1728,0.943
33,0.1767,0.6375,0.1767,0.1044,0.9577,26.3866,0.1557,0.1767,0.9397
34,0.1823,0.6391,0.1823,0.1077,0.9547,26.2679,0.1603,0.1823,0.9952
35,0.1856,0.6428,0.1856,0.1119,0.954,26.0164,0.1645,0.1855,1.0138
36,0.1894,0.6457,0.1894,0.1153,0.9519,25.8192,0.1679,0.1894,1.0127
37,0.1916,0.6487,0.1916,0.1175,0.9498,25.6166,0.1712,0.1916,1.0187
38,0.1971,0.6528,0.1971,0.1236,0.9471,25.3527,0.1789,0.1972,1.0267
39,0.2035,0.657,0.2035,0.1278,0.9441,25.0681,0.1852,0.2036,1.0723
40,0.2073,0.6595,0.2073,0.1321,0.9418,24.8913,0.1903,0.2073,1.1316
41,0.2108,0.6637,0.2108,0.1359,0.9407,24.6088,0.1926,0.2108,1.1331
42,0.2162,0.6666,0.2162,0.1407,0.9387,24.4095,0.1971,0.2162,1.1493
43,0.2181,0.6704,0.2181,0.1444,0.9365,24.1552,0.2006,0.2181,1.2034
44,0.2193,0.6732,0.2193,0.1478,0.9365,23.9651,0.2041,0.2193,1.2607
45,0.2244,0.6762,0.2244,0.1526,0.9351,23.753,0.2052,0.2244,1.2025
46,0.2284,0.6793,0.2284,0.1543,0.9323,23.5481,0.2096,0.2284,1.3218
47,0.2334,0.6837,0.2334,0.1602,0.9303,23.2471,0.2163,0.2333,1.3334
48,0.2395,0.6873,0.2395,0.1662,0.9275,23.0062,0.2197,0.2394,1.2791
49,0.241,0.69,0.241,0.1681,0.9266,22.8194,0.2235,0.2409,1.6743
50,0.2485,0.6937,0.2485,0.1736,0.9228,22.5715,0.2314,0.2484,1.5909
51,0.249,0.6962,0.249,0.1777,0.923,22.4048,0.2327,0.2488,1.6483
52,0.2546,0.7004,0.2546,0.1816,0.92,22.1177,0.2376,0.2545,1.7063
53,0.2596,0.7035,0.2596,0.1865,0.9191,21.9039,0.241,0.2595,1.7664
54,0.2655,0.7063,0.2655,0.1916,0.917,21.7188,0.2468,0.2654,1.462
55,0.267,0.7084,0.267,0.1953,0.9145,21.5608,0.2515,0.2669,1.5496
56,0.2722,0.7124,0.2722,0.2021,0.9128,21.291,0.2559,0.272,1.5159
57,0.2792,0.716,0.2792,0.2083,0.9105,21.0603,0.2627,0.279,1.5106
58,0.2808,0.7169,0.2808,0.2097,0.9088,20.9876,0.2642,0.2807,1.5295
59,0.2803,0.7206,0.2803,0.211,0.9092,20.7416,0.2663,0.2802,1.7863
