step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0359,0.5238,0.0359,0.0126,1.2218,32.4721,0.0244,0.0365,0.0221
1,0.0448,0.5377,0.0448,0.0176,1.1857,30.9513,0.0328,0.044,8.216
2,0.0563,0.5536,0.0563,0.0243,1.154,29.4105,0.0417,0.0558,8.0141
3,0.0795,0.5827,0.0795,0.0406,1.0668,27.0258,0.0575,0.0811,8.7737
4,0.0966,0.6129,0.0966,0.059,1.0377,24.3356,0.0855,0.1002,8.5301
5,0.118,0.6341,0.118,0.0741,1.0159,22.3466,0.0994,0.1201,9.2455
6,0.1225,0.6573,0.1225,0.0764,0.9847,20.275,0.1198,0.1244,9.1184
7,0.1256,0.6661,0.1256,0.082,0.9816,20.0235,0.1216,0.1314,9.1809
8,0.133,0.6825,0.133,0.0895,0.9691,18.3157,0.1389,0.1394,9.4826
9,0.1442,0.7018,0.1442,0.0968,0.9599,16.0524,0.1525,0.1497,9.8542
10,0.1524,0.7096,0.1524,0.1067,0.9551,15.2494,0.1616,0.1584,9.8816
11,0.1697,0.7236,0.1697,0.1198,0.9416,14.3578,0.1815,0.1765,9.9781
12,0.1753,0.748,0.1753,0.1274,0.934,12.2193,0.1911,0.1803,10.6232
13,0.1809,0.7655,0.1809,0.1352,0.9277,10.8365,0.1985,0.1857,10.3691
14,0.2005,0.7848,0.2005,0.1555,0.914,9.6721,0.224,0.2072,10.0858
15,0.2031,0.8001,0.2031,0.1584,0.9097,8.7738,0.2334,0.2099,10.5005
16,0.2155,0.8158,0.2155,0.1705,0.9014,7.3361,0.2471,0.2195,10.8061
17,0.2265,0.8199,0.2265,0.1815,0.8917,7.2814,0.2562,0.2304,10.856
18,0.2346,0.8301,0.2346,0.1895,0.8838,6.727,0.2687,0.2385,10.895
19,0.2395,0.8369,0.2395,0.1979,0.88,6.2545,0.276,0.2416,11.2096
20,0.2515,0.8409,0.2515,0.2121,0.874,6.2147,0.2827,0.2547,11.2647
21,0.2599,0.8555,0.2599,0.2234,0.8632,5.4725,0.3039,0.2627,11.5251
22,0.266,0.858,0.266,0.2293,0.8578,5.442,0.309,0.2697,11.7398
23,0.2734,0.861,0.2734,0.2374,0.8513,5.4017,0.318,0.2779,11.611
24,0.2846,0.8686,0.2846,0.2453,0.8449,4.8924,0.3275,0.2871,11.8317
25,0.295,0.8834,0.295,0.2579,0.8361,4.3536,0.3466,0.2981,11.9581
26,0.3019,0.8865,0.3019,0.2675,0.8315,4.3258,0.355,0.3076,12.1715
27,0.3157,0.8891,0.3157,0.2799,0.8238,4.2959,0.3645,0.3229,12.1184
28,0.3299,0.8921,0.3299,0.2912,0.8151,4.2593,0.3727,0.3348,12.3945
29,0.3327,0.8942,0.3327,0.2969,0.8105,4.2329,0.3788,0.3405,12.5712
30,0.334,0.9011,0.334,0.3027,0.8075,3.9594,0.3843,0.3421,12.8549
31,0.3361,0.902,0.3361,0.3051,0.8031,3.9419,0.3867,0.3434,12.4918
32,0.3478,0.9103,0.3478,0.3164,0.7967,3.3768,0.3981,0.3515,12.9018
33,0.349,0.9115,0.349,0.3167,0.7948,3.3578,0.3979,0.3528,13.1743
34,0.3524,0.913,0.3524,0.323,0.7917,3.337,0.4023,0.3565,13.3838
35,0.3564,0.9192,0.3564,0.327,0.7879,3.0201,0.4111,0.3596,13.382
36,0.3704,0.9196,0.3704,0.341,0.7802,2.9865,0.418,0.3718,13.1961
37,0.3735,0.9239,0.3735,0.3451,0.7781,2.9487,0.4254,0.3742,13.33
38,0.3814,0.9253,0.3814,0.3526,0.7741,2.9334,0.4282,0.3824,13.6618
39,0.3931,0.9305,0.3931,0.3684,0.7676,2.8786,0.4401,0.3943,13.7115
40,0.3898,0.9324,0.3898,0.3665,0.7657,2.8528,0.4439,0.3907,14.1862
41,0.4051,0.9363,0.4051,0.3835,0.7556,2.7873,0.4602,0.4065,13.7329
42,0.4153,0.9379,0.4153,0.3944,0.7497,2.7578,0.4698,0.4174,14.3282
43,0.4171,0.9375,0.4171,0.3972,0.7468,2.7425,0.4727,0.4188,15.0236
44,0.4278,0.9412,0.4278,0.413,0.7379,2.6791,0.4924,0.4327,14.3467
45,0.4303,0.9419,0.4303,0.4143,0.7348,2.6646,0.4948,0.4353,14.3704
46,0.4397,0.942,0.4397,0.4222,0.731,2.6543,0.4982,0.4447,14.8402
47,0.4441,0.9431,0.4441,0.4273,0.7259,2.6248,0.5047,0.4491,14.4107
48,0.4563,0.9492,0.4563,0.4425,0.7172,2.269,0.5202,0.4614,14.8203
49,0.4624,0.9495,0.4624,0.4479,0.712,2.2554,0.5262,0.4668,14.9315
50,0.4665,0.9512,0.4665,0.4513,0.7059,2.2255,0.5343,0.4709,15.2881
51,0.4739,0.9513,0.4739,0.4579,0.7004,2.209,0.5383,0.4772,15.6538
52,0.4741,0.9512,0.4741,0.4587,0.699,2.2032,0.5403,0.4775,15.2227
53,0.48,0.9545,0.48,0.466,0.6922,2.1637,0.549,0.4832,14.8898
54,0.4869,0.9554,0.4869,0.4724,0.688,2.1444,0.5547,0.4889,15.9805
55,0.4927,0.9567,0.4927,0.4809,0.6819,2.1167,0.5619,0.4955,15.571
56,0.4976,0.9575,0.4976,0.4891,0.6779,2.1015,0.5676,0.5026,15.8684
57,0.5029,0.9577,0.5029,0.4959,0.6747,2.0887,0.571,0.5085,15.6008
58,0.5057,0.9597,0.5057,0.4988,0.6695,2.0531,0.5769,0.5104,16.2412
59,0.5113,0.9598,0.5113,0.5071,0.6662,2.0436,0.5799,0.5177,16.4877
