step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0418,0.5305,0.0418,0.0096,1.1741,32.5427,0.029,0.0459,7.8754
1,0.0624,0.5582,0.0624,0.0246,1.0577,28.4922,0.0406,0.0642,7.5384
2,0.0915,0.591,0.0915,0.0468,1.0227,25.6449,0.0624,0.0952,8.886
3,0.1129,0.6214,0.1129,0.069,0.9999,22.5029,0.0815,0.1141,14.1556
4,0.1197,0.6452,0.1197,0.077,0.9859,20.3368,0.0927,0.1219,15.7941
5,0.1345,0.6699,0.1345,0.0932,0.9734,18.1131,0.1122,0.1336,14.3617
6,0.1478,0.6952,0.1478,0.1095,0.9608,15.5243,0.1339,0.1462,17.7089
7,0.16,0.7171,0.16,0.1234,0.948,13.2408,0.1545,0.1572,18.5587
8,0.1687,0.7323,0.1687,0.1313,0.9417,11.8516,0.167,0.1653,20.7918
9,0.1918,0.7497,0.1918,0.1532,0.9297,11.4246,0.1843,0.1869,19.2836
10,0.2064,0.7581,0.2064,0.1676,0.9217,10.7093,0.1987,0.2004,20.5722
11,0.2163,0.7793,0.2163,0.1803,0.9152,9.5723,0.2116,0.2102,18.047
12,0.2313,0.7979,0.2313,0.1967,0.9062,7.8362,0.2244,0.2257,23.5626
13,0.2418,0.8068,0.2418,0.2025,0.8969,7.3753,0.2342,0.2357,17.9488
14,0.2425,0.8266,0.2425,0.2041,0.8951,5.8271,0.2438,0.2348,22.7118
15,0.2535,0.8305,0.2535,0.2204,0.8876,5.7759,0.2529,0.247,21.6989
16,0.2698,0.8405,0.2698,0.2336,0.8798,5.3507,0.2723,0.2635,21.7487
17,0.2777,0.847,0.2777,0.2409,0.8741,5.2994,0.2762,0.2709,25.5517
18,0.279,0.8591,0.279,0.245,0.8703,4.5114,0.2859,0.272,16.0136
19,0.2978,0.866,0.2978,0.2623,0.8586,4.4365,0.3089,0.2909,26.786
20,0.3113,0.872,0.3113,0.2733,0.8493,4.3637,0.3195,0.302,17.6119
21,0.3251,0.8752,0.3251,0.2802,0.8398,4.3299,0.3298,0.3146,24.8931
22,0.3289,0.8798,0.3289,0.2849,0.8359,4.2885,0.333,0.3183,25.2327
23,0.335,0.8819,0.335,0.291,0.8324,4.2644,0.3383,0.3253,23.34
24,0.3424,0.8846,0.3424,0.3008,0.8266,4.2274,0.3472,0.3328,21.616
25,0.3552,0.889,0.3552,0.3153,0.8167,4.1664,0.3633,0.3456,24.5097
26,0.3575,0.8917,0.3575,0.3195,0.8143,4.1441,0.3682,0.3493,29.1723
27,0.3633,0.8977,0.3633,0.3273,0.809,4.0818,0.3791,0.355,29.815
28,0.3755,0.9009,0.3755,0.3436,0.8019,4.0362,0.3922,0.3688,28.6781
29,0.3829,0.9086,0.3829,0.3528,0.7932,3.6854,0.4064,0.376,23.8286
30,0.3875,0.9117,0.3875,0.3573,0.7862,3.6414,0.4179,0.3805,27.3069
31,0.4008,0.9152,0.4008,0.3673,0.7788,3.5965,0.4272,0.3926,31.6013
32,0.4132,0.9235,0.4132,0.3837,0.7708,3.216,0.4385,0.406,26.0312
33,0.4217,0.9337,0.4217,0.3955,0.7668,2.5037,0.4457,0.4163,27.8116
34,0.4298,0.9368,0.4298,0.4068,0.7603,2.4658,0.4541,0.4251,21.6758
35,0.4331,0.9383,0.4331,0.4098,0.7566,2.4464,0.4597,0.429,22.8027
36,0.4372,0.9392,0.4372,0.413,0.7485,2.4184,0.4686,0.4316,28.2099
37,0.4535,0.9409,0.4535,0.4276,0.7424,2.3901,0.4747,0.4473,32.8719
38,0.4589,0.9421,0.4589,0.4349,0.7366,2.3669,0.4816,0.4532,29.8223
39,0.4701,0.9449,0.4701,0.4528,0.7277,2.312,0.4966,0.4661,32.5873
40,0.4749,0.9473,0.4749,0.4634,0.7238,2.2805,0.5037,0.4733,28.4803
41,0.4833,0.9503,0.4833,0.4726,0.7192,2.2307,0.513,0.4804,29.6942
42,0.4902,0.9554,0.4902,0.4783,0.7117,2.1714,0.5222,0.4864,26.4879
43,0.4948,0.9567,0.4948,0.4808,0.7063,2.1471,0.5283,0.4893,29.0099
44,0.4989,0.9586,0.4989,0.4869,0.7017,2.1195,0.5369,0.4932,29.65
45,0.493,0.9587,0.493,0.4808,0.6983,2.1096,0.5373,0.4876,25.0868
46,0.4973,0.9595,0.4973,0.4826,0.694,2.0919,0.5387,0.4906,34.1685
47,0.5116,0.9603,0.5116,0.4954,0.6853,2.0676,0.5475,0.5033,23.9935
48,0.5131,0.9608,0.5131,0.4957,0.6817,2.0568,0.551,0.5054,29.9458
49,0.521,0.9609,0.521,0.5075,0.6777,2.0323,0.557,0.5135,24.314
50,0.522,0.9618,0.522,0.5082,0.6738,2.0163,0.5608,0.5148,30.9026
51,0.5289,0.964,0.5289,0.5158,0.6647,1.9815,0.5706,0.5227,32.8992
52,0.5361,0.9648,0.5361,0.5221,0.6582,1.9571,0.5764,0.5282,34.4347
53,0.5396,0.9663,0.5396,0.5238,0.6541,1.9333,0.5828,0.5305,32.2915
54,0.5424,0.967,0.5424,0.5291,0.651,1.9189,0.5864,0.5352,29.6819
55,0.545,0.9675,0.545,0.531,0.6484,1.9088,0.5898,0.5368,30.8927
56,0.5526,0.9677,0.5526,0.5381,0.6425,1.8923,0.5947,0.5446,30.006
57,0.5559,0.9685,0.5559,0.5434,0.6393,1.8687,0.5997,0.5487,36.7583
58,0.5615,0.9686,0.5615,0.548,0.6355,1.8552,0.6027,0.5534,35.3247
59,0.5605,0.9693,0.5605,0.5479,0.6318,1.8414,0.6075,0.5532,34.1056
