step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0395,0.5235,0.0395,0.0074,1.179,31.8708,0.0241,0.0364,0.0215
1,0.0499,0.5297,0.0499,0.017,1.078,28.8153,0.0288,0.0484,0.2445
2,0.0583,0.5531,0.0583,0.0248,1.0512,26.7948,0.0371,0.0535,1.9223
3,0.0711,0.5701,0.0711,0.0322,1.0317,24.841,0.0445,0.0652,2.0445
4,0.0787,0.5849,0.0787,0.0379,1.0224,23.5712,0.0487,0.0726,9.7676
5,0.0859,0.6047,0.0859,0.0462,1.0091,21.5949,0.0575,0.0793,14.609
6,0.1136,0.6407,0.1136,0.0706,0.9872,19.2294,0.0875,0.11,6.7031
7,0.1266,0.6553,0.1266,0.0855,0.9797,18.4811,0.1009,0.1241,2.7267
8,0.1345,0.6679,0.1345,0.095,0.9708,17.641,0.1159,0.1331,9.9141
9,0.1411,0.6794,0.1411,0.0975,0.9651,16.833,0.1229,0.1418,4.5758
10,0.1442,0.6996,0.1442,0.1105,0.9617,14.8831,0.1389,0.1461,12.6042
11,0.1608,0.7166,0.1608,0.1207,0.9514,13.4122,0.1536,0.1599,6.5584
12,0.1682,0.7288,0.1682,0.132,0.9482,12.6663,0.1717,0.1694,3.1552
13,0.1748,0.7415,0.1748,0.1403,0.9389,11.8331,0.1863,0.1763,7.5911
14,0.1908,0.7557,0.1908,0.1508,0.9274,11.0897,0.199,0.1924,5.4992
15,0.2025,0.7728,0.2025,0.1637,0.9175,9.7153,0.2159,0.206,11.0151
16,0.2104,0.7808,0.2104,0.1713,0.9097,8.9363,0.2307,0.2166,9.4456
17,0.2158,0.7876,0.2158,0.1804,0.9059,8.5535,0.2426,0.2224,2.4268
18,0.2285,0.8097,0.2285,0.1921,0.898,7.097,0.2571,0.2351,6.7705
19,0.2405,0.8191,0.2405,0.2098,0.8894,6.6551,0.2704,0.2471,2.3727
20,0.2443,0.8203,0.2443,0.2116,0.8873,6.6359,0.2733,0.2505,3.4496
21,0.2446,0.8212,0.2446,0.2123,0.8854,6.6205,0.275,0.2505,6.1246
22,0.2527,0.8288,0.2527,0.2158,0.8785,6.1956,0.2831,0.2617,2.3371
23,0.2662,0.8363,0.2662,0.2312,0.8708,5.6143,0.2993,0.2742,14.5834
24,0.2785,0.8454,0.2785,0.2443,0.863,5.1748,0.3154,0.2874,6.1178
25,0.2899,0.8526,0.2899,0.2551,0.852,5.0985,0.3299,0.2964,2.5034
26,0.3047,0.858,0.3047,0.2732,0.8455,5.033,0.341,0.3106,14.932
27,0.3116,0.8673,0.3116,0.2804,0.8378,4.6629,0.3503,0.3179,7.9319
28,0.3223,0.87,0.3223,0.288,0.8311,4.6337,0.3597,0.3289,6.2368
29,0.3246,0.8737,0.3246,0.2903,0.8265,4.6004,0.3643,0.3302,3.0154
30,0.3279,0.8755,0.3279,0.2979,0.8219,4.5683,0.3732,0.3337,10.9705
31,0.3304,0.8775,0.3304,0.3002,0.818,4.5516,0.3792,0.3368,10.8996
32,0.3307,0.8788,0.3307,0.2979,0.8156,4.5363,0.3798,0.3368,4.4579
33,0.3361,0.8798,0.3361,0.3011,0.8105,4.5214,0.3844,0.3423,18.0302
34,0.3439,0.8813,0.3439,0.3091,0.807,4.5004,0.3893,0.3499,8.8719
35,0.345,0.8843,0.345,0.3131,0.804,4.4788,0.3945,0.3514,5.9988
36,0.345,0.8862,0.345,0.3115,0.8013,4.463,0.3979,0.351,12.8586
37,0.3465,0.891,0.3465,0.3127,0.7995,4.1636,0.4004,0.3517,10.7492
38,0.3516,0.8963,0.3516,0.3174,0.7951,4.1015,0.4061,0.3563,19.166
39,0.3552,0.8985,0.3552,0.3204,0.7938,4.0832,0.4081,0.3597,18.6334
40,0.3643,0.8995,0.3643,0.3335,0.7872,4.0548,0.4115,0.3689,17.911
41,0.371,0.9008,0.371,0.3385,0.7802,4.0251,0.4179,0.3752,10.2641
42,0.373,0.9024,0.373,0.3417,0.7773,3.9997,0.4216,0.3789,7.5548
43,0.3771,0.9038,0.3771,0.3467,0.7744,3.9818,0.425,0.3828,22.6897
44,0.3865,0.9065,0.3865,0.3571,0.7679,3.9482,0.435,0.3928,2.9689
45,0.3926,0.9148,0.3926,0.3641,0.762,3.4758,0.4429,0.399,18.9484
46,0.4013,0.919,0.4013,0.3716,0.7557,2.9969,0.4495,0.4077,6.7063
47,0.4036,0.9193,0.4036,0.3731,0.7523,2.9885,0.4498,0.4103,21.4243
48,0.4036,0.9214,0.4036,0.372,0.7503,2.9674,0.4538,0.4097,21.5128
49,0.4074,0.9222,0.4074,0.3793,0.7483,2.9597,0.4552,0.4156,21.1945
50,0.4074,0.9225,0.4074,0.3798,0.7471,2.9529,0.456,0.4155,12.8497
51,0.411,0.9283,0.411,0.3858,0.7446,2.574,0.462,0.4195,24.0192
52,0.4158,0.929,0.4158,0.39,0.7413,2.5598,0.465,0.4245,5.3015
53,0.4148,0.9294,0.4148,0.3876,0.7404,2.5553,0.4659,0.4227,25.4376
54,0.4191,0.9301,0.4191,0.3918,0.7367,2.5399,0.4683,0.4269,24.0662
55,0.4229,0.9312,0.4229,0.3984,0.7317,2.5185,0.4761,0.432,3.5314
56,0.4273,0.9336,0.4273,0.407,0.7279,2.4779,0.4822,0.4374,7.6583
57,0.429,0.9343,0.429,0.4084,0.7268,2.4704,0.4821,0.4388,15.661
58,0.4301,0.9349,0.4301,0.4106,0.7223,2.4546,0.486,0.4401,13.0474
59,0.4331,0.935,0.4331,0.4142,0.7215,2.4494,0.4864,0.443,16.3824
