step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0749,0.5407,0.0749,0.017,1.1132,31.319,0.0351,0.0637,3.2052
1,0.0736,0.553,0.0736,0.0291,1.0986,29.2445,0.0509,0.0633,0.6214
2,0.1004,0.5866,0.1004,0.0502,1.0269,25.2061,0.0696,0.0901,0.6187
3,0.1279,0.6151,0.1279,0.0787,0.9967,22.2092,0.0989,0.1175,0.6114
4,0.1434,0.6436,0.1434,0.0979,0.9794,20.6236,0.1241,0.1362,0.6201
5,0.1496,0.6563,0.1496,0.1042,0.9716,19.1795,0.1379,0.144,0.6111
6,0.1671,0.6839,0.1671,0.1239,0.9531,16.7182,0.1569,0.1606,0.6284
7,0.1781,0.6955,0.1781,0.1309,0.9465,15.8736,0.1715,0.1713,0.6095
8,0.2,0.7169,0.2,0.15,0.9304,14.6378,0.1907,0.1922,0.6052
9,0.2153,0.7358,0.2153,0.1656,0.9195,12.9901,0.2059,0.2062,0.6064
10,0.2387,0.7467,0.2387,0.1852,0.9084,12.5584,0.2207,0.2295,0.6075
11,0.2392,0.7526,0.2392,0.1867,0.9088,11.8137,0.2211,0.2298,0.5957
12,0.2532,0.7677,0.2532,0.2055,0.8948,10.9901,0.2471,0.2447,0.5901
13,0.269,0.7843,0.269,0.2242,0.8798,10.2002,0.2639,0.2611,0.5826
14,0.2825,0.7924,0.2825,0.2403,0.8713,9.4642,0.2772,0.2743,0.5841
15,0.293,0.8031,0.293,0.2514,0.8643,8.6857,0.2888,0.2863,0.5927
16,0.305,0.8253,0.305,0.2687,0.8498,7.4484,0.3162,0.2985,0.6151
17,0.3251,0.8333,0.3251,0.2906,0.8348,7.3681,0.3339,0.3208,0.6209
18,0.3315,0.8417,0.3315,0.2982,0.8299,7.0862,0.3412,0.3278,0.6572
19,0.3355,0.8431,0.3355,0.2994,0.8237,7.0654,0.3458,0.3316,0.5915
20,0.3422,0.8475,0.3422,0.3065,0.8187,6.544,0.3506,0.3379,0.6115
21,0.3554,0.8495,0.3554,0.3208,0.8071,6.4955,0.3619,0.3518,0.6276
22,0.3646,0.8567,0.3646,0.3357,0.8014,6.1363,0.3763,0.3625,0.5988
23,0.3776,0.8601,0.3776,0.3463,0.7912,6.0896,0.3859,0.3755,0.6134
24,0.3839,0.8662,0.3839,0.3521,0.7844,5.8742,0.3937,0.3834,0.6122
25,0.3964,0.8698,0.3964,0.3639,0.7741,5.8208,0.4055,0.3955,0.6094
26,0.4107,0.8779,0.4107,0.3753,0.7634,5.2962,0.42,0.4103,0.6044
27,0.4112,0.8844,0.4112,0.3753,0.7562,4.8191,0.4313,0.411,0.6051
28,0.4224,0.8885,0.4224,0.3859,0.7501,4.7689,0.4414,0.4218,0.6117
29,0.4227,0.8956,0.4227,0.3884,0.7466,4.3767,0.4497,0.4218,0.5963
30,0.4247,0.9003,0.4247,0.3908,0.7436,3.8748,0.4545,0.4234,0.6034
31,0.4339,0.905,0.4339,0.4018,0.7355,3.8145,0.4626,0.4324,0.6006
32,0.4313,0.9095,0.4313,0.3999,0.736,3.4543,0.4656,0.43,0.624
33,0.4367,0.9107,0.4367,0.4075,0.7336,3.4213,0.4702,0.4352,0.5932
34,0.4454,0.9132,0.4454,0.4166,0.7269,3.3889,0.4789,0.4432,0.5975
35,0.4512,0.9158,0.4512,0.4205,0.7223,3.363,0.4856,0.4475,0.6055
36,0.4606,0.9216,0.4606,0.4304,0.7152,2.8691,0.4999,0.4594,0.6115
37,0.468,0.9258,0.468,0.4391,0.7077,2.8127,0.5111,0.4667,0.5915
38,0.4767,0.9273,0.4767,0.4513,0.6999,2.7851,0.5183,0.4774,0.615
39,0.48,0.9333,0.48,0.4545,0.6971,2.4681,0.5227,0.4808,0.6022
40,0.4915,0.9385,0.4915,0.4649,0.6918,2.2666,0.5307,0.4905,0.6054
41,0.4999,0.941,0.4999,0.4722,0.6838,2.2299,0.5396,0.4987,0.5872
42,0.4996,0.9421,0.4996,0.4734,0.6812,2.2177,0.5439,0.4986,0.6113
43,0.5047,0.9441,0.5047,0.4786,0.6759,2.1863,0.5541,0.5041,0.5921
44,0.5113,0.9461,0.5113,0.4861,0.6697,2.1553,0.5623,0.5104,0.5907
45,0.5116,0.9466,0.5116,0.4866,0.668,2.1467,0.5637,0.5105,0.5916
46,0.5187,0.9481,0.5187,0.4958,0.6624,2.1185,0.5688,0.5174,0.5959
47,0.5243,0.95,0.5243,0.5044,0.6588,2.0901,0.5717,0.5234,0.5935
48,0.5297,0.9512,0.5297,0.5107,0.6551,2.0727,0.5785,0.5297,0.6225
49,0.5327,0.9521,0.5327,0.5147,0.6506,2.0549,0.5843,0.5325,0.6062
50,0.5389,0.9535,0.5389,0.5218,0.6457,2.0344,0.5902,0.5396,0.6105
51,0.5455,0.9561,0.5455,0.5293,0.6385,1.9958,0.5982,0.547,0.5871
52,0.5577,0.9572,0.5577,0.5415,0.6313,1.963,0.6076,0.5587,0.597
53,0.5592,0.9576,0.5592,0.5416,0.6279,1.9527,0.611,0.5596,0.5997
54,0.5666,0.9592,0.5666,0.5501,0.6236,1.9253,0.6158,0.5667,0.5954
55,0.5659,0.9606,0.5659,0.5501,0.6209,1.903,0.6176,0.5659,0.6001
56,0.5674,0.9611,0.5674,0.5519,0.6174,1.8901,0.6195,0.5673,0.578
57,0.5697,0.9613,0.5697,0.5521,0.617,1.886,0.62,0.5702,0.6004
58,0.5704,0.9618,0.5704,0.5524,0.6146,1.8766,0.6229,0.571,0.5888
59,0.5732,0.9631,0.5732,0.5572,0.6135,1.8617,0.6246,0.5734,0.5791
