step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0166,0.5,0.0166,0.0004,1.9669,35.4468,0.013,0.013,2.085
1,0.0132,0.4997,0.0132,0.0007,1.5522,34.9407,0.0135,0.0111,0.9816
2,0.0186,0.5019,0.0186,0.0014,1.403,34.4119,0.0149,0.0155,0.4511
3,0.0285,0.5095,0.0285,0.0028,1.3147,34.0489,0.0203,0.0277,0.5022
4,0.0372,0.5162,0.0372,0.0049,1.2515,33.6877,0.0267,0.0386,0.4249
5,0.0415,0.5189,0.0415,0.0064,1.199,33.1449,0.0291,0.0421,0.4409
6,0.0448,0.5214,0.0448,0.0082,1.17,32.6668,0.03,0.0452,0.4437
7,0.0494,0.5254,0.0494,0.0098,1.1481,32.1679,0.0306,0.049,0.5295
8,0.0527,0.5286,0.0527,0.012,1.1319,31.6309,0.0308,0.0512,0.4569
9,0.0617,0.535,0.0617,0.0152,1.1107,31.2316,0.0385,0.0612,0.515
10,0.066,0.5401,0.066,0.0183,1.0973,30.8391,0.0403,0.066,0.5451
11,0.0703,0.5442,0.0703,0.0215,1.0844,30.4741,0.0451,0.0715,0.8051
12,0.0757,0.5487,0.0757,0.0246,1.0739,30.0822,0.0485,0.0772,0.5702
13,0.082,0.5542,0.082,0.0294,1.0636,29.6533,0.0519,0.0835,0.5453
14,0.0856,0.5575,0.0856,0.0313,1.0551,29.1074,0.0515,0.0863,0.683
15,0.0815,0.556,0.0815,0.0316,1.067,29.1132,0.0501,0.082,0.5862
16,0.0869,0.5604,0.0869,0.0352,1.0551,28.707,0.0523,0.0871,0.6136
17,0.0887,0.564,0.0887,0.0373,1.0482,28.2382,0.0533,0.0887,0.7126
18,0.0917,0.5677,0.0917,0.0408,1.0426,27.7837,0.0561,0.0914,0.7403
19,0.093,0.5689,0.093,0.0429,1.0377,27.2657,0.0566,0.0926,0.69
20,0.1014,0.5733,0.1014,0.0474,1.0305,26.6912,0.0597,0.0987,0.7916
21,0.108,0.5777,0.108,0.0509,1.0238,26.1247,0.0628,0.1035,0.8133
22,0.1106,0.5809,0.1106,0.0535,1.0196,25.5944,0.0644,0.1055,0.7451
23,0.1098,0.5812,0.1098,0.0539,1.0199,25.5934,0.0668,0.1044,0.7651
24,0.1124,0.5864,0.1124,0.0576,1.0171,25.1922,0.0679,0.1072,0.81
25,0.1167,0.5926,0.1167,0.0657,1.0118,24.809,0.076,0.112,0.7067
26,0.1175,0.5962,0.1175,0.0674,1.0082,24.3867,0.0778,0.1129,0.8106
27,0.1192,0.5964,0.1192,0.0693,1.0082,24.3859,0.0789,0.1147,0.8926
28,0.1182,0.5969,0.1182,0.0712,1.0114,24.385,0.0795,0.1131,0.8501
29,0.1195,0.6016,0.1195,0.0738,1.0078,23.9845,0.0814,0.1147,1.0953
30,0.1208,0.6035,0.1208,0.0751,1.0024,23.5604,0.0829,0.1159,0.8025
31,0.1259,0.6091,0.1259,0.0806,0.9982,23.13,0.0875,0.1209,1.1639
32,0.1264,0.6124,0.1264,0.0822,0.9972,22.8299,0.0884,0.1222,0.9902
33,0.1274,0.6136,0.1274,0.0838,0.9944,22.3361,0.0893,0.123,0.9555
34,0.1358,0.6191,0.1358,0.0912,0.989,21.8112,0.0951,0.1301,1.0111
35,0.1358,0.62,0.1358,0.0913,0.9883,21.8084,0.0968,0.1303,1.0985
36,0.1419,0.6257,0.1419,0.0952,0.9838,21.4225,0.0999,0.137,1.3602
37,0.1473,0.6321,0.1473,0.1013,0.9792,21.0579,0.1082,0.1434,1.0025
38,0.1475,0.6325,0.1475,0.102,0.9795,21.0557,0.1089,0.1437,0.9758
39,0.1521,0.6368,0.1521,0.1058,0.9763,20.6013,0.1114,0.1477,1.0989
40,0.1534,0.6407,0.1534,0.1083,0.9745,20.2743,0.1133,0.1495,1.154
41,0.1531,0.6457,0.1531,0.1101,0.9734,20.0813,0.1156,0.1513,1.0263
42,0.1544,0.6505,0.1544,0.1125,0.9715,19.6858,0.1175,0.1527,1.1136
43,0.1592,0.6531,0.1592,0.1171,0.9682,19.1782,0.1201,0.1568,1.2073
44,0.1575,0.6528,0.1575,0.1166,0.9699,19.1808,0.1199,0.1551,1.061
45,0.1569,0.6528,0.1569,0.1158,0.9696,19.1826,0.1213,0.1544,1.0806
46,0.1582,0.6538,0.1582,0.1137,0.9671,19.1757,0.121,0.1558,1.0921
47,0.1613,0.6582,0.1613,0.1179,0.9642,18.6314,0.1249,0.1581,1.3566
48,0.1613,0.6597,0.1613,0.1194,0.9626,18.1316,0.1263,0.158,1.1075
49,0.1633,0.6638,0.1633,0.1217,0.9604,17.7138,0.1285,0.1599,1.1035
50,0.1654,0.6676,0.1654,0.125,0.9591,17.2848,0.1303,0.1619,1.3115
51,0.1707,0.6735,0.1707,0.1304,0.9567,16.9426,0.1343,0.1687,1.0928
52,0.1738,0.6751,0.1738,0.134,0.9556,16.935,0.1362,0.1722,1.1979
53,0.1771,0.676,0.1771,0.1342,0.9525,16.9296,0.1414,0.1759,1.2087
54,0.1789,0.6806,0.1789,0.1366,0.9505,16.4465,0.1428,0.1775,1.2633
55,0.1743,0.68,0.1743,0.1344,0.9529,16.4514,0.1425,0.1734,1.3905
56,0.1771,0.6831,0.1771,0.1346,0.9505,16.4317,0.1452,0.1758,1.4579
57,0.1786,0.6849,0.1786,0.1358,0.9502,16.4257,0.1453,0.1767,1.3371
58,0.1822,0.6856,0.1822,0.1367,0.9486,16.4225,0.1491,0.1809,1.4909
59,0.1817,0.6862,0.1817,0.1354,0.9482,16.4208,0.151,0.1807,1.5625
