step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0359,0.5238,0.0359,0.0126,1.2218,32.4721,0.0244,0.0365,0.0351
1,0.0494,0.5545,0.0494,0.0252,1.121,29.1876,0.037,0.0509,0.0803
2,0.0675,0.583,0.0675,0.0382,1.083,27.1807,0.0603,0.0704,2.7294
3,0.082,0.6108,0.082,0.0519,1.058,24.3908,0.0795,0.0838,3.4782
4,0.0907,0.6362,0.0907,0.0591,1.0372,21.5243,0.0927,0.0919,12.4289
5,0.1027,0.6598,0.1027,0.0737,1.0208,19.1762,0.1069,0.1038,6.142
6,0.1185,0.6763,0.1185,0.083,1.0036,17.3838,0.1262,0.1174,3.3834
7,0.1338,0.6875,0.1338,0.0936,0.9936,16.4664,0.1392,0.1333,4.9438
8,0.1493,0.7066,0.1493,0.1055,0.9812,15.4466,0.152,0.1484,5.6356
9,0.1585,0.7283,0.1585,0.1161,0.9706,14.1188,0.1666,0.158,6.8084
10,0.1669,0.7469,0.1669,0.1243,0.9607,12.8793,0.1751,0.166,11.6558
11,0.1804,0.7624,0.1804,0.1413,0.951,11.608,0.1942,0.181,9.4153
12,0.1982,0.7778,0.1982,0.1584,0.9364,10.7119,0.2164,0.2001,5.944
13,0.2082,0.7865,0.2082,0.1652,0.9337,10.4508,0.2177,0.2087,11.2416
14,0.212,0.7971,0.212,0.1736,0.9298,9.2619,0.2313,0.2161,9.7749
15,0.2194,0.8119,0.2194,0.178,0.9233,8.3584,0.2469,0.2225,14.7676
16,0.227,0.8213,0.227,0.1883,0.9216,7.8613,0.2519,0.2358,12.606
17,0.2318,0.8324,0.2318,0.2007,0.9184,7.572,0.2669,0.2424,7.4419
18,0.2318,0.8443,0.2318,0.2046,0.917,6.6798,0.2719,0.2423,16.87
19,0.2357,0.851,0.2357,0.2093,0.9127,5.7968,0.2786,0.2463,5.0483
20,0.2413,0.8594,0.2413,0.2184,0.9095,4.9852,0.2844,0.2507,7.8684
21,0.2504,0.8612,0.2504,0.2242,0.9022,4.957,0.2921,0.2594,13.2265
22,0.2599,0.87,0.2599,0.227,0.8978,4.0768,0.299,0.2679,11.1175
23,0.2642,0.8727,0.2642,0.2342,0.8938,4.04,0.3068,0.2733,13.5474
24,0.2757,0.8799,0.2757,0.2417,0.8863,3.974,0.3209,0.2842,13.806
25,0.2741,0.8816,0.2741,0.2446,0.8877,3.9478,0.3218,0.2823,12.0887
26,0.2833,0.8842,0.2833,0.256,0.8796,3.9105,0.3333,0.2918,21.3225
27,0.2971,0.8893,0.2971,0.2755,0.8698,3.8403,0.3467,0.3054,15.4058
28,0.307,0.8902,0.307,0.2873,0.8638,3.8179,0.3556,0.3162,12.882
29,0.3259,0.8947,0.3259,0.3039,0.8494,3.7224,0.3755,0.3323,12.9309
30,0.3294,0.8991,0.3294,0.3072,0.8449,3.0429,0.3819,0.3356,22.35
31,0.335,0.9038,0.335,0.3131,0.8358,2.9719,0.3966,0.3412,21.4146
32,0.3373,0.9053,0.3373,0.316,0.8342,2.9561,0.3964,0.3438,15.9908
33,0.347,0.9103,0.347,0.3226,0.8248,2.8949,0.4125,0.3525,14.4807
34,0.359,0.9125,0.359,0.3353,0.8175,2.8423,0.4139,0.3631,18.714
35,0.3654,0.9157,0.3654,0.3426,0.8145,2.8001,0.4208,0.3678,17.2565
36,0.3732,0.9192,0.3732,0.3505,0.8045,2.7391,0.4303,0.3756,19.1629
37,0.3824,0.9209,0.3824,0.3572,0.7965,2.7247,0.4378,0.3866,21.9909
38,0.3931,0.9218,0.3931,0.3639,0.7902,2.7135,0.4416,0.3968,11.6535
39,0.4059,0.9249,0.4059,0.3761,0.7787,2.6598,0.4509,0.4102,6.416
40,0.4176,0.9274,0.4176,0.3888,0.7706,2.6132,0.4587,0.4213,26.1497
41,0.4173,0.9309,0.4173,0.3904,0.7662,2.5645,0.461,0.42,18.5941
42,0.4273,0.9345,0.4273,0.3975,0.7588,2.5097,0.4694,0.4294,12.0994
43,0.4301,0.935,0.4301,0.3989,0.7518,2.4802,0.4753,0.4313,21.8033
44,0.4301,0.9364,0.4301,0.4008,0.7532,2.4772,0.479,0.4329,21.2636
45,0.4372,0.9399,0.4372,0.4062,0.745,2.4298,0.4881,0.4399,14.6231
46,0.4492,0.9415,0.4492,0.4164,0.7376,2.4052,0.4954,0.4527,20.5988
47,0.4385,0.9439,0.4385,0.4153,0.7405,2.3846,0.4977,0.444,24.6021
48,0.4454,0.9442,0.4454,0.4215,0.7339,2.3489,0.504,0.451,18.4246
49,0.4499,0.9437,0.4499,0.4249,0.7317,2.3469,0.5059,0.4553,21.2991
50,0.4566,0.9432,0.4566,0.4309,0.7258,2.3322,0.5114,0.4608,26.4665
51,0.4647,0.9451,0.4647,0.4391,0.7177,2.2908,0.5208,0.4688,18.3061
52,0.4693,0.9463,0.4693,0.4443,0.7157,2.2664,0.525,0.473,16.8244
53,0.4815,0.9483,0.4815,0.4519,0.7088,2.2297,0.5282,0.4835,23.3589
54,0.4823,0.9492,0.4823,0.4563,0.7044,2.2056,0.5359,0.4851,21.6396
55,0.4846,0.9513,0.4846,0.4587,0.7004,2.1799,0.5409,0.4869,23.7966
56,0.4841,0.9529,0.4841,0.4589,0.6977,2.1608,0.5459,0.4865,28.515
57,0.4904,0.9538,0.4904,0.4667,0.692,2.1349,0.5507,0.4921,23.6892
58,0.5039,0.9593,0.5039,0.4793,0.6833,2.0597,0.5602,0.5054,25.1171
59,0.5093,0.9615,0.5093,0.4881,0.6792,2.015,0.5661,0.5109,25.8766
