step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0127,0.5,0.0127,0.0003,1.9745,35.5845,0.013,0.013,0.0249
1,0.026,0.509,0.026,0.0021,1.5302,35.0626,0.0158,0.0245,0.0231
2,0.0344,0.5141,0.0344,0.0038,1.3898,34.6535,0.0204,0.034,0.039
3,0.0397,0.5191,0.0397,0.0063,1.3053,34.2054,0.0247,0.0393,0.0427
4,0.0451,0.5238,0.0451,0.011,1.2477,33.7873,0.0263,0.0453,0.0471
5,0.0487,0.5281,0.0487,0.0134,1.2112,33.4153,0.0284,0.0499,0.0472
6,0.0489,0.5306,0.0489,0.0145,1.1855,32.8871,0.028,0.0498,0.0493
7,0.0545,0.5355,0.0545,0.0198,1.1612,32.5188,0.0327,0.0565,0.0524
8,0.0553,0.5363,0.0553,0.0213,1.1461,32.1189,0.0341,0.0573,0.0538
9,0.0568,0.5401,0.0568,0.0235,1.1301,31.7821,0.0347,0.0592,0.0546
10,0.0594,0.5451,0.0594,0.0256,1.1154,31.3549,0.0376,0.0617,0.0575
11,0.0614,0.5488,0.0614,0.0274,1.0993,30.915,0.0392,0.0633,0.0616
12,0.0639,0.5511,0.0639,0.0297,1.09,30.3847,0.0413,0.0649,0.0634
13,0.0668,0.5548,0.0668,0.0316,1.0784,29.8952,0.0422,0.067,0.0654
14,0.069,0.5599,0.069,0.0347,1.07,29.4812,0.0452,0.0694,1.1985
15,0.0693,0.5624,0.0693,0.0359,1.0633,29.1004,0.0456,0.0698,2.0018
16,0.0754,0.5658,0.0754,0.0395,1.0526,28.6018,0.0509,0.0749,2.5688
17,0.0792,0.5714,0.0792,0.0428,1.0436,28.0412,0.0543,0.0776,2.6424
18,0.0823,0.5739,0.0823,0.0449,1.0403,28.0302,0.0626,0.0806,2.2674
19,0.0808,0.5751,0.0808,0.0454,1.0403,28.0242,0.0643,0.0792,1.3141
20,0.0861,0.5812,0.0861,0.0522,1.0348,27.6758,0.0699,0.086,2.3669
21,0.0897,0.5852,0.0897,0.0564,1.0292,27.2991,0.0734,0.09,1.3085
22,0.094,0.5906,0.094,0.0588,1.0228,26.7927,0.0755,0.0938,2.7791
23,0.1027,0.5969,0.1027,0.0646,1.0155,26.2704,0.0807,0.1011,2.0631
24,0.1037,0.5972,0.1037,0.0637,1.0152,26.2698,0.0809,0.1022,2.5728
25,0.1045,0.5983,0.1045,0.0635,1.0156,26.2681,0.0818,0.1032,3.1165
26,0.1068,0.5976,0.1068,0.0641,1.0164,26.2705,0.0813,0.1035,3.4708
27,0.1078,0.6014,0.1078,0.066,1.0133,25.8916,0.0829,0.1046,3.1072
28,0.107,0.6019,0.107,0.0632,1.014,25.8909,0.0829,0.1031,2.4568
29,0.1088,0.6033,0.1088,0.0654,1.0101,25.4728,0.0845,0.105,2.4369
30,0.1103,0.6068,0.1103,0.068,1.0067,25.0606,0.0852,0.1066,4.1059
31,0.1001,0.6067,0.1001,0.0634,1.0228,25.0674,0.084,0.0975,4.6429
32,0.1039,0.6122,0.1039,0.067,1.0169,24.5621,0.0867,0.1007,5.7831
33,0.1037,0.6149,0.1037,0.0674,1.0158,24.2151,0.0872,0.1005,6.3501
34,0.108,0.6166,0.108,0.0671,1.0139,24.2082,0.09,0.1044,3.841
35,0.1088,0.6218,0.1088,0.069,1.0116,23.7869,0.0932,0.105,7.5299
36,0.1121,0.6266,0.1121,0.0735,1.0083,23.3372,0.097,0.1084,4.824
37,0.1131,0.6317,0.1131,0.0756,1.006,22.9563,0.1,0.1095,10.0878
38,0.119,0.6381,0.119,0.0843,1.0028,22.6359,0.1099,0.1174,2.5349
39,0.1205,0.6437,0.1205,0.0872,1.001,22.2793,0.1145,0.1193,3.3093
40,0.1167,0.6448,0.1167,0.085,1.0055,22.2807,0.1143,0.1155,6.056
41,0.12,0.6509,0.12,0.0918,1.0034,22.0311,0.1219,0.1212,6.8901
42,0.1213,0.6551,0.1213,0.0952,1.001,21.6445,0.126,0.1227,8.2446
43,0.1241,0.6595,0.1241,0.0998,0.9985,21.3321,0.1284,0.126,13.2941
44,0.1231,0.6645,0.1231,0.0992,0.997,20.9387,0.1304,0.125,4.3713
45,0.1254,0.6678,0.1254,0.1024,0.9963,20.6086,0.1315,0.1275,3.1361
46,0.1274,0.6678,0.1274,0.1025,0.995,20.6059,0.1321,0.1301,4.6775
47,0.1236,0.6682,0.1236,0.0978,0.9942,20.6045,0.1346,0.1259,5.4027
48,0.1241,0.6685,0.1241,0.0935,0.9935,20.6039,0.1331,0.127,3.1768
49,0.1248,0.6734,0.1248,0.0958,0.9916,20.1911,0.1356,0.128,6.2164
50,0.1246,0.6767,0.1246,0.0954,0.9912,19.8638,0.136,0.1277,9.9439
51,0.1269,0.6784,0.1269,0.096,0.9898,19.8585,0.1395,0.1308,10.174
52,0.1276,0.6832,0.1276,0.0982,0.9888,19.467,0.1421,0.1317,7.0142
53,0.1289,0.6872,0.1289,0.1003,0.9878,19.1099,0.1444,0.1331,9.2526
54,0.1289,0.6878,0.1289,0.1007,0.9877,19.107,0.1454,0.1333,3.1993
55,0.1274,0.6878,0.1274,0.1009,0.9885,19.1101,0.1455,0.1319,5.3787
56,0.1299,0.6887,0.1299,0.1023,0.9869,19.1037,0.1468,0.135,10.8843
57,0.1327,0.6898,0.1327,0.1051,0.9854,19.0948,0.1511,0.1378,4.148
58,0.132,0.6896,0.132,0.1044,0.9845,18.6563,0.1515,0.137,9.0141
59,0.1325,0.6905,0.1325,0.1053,0.9836,18.177,0.1521,0.1375,10.4738
