step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0487,0.5311,0.0487,0.0183,1.1443,31.5895,0.0329,0.044,0.0302
1,0.0866,0.5706,0.0866,0.0419,1.0516,28.212,0.061,0.0815,0.0696
2,0.0917,0.6,0.0917,0.0526,1.0226,25.788,0.0705,0.0883,3.0317
3,0.1101,0.6202,0.1101,0.0656,1.0035,23.4463,0.0866,0.1071,3.924
4,0.135,0.6577,0.135,0.0891,0.9768,20.085,0.1127,0.133,9.3966
5,0.1569,0.6897,0.1569,0.1148,0.9597,17.2441,0.136,0.1562,6.8122
6,0.1781,0.7154,0.1781,0.1368,0.952,15.051,0.1521,0.1797,11.1618
7,0.1814,0.7378,0.1814,0.144,0.9445,13.4543,0.1729,0.1833,3.3257
8,0.1964,0.757,0.1964,0.1563,0.9362,12.1938,0.1877,0.1989,5.5824
9,0.2173,0.7848,0.2173,0.1816,0.9242,9.1492,0.213,0.2185,5.1493
10,0.2206,0.7995,0.2206,0.1829,0.9168,7.7889,0.2287,0.2222,7.4515
11,0.2194,0.8086,0.2194,0.1831,0.9132,7.2612,0.237,0.2211,9.7072
12,0.2237,0.8308,0.2237,0.1951,0.9091,6.241,0.2518,0.225,7.0376
13,0.2436,0.8402,0.2436,0.2145,0.9004,5.7746,0.2686,0.2467,11.1608
14,0.253,0.8443,0.253,0.2254,0.8956,5.7313,0.2747,0.2579,7.9786
15,0.2688,0.8511,0.2688,0.2401,0.8876,5.6631,0.2875,0.2733,3.5852
16,0.2874,0.8553,0.2874,0.2594,0.8745,5.5906,0.2944,0.2902,9.8293
17,0.3034,0.8622,0.3034,0.2753,0.8649,5.0528,0.3114,0.3044,8.1388
18,0.3215,0.8689,0.3215,0.2871,0.8533,4.8133,0.3289,0.32,8.4602
19,0.3366,0.879,0.3366,0.305,0.8455,4.3959,0.3429,0.3357,16.0888
20,0.3493,0.8884,0.3493,0.3224,0.8366,3.9998,0.3592,0.3502,11.9689
21,0.3603,0.8911,0.3603,0.3294,0.8282,3.9671,0.3681,0.3599,14.682
22,0.3646,0.8937,0.3646,0.334,0.8223,3.9288,0.3741,0.3632,8.9763
23,0.3794,0.8973,0.3794,0.3549,0.8149,3.8778,0.3881,0.3791,14.1627
24,0.387,0.9052,0.387,0.3632,0.8076,3.4624,0.405,0.3859,11.6681
25,0.3936,0.9073,0.3936,0.3651,0.8011,3.4318,0.4154,0.3917,14.1829
26,0.4036,0.9091,0.4036,0.3745,0.7949,3.1062,0.4178,0.4024,13.831
27,0.4102,0.916,0.4102,0.383,0.7892,2.6894,0.4272,0.4094,13.1291
28,0.4224,0.9191,0.4224,0.3939,0.783,2.6461,0.4367,0.4214,13.2728
29,0.4408,0.9238,0.4408,0.4184,0.7713,2.5681,0.4566,0.4407,10.9284
30,0.4484,0.928,0.4484,0.4294,0.7676,2.5285,0.4638,0.4473,13.3279
31,0.4619,0.9305,0.4619,0.4422,0.7572,2.4809,0.4731,0.4605,18.9626
32,0.4645,0.9335,0.4645,0.4461,0.7521,2.4469,0.482,0.4639,16.2018
33,0.4718,0.9377,0.4718,0.4564,0.7477,2.4043,0.4893,0.4716,15.8178
34,0.4764,0.9408,0.4764,0.462,0.7435,2.371,0.4967,0.4756,18.5918
35,0.4815,0.9449,0.4815,0.468,0.7373,2.3291,0.507,0.4824,6.0355
36,0.4864,0.9467,0.4864,0.4725,0.7313,2.2985,0.5143,0.4871,20.7362
37,0.4897,0.9478,0.4897,0.4748,0.7264,2.2751,0.5189,0.4891,22.2722
38,0.506,0.9503,0.506,0.4917,0.713,2.2148,0.5384,0.5059,15.3944
39,0.5027,0.9507,0.5027,0.4881,0.7105,2.2018,0.5389,0.5021,21.8149
40,0.5113,0.9528,0.5113,0.4966,0.7055,2.17,0.5444,0.5093,14.3676
41,0.5177,0.9543,0.5177,0.5049,0.7,2.1426,0.5545,0.5166,13.2724
42,0.5251,0.9559,0.5251,0.5113,0.6941,2.1135,0.5588,0.524,9.6901
43,0.5289,0.9613,0.5289,0.5147,0.6874,2.0578,0.5677,0.527,9.6326
44,0.5327,0.964,0.5327,0.5195,0.6813,2.0171,0.5751,0.531,22.0765
45,0.5432,0.9651,0.5432,0.5312,0.6733,1.9866,0.5832,0.5412,17.7054
46,0.5462,0.9665,0.5462,0.535,0.6688,1.9633,0.5898,0.5457,18.1001
47,0.5544,0.9677,0.5544,0.5461,0.6617,1.9311,0.5982,0.5547,22.8969
48,0.558,0.9693,0.558,0.5515,0.6587,1.909,0.6019,0.5587,16.4805
49,0.5613,0.9694,0.5613,0.5549,0.6524,1.8912,0.6041,0.5622,14.9758
