step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0145,0.5,0.0145,0.0004,1.971,35.5202,0.013,0.013,4.9441
1,0.0125,0.5054,0.0125,0.0003,1.4751,35.089,0.015,0.013,5.1052
2,0.0125,0.5068,0.0125,0.0003,1.3053,34.5301,0.0151,0.013,4.8885
3,0.0161,0.508,0.0161,0.0011,1.2203,33.9595,0.0157,0.0157,5.1425
4,0.0168,0.5124,0.0168,0.0022,1.1712,33.5516,0.0158,0.0167,4.8996
5,0.0186,0.5169,0.0186,0.0032,1.1385,33.1456,0.0161,0.0188,5.543
6,0.0122,0.5173,0.0122,0.0003,1.1566,33.1503,0.0162,0.013,4.8745
7,0.0127,0.5171,0.0127,0.001,1.1571,33.1509,0.0162,0.0134,5.283
8,0.0127,0.518,0.0127,0.001,1.1303,32.6176,0.0169,0.0134,4.989
9,0.0127,0.5215,0.0127,0.001,1.1103,32.1895,0.0173,0.0134,5.0062
10,0.0127,0.5283,0.0127,0.001,1.0948,31.8055,0.0255,0.0134,5.0776
11,0.0127,0.5316,0.0127,0.001,1.0826,31.4486,0.0262,0.0134,4.8975
12,0.0127,0.5358,0.0127,0.001,1.0719,30.9645,0.0279,0.0134,5.0095
13,0.0127,0.5386,0.0127,0.001,1.0637,30.6097,0.0287,0.0134,4.9035
14,0.0163,0.5408,0.0163,0.0014,1.066,30.6126,0.0308,0.017,5.4138
15,0.0163,0.5431,0.0163,0.0014,1.0583,30.1143,0.0315,0.017,4.8877
16,0.0163,0.5467,0.0163,0.0014,1.0522,29.7357,0.0324,0.017,5.2306
17,0.0163,0.5496,0.0163,0.0014,1.0465,29.2395,0.0336,0.017,4.87
18,0.0163,0.5509,0.0163,0.0014,1.0417,28.7951,0.0341,0.017,5.0555
19,0.0163,0.5577,0.0163,0.0014,1.0375,28.4017,0.0394,0.017,5.0104
20,0.0163,0.5609,0.0163,0.0014,1.0338,28.0092,0.0421,0.017,5.2693
21,0.0163,0.5641,0.0163,0.0014,1.0307,27.6593,0.0445,0.017,4.989
22,0.0163,0.5692,0.0163,0.0014,1.0279,27.3099,0.0468,0.017,4.8276
23,0.0163,0.573,0.0163,0.0014,1.025,26.8269,0.0473,0.017,4.7039
24,0.0163,0.5783,0.0163,0.0014,1.0225,26.4115,0.051,0.017,4.8807
25,0.0224,0.5785,0.0224,0.0029,1.0233,26.4141,0.0513,0.023,4.8496
26,0.0288,0.5778,0.0288,0.0043,1.024,26.4178,0.0507,0.0308,4.7361
27,0.0288,0.5824,0.0288,0.0043,1.0216,25.9281,0.0518,0.0308,4.9674
28,0.013,0.5827,0.013,0.0003,1.0243,25.9337,0.0519,0.013,4.8448
29,0.013,0.5881,0.013,0.0003,1.0222,25.5778,0.0602,0.013,5.1142
30,0.013,0.588,0.013,0.0003,1.0224,25.5807,0.0603,0.013,4.8419
31,0.013,0.5918,0.013,0.0003,1.0202,25.1009,0.0619,0.013,5.2052
32,0.013,0.5923,0.013,0.0003,1.0202,25.1028,0.0631,0.013,4.8508
33,0.013,0.5968,0.013,0.0003,1.0184,24.6817,0.0654,0.013,5.3358
34,0.013,0.5975,0.013,0.0003,1.0215,24.6879,0.0671,0.013,4.8534
35,0.013,0.5981,0.013,0.0003,1.021,24.6861,0.0683,0.013,5.2757
36,0.013,0.5983,0.013,0.0003,1.0251,24.6928,0.0684,0.013,4.9282
37,0.013,0.6012,0.013,0.0003,1.0231,24.2725,0.07,0.013,5.1807
38,0.013,0.6032,0.013,0.0003,1.024,24.2774,0.0715,0.013,4.8105
39,0.013,0.6087,0.013,0.0003,1.0222,23.9483,0.0754,0.013,5.2829
40,0.013,0.6146,0.013,0.0003,1.0205,23.5618,0.0782,0.013,4.8713
41,0.013,0.6155,0.013,0.0003,1.02,23.562,0.0813,0.013,5.1862
42,0.013,0.6196,0.013,0.0003,1.0184,23.1924,0.0816,0.013,4.4736
43,0.013,0.6202,0.013,0.0003,1.019,23.1967,0.0819,0.013,5.0351
44,0.013,0.621,0.013,0.0003,1.0186,23.1976,0.0822,0.013,4.9779
45,0.013,0.6241,0.013,0.0003,1.0171,22.7711,0.0829,0.013,4.9209
46,0.013,0.6249,0.013,0.0003,1.0167,22.7717,0.0839,0.013,4.9752
47,0.013,0.6245,0.013,0.0003,1.018,22.7769,0.0833,0.013,4.9299
48,0.013,0.625,0.013,0.0003,1.0166,22.3265,0.084,0.013,5.1328
49,0.013,0.6245,0.013,0.0003,1.016,22.3249,0.0834,0.013,4.8374
50,0.013,0.6282,0.013,0.0003,1.0146,21.793,0.0843,0.013,5.1944
51,0.013,0.6285,0.013,0.0003,1.0149,21.7966,0.0845,0.013,4.7
52,0.013,0.6285,0.013,0.0003,1.0145,21.7967,0.0841,0.013,4.7381
53,0.013,0.6322,0.013,0.0003,1.0132,21.3474,0.0851,0.013,4.7369
54,0.013,0.6371,0.013,0.0003,1.0122,20.9474,0.0867,0.013,4.6845
55,0.013,0.6382,0.013,0.0003,1.0122,20.9495,0.0874,0.013,5.243
56,0.013,0.6388,0.013,0.0003,1.0124,20.9524,0.0904,0.013,4.8852
57,0.013,0.639,0.013,0.0003,1.012,20.9528,0.0918,0.013,5.2284
58,0.013,0.6429,0.013,0.0003,1.0109,20.4718,0.094,0.013,4.7388
59,0.013,0.643,0.013,0.0003,1.0112,20.4755,0.0941,0.013,5.3731
