step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0153,0.5,0.0153,0.0004,1.9694,35.4927,0.013,0.013,3.4578
1,0.0214,0.5047,0.0214,0.0011,1.4707,35.0079,0.0137,0.019,3.4076
2,0.0293,0.5081,0.0293,0.0022,1.3024,34.4232,0.014,0.0245,3.3475
3,0.0265,0.5074,0.0265,0.0025,1.2189,33.8891,0.0141,0.0221,3.4744
4,0.0326,0.5149,0.0326,0.004,1.171,33.5519,0.0166,0.0301,3.4527
5,0.0403,0.5206,0.0403,0.0068,1.1371,33.0152,0.0205,0.0363,3.4424
6,0.0507,0.5279,0.0507,0.01,1.1138,32.5856,0.0279,0.0468,3.4449
7,0.0527,0.5299,0.0527,0.0113,1.0954,32.0453,0.0282,0.0473,3.4167
8,0.0553,0.5331,0.0553,0.0132,1.081,31.4727,0.0308,0.0488,3.3555
9,0.0578,0.5349,0.0578,0.0145,1.0698,30.9625,0.0296,0.0506,3.4533
10,0.0102,0.5365,0.0102,0.0003,1.0781,30.9697,0.0309,0.013,3.4886
11,0.0237,0.5368,0.0237,0.0012,1.0816,30.9721,0.0327,0.0243,3.4192
12,0.0237,0.5406,0.0237,0.0012,1.071,30.4723,0.0331,0.0243,3.3897
13,0.0237,0.541,0.0237,0.0012,1.0621,29.9739,0.0339,0.0243,3.5478
14,0.0237,0.547,0.0237,0.0012,1.0551,29.5956,0.0363,0.0243,3.4303
15,0.0237,0.5482,0.0237,0.0012,1.0488,29.1164,0.0382,0.0243,3.3845
16,0.0237,0.552,0.0237,0.0012,1.0439,28.8074,0.0389,0.0243,3.4933
17,0.0273,0.5529,0.0273,0.002,1.0456,28.8116,0.0401,0.0275,3.4375
18,0.0273,0.5537,0.0273,0.002,1.0408,28.3511,0.0402,0.0275,3.2987
19,0.0117,0.554,0.0117,0.0003,1.0468,28.3582,0.0405,0.013,3.5504
20,0.0117,0.5541,0.0117,0.0003,1.0467,28.3605,0.0383,0.013,3.4266
21,0.0117,0.5538,0.0117,0.0003,1.0461,28.3607,0.0383,0.013,3.5262
22,0.0117,0.5543,0.0117,0.0003,1.0532,28.3676,0.0388,0.013,3.4105
23,0.0117,0.5587,0.0117,0.0003,1.0484,27.9587,0.0407,0.013,3.4296
24,0.0117,0.5618,0.0117,0.0003,1.0438,27.4166,0.0407,0.013,3.4243
25,0.0117,0.5646,0.0117,0.0003,1.0405,27.2431,0.0419,0.013,3.4037
26,0.0117,0.5658,0.0117,0.0003,1.0394,27.2415,0.0432,0.013,3.5456
27,0.0117,0.5684,0.0117,0.0003,1.0359,26.7594,0.0442,0.013,3.3596
28,0.0117,0.5701,0.0117,0.0003,1.0326,26.2364,0.0443,0.013,3.4562
29,0.0117,0.5713,0.0117,0.0003,1.0297,25.7641,0.0451,0.013,3.4971
30,0.0117,0.5712,0.0117,0.0003,1.0291,25.7645,0.0448,0.013,3.5534
31,0.0117,0.5709,0.0117,0.0003,1.0284,25.7635,0.0443,0.013,3.4603
32,0.0117,0.5752,0.0117,0.0003,1.0258,25.234,0.0476,0.013,3.5267
33,0.0117,0.5766,0.0117,0.0003,1.0234,24.7219,0.048,0.013,3.5661
34,0.0117,0.5792,0.0117,0.0003,1.0212,24.2186,0.0488,0.013,3.5996
35,0.0117,0.579,0.0117,0.0003,1.0223,24.2225,0.0477,0.013,3.5203
36,0.0117,0.5801,0.0117,0.0003,1.0218,24.2227,0.0487,0.013,3.6934
37,0.0117,0.5816,0.0117,0.0003,1.0198,23.7122,0.0488,0.013,3.527
38,0.0117,0.5829,0.0117,0.0003,1.0179,23.1857,0.0495,0.013,3.4973
39,0.0117,0.5837,0.0117,0.0003,1.0173,23.1846,0.0499,0.013,3.3767
40,0.0117,0.5843,0.0117,0.0003,1.0168,23.1825,0.0507,0.013,3.4841
41,0.0117,0.584,0.0117,0.0003,1.0174,23.1854,0.0507,0.013,3.5122
42,0.0117,0.5868,0.0117,0.0003,1.016,22.8903,0.0513,0.013,3.4581
43,0.0117,0.5899,0.0117,0.0003,1.0154,22.8881,0.052,0.013,3.4901
44,0.0217,0.5905,0.0217,0.0011,1.0169,22.8925,0.0523,0.0207,3.5691
45,0.0217,0.5924,0.0217,0.0011,1.0165,22.8947,0.053,0.0207,3.532
46,0.0217,0.5935,0.0217,0.0011,1.0169,22.8981,0.0555,0.0207,3.4833
47,0.0217,0.5932,0.0217,0.0011,1.0171,22.8997,0.0555,0.0207,3.6291
48,0.0217,0.5928,0.0217,0.0011,1.0164,22.8968,0.0579,0.0207,3.505
49,0.0217,0.5926,0.0217,0.0011,1.0165,22.8983,0.0567,0.0207,3.5441
50,0.0217,0.5952,0.0217,0.0011,1.0151,22.4235,0.0574,0.0207,3.4621
51,0.0217,0.5969,0.0217,0.0011,1.0145,22.4214,0.0578,0.0207,3.6708
52,0.0308,0.5976,0.0308,0.0023,1.0153,22.4246,0.0584,0.0278,3.456
53,0.0308,0.5991,0.0308,0.0023,1.0147,22.4218,0.0588,0.0278,3.5822
54,0.0308,0.5992,0.0308,0.0023,1.014,22.4174,0.058,0.0278,3.6094
55,0.0308,0.5977,0.0308,0.0023,1.014,22.4182,0.0572,0.0278,3.5663
56,0.0308,0.5999,0.0308,0.0023,1.0128,21.969,0.0574,0.0278,3.5296
57,0.041,0.6005,0.041,0.0043,1.0134,21.9721,0.0599,0.0365,3.8548
58,0.0512,0.6007,0.0512,0.0069,1.0139,21.9745,0.0605,0.0439,3.8563
59,0.0171,0.6006,0.0171,0.0004,1.0149,21.978,0.0599,0.013,3.7895
