step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0122,0.5279,0.0122,0.0023,1.1112,32.2245,0.0278,0.0141,5.033
1,0.011,0.5606,0.011,0.0003,1.0432,28.5577,0.049,0.013,1.6869
2,0.011,0.5841,0.011,0.0003,1.0291,26.1954,0.0685,0.013,1.6908
3,0.011,0.5982,0.011,0.0003,1.0191,24.1752,0.0757,0.013,1.7041
4,0.0204,0.6098,0.0204,0.0026,1.0158,22.6273,0.0853,0.0219,1.8476
5,0.0204,0.637,0.0204,0.0026,1.0076,19.9913,0.1004,0.0219,1.8517
6,0.0145,0.6451,0.0145,0.0004,1.0055,18.6452,0.1016,0.013,1.8712
7,0.0196,0.6635,0.0196,0.0014,1.0031,17.2073,0.1108,0.0189,1.8843
8,0.0191,0.6678,0.0191,0.0036,1.0029,16.7559,0.1222,0.0206,1.8784
9,0.0191,0.6759,0.0191,0.0036,1.0008,15.9256,0.1288,0.0206,1.7508
10,0.0183,0.6852,0.0183,0.0047,0.9998,15.1888,0.1348,0.0203,1.8189
11,0.0296,0.6909,0.0296,0.0072,0.9993,14.7201,0.1372,0.0328,1.9361
12,0.0158,0.6971,0.0158,0.0009,0.9984,13.8805,0.1441,0.0173,1.9431
13,0.0158,0.7162,0.0158,0.0009,0.9966,11.8562,0.1505,0.0173,1.9473
14,0.0191,0.7288,0.0191,0.0025,0.9956,10.8116,0.1572,0.0213,1.9584
15,0.0191,0.736,0.0191,0.0025,0.995,10.3162,0.1639,0.0213,1.8546
16,0.0122,0.7437,0.0122,0.0003,0.9951,10.3199,0.174,0.013,1.8584
17,0.0183,0.7457,0.0183,0.0025,0.9951,9.8679,0.1745,0.0202,1.8651
18,0.0296,0.7476,0.0296,0.0051,0.995,9.0167,0.1788,0.0324,1.8887
19,0.0181,0.7545,0.0181,0.0017,0.9946,8.6219,0.1804,0.0211,1.764
20,0.0181,0.767,0.0181,0.0017,0.9939,7.9763,0.1947,0.0211,1.8419
21,0.011,0.7748,0.011,0.0003,0.994,7.5684,0.2015,0.013,1.9304
22,0.011,0.7815,0.011,0.0003,0.9937,7.2869,0.2078,0.013,2.034
23,0.011,0.7854,0.011,0.0003,0.9938,7.2976,0.2183,0.013,2.0316
24,0.011,0.79,0.011,0.0003,0.9934,7.2834,0.2271,0.013,2.1238
25,0.011,0.7931,0.011,0.0003,0.9935,7.284,0.2319,0.013,2.07
26,0.011,0.7997,0.011,0.0003,0.9928,7.2673,0.2397,0.013,2.0557
27,0.011,0.8116,0.011,0.0003,0.9924,6.5255,0.2466,0.013,2.0929
28,0.011,0.8181,0.011,0.0003,0.9924,6.5217,0.2521,0.013,1.9418
29,0.0112,0.82,0.0112,0.0003,0.9928,6.0111,0.2532,0.013,1.9757
30,0.0112,0.8213,0.0112,0.0003,0.9929,6.0042,0.2554,0.013,2.1337
31,0.0112,0.823,0.0112,0.0003,0.9929,6.0042,0.2575,0.013,2.0588
32,0.0112,0.8227,0.0112,0.0003,0.9928,6.0005,0.2605,0.013,2.1921
33,0.0201,0.8231,0.0201,0.0011,0.9928,5.9985,0.2617,0.0236,2.2162
34,0.011,0.8246,0.011,0.0003,0.9926,5.9898,0.2602,0.013,2.1947
35,0.011,0.8304,0.011,0.0003,0.9927,5.9878,0.2664,0.013,2.2153
36,0.011,0.8322,0.011,0.0003,0.9921,5.6851,0.2672,0.013,2.233
37,0.011,0.834,0.011,0.0003,0.9921,5.6877,0.2708,0.013,2.1065
38,0.011,0.8418,0.011,0.0003,0.9918,5.6765,0.2769,0.013,2.2138
39,0.011,0.8457,0.011,0.0003,0.9918,5.6757,0.2818,0.013,2.1057
40,0.011,0.8488,0.011,0.0003,0.9917,5.6562,0.2858,0.013,2.2372
41,0.011,0.8495,0.011,0.0003,0.9917,5.6582,0.2877,0.013,2.3255
42,0.011,0.8511,0.011,0.0003,0.9916,5.6541,0.2875,0.013,2.2816
43,0.011,0.8528,0.011,0.0003,0.9915,5.6519,0.2914,0.013,2.3023
44,0.011,0.8531,0.011,0.0003,0.9917,5.6567,0.291,0.013,2.3288
45,0.011,0.8545,0.011,0.0003,0.9916,5.6573,0.2954,0.013,2.348
46,0.011,0.8603,0.011,0.0003,0.9914,5.4711,0.2992,0.013,2.2136
47,0.011,0.8627,0.011,0.0003,0.9912,5.4653,0.3019,0.013,2.3526
48,0.011,0.8622,0.011,0.0003,0.9912,5.468,0.3019,0.013,2.3283
49,0.011,0.8637,0.011,0.0003,0.9912,5.4673,0.3033,0.013,2.367
50,0.011,0.8655,0.011,0.0003,0.9912,5.4699,0.3089,0.013,2.3913
51,0.011,0.8629,0.011,0.0003,0.9913,5.4686,0.3084,0.013,2.3947
52,0.011,0.8635,0.011,0.0003,0.9913,5.4678,0.3086,0.013,2.4092
53,0.011,0.8649,0.011,0.0003,0.9915,5.4747,0.3139,0.013,2.3952
54,0.011,0.8676,0.011,0.0003,0.9914,4.9848,0.3142,0.013,2.2453
55,0.011,0.8692,0.011,0.0003,0.9913,4.9736,0.3135,0.013,2.2884
56,0.011,0.87,0.011,0.0003,0.9912,4.9744,0.3172,0.013,2.3811
57,0.011,0.8703,0.011,0.0003,0.9912,4.9716,0.319,0.013,2.2033
58,0.011,0.8714,0.011,0.0003,0.991,4.9637,0.3175,0.013,2.3988
59,0.011,0.8723,0.011,0.0003,0.991,4.9645,0.3154,0.013,2.4056
