step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0143,0.5,0.0143,0.0004,1.9715,35.5294,0.013,0.013,3.5244
1,0.0232,0.5054,0.0232,0.0022,1.4704,34.9988,0.0157,0.0203,0.1606
2,0.026,0.5091,0.026,0.0045,1.302,34.4053,0.0168,0.0208,0.1532
3,0.0321,0.512,0.0321,0.0056,1.2185,33.8712,0.0175,0.0259,0.1641
4,0.0341,0.5141,0.0341,0.0066,1.1683,33.3237,0.0181,0.0275,0.1609
5,0.0349,0.5153,0.0349,0.0081,1.1347,32.7709,0.019,0.0281,0.1583
6,0.0436,0.5248,0.0436,0.0099,1.1115,32.3162,0.023,0.0363,0.1602
7,0.0163,0.5264,0.0163,0.0004,1.1247,32.3195,0.027,0.013,0.1623
8,0.0224,0.5282,0.0224,0.0018,1.129,32.3224,0.0274,0.0186,0.1725
9,0.0224,0.5353,0.0224,0.0018,1.1095,31.981,0.033,0.0186,0.158
10,0.0224,0.5393,0.0224,0.0018,1.0934,31.4695,0.034,0.0186,0.1604
11,0.0224,0.5421,0.0224,0.0018,1.081,31.0705,0.0371,0.0186,0.1643
12,0.0224,0.5422,0.0224,0.0018,1.0702,30.5191,0.0368,0.0186,0.1482
13,0.0224,0.5471,0.0224,0.0018,1.0617,30.0883,0.0406,0.0186,0.1566
14,0.0224,0.5504,0.0224,0.0018,1.0545,29.6503,0.0443,0.0186,0.1656
15,0.0285,0.5507,0.0285,0.0031,1.0559,29.652,0.0452,0.0238,0.1667
16,0.027,0.5462,0.027,0.0038,1.0562,29.6517,0.0415,0.0222,0.1738
17,0.027,0.5525,0.027,0.0038,1.0502,29.2399,0.048,0.0222,0.1621
18,0.027,0.5562,0.027,0.0038,1.0448,28.7532,0.0483,0.0222,0.158
19,0.0324,0.5564,0.0324,0.005,1.0449,28.7537,0.0492,0.0265,0.1535
20,0.0324,0.5572,0.0324,0.005,1.0403,28.2767,0.0489,0.0265,0.1587
21,0.0143,0.5575,0.0143,0.0004,1.0443,28.2818,0.0493,0.013,0.1705
22,0.0143,0.5583,0.0143,0.0004,1.0439,28.2837,0.0502,0.013,0.1624
23,0.0143,0.5592,0.0143,0.0004,1.0431,28.2832,0.0513,0.013,0.172
24,0.0143,0.5573,0.0143,0.0004,1.0389,27.766,0.0518,0.013,0.1662
25,0.0143,0.5586,0.0143,0.0004,1.044,27.7715,0.0533,0.013,0.17
26,0.0143,0.5626,0.0143,0.0004,1.04,27.3136,0.0539,0.013,0.1677
27,0.0143,0.5659,0.0143,0.0004,1.0364,26.8563,0.0564,0.013,0.1665
28,0.0143,0.5715,0.0143,0.0004,1.0332,26.4495,0.0592,0.013,0.1597
29,0.0143,0.5764,0.0143,0.0004,1.0304,26.0767,0.0607,0.013,0.1582
30,0.0143,0.5779,0.0143,0.0004,1.0298,26.0771,0.0617,0.013,0.1629
31,0.0143,0.5822,0.0143,0.0004,1.0273,25.6882,0.0655,0.013,0.1654
32,0.0143,0.5824,0.0143,0.0004,1.0321,25.6946,0.0654,0.013,0.1606
33,0.0143,0.5803,0.0143,0.0004,1.0295,25.2733,0.0656,0.013,0.1649
34,0.0143,0.5843,0.0143,0.0004,1.0287,25.2734,0.0664,0.013,0.1688
35,0.0143,0.5898,0.0143,0.0004,1.0264,24.8606,0.0704,0.013,0.1739
36,0.0143,0.5888,0.0143,0.0004,1.027,24.8634,0.0682,0.013,0.1729
37,0.0143,0.5887,0.0143,0.0004,1.0247,24.3358,0.0693,0.013,0.171
38,0.0143,0.5888,0.0143,0.0004,1.0253,24.34,0.0694,0.013,0.1675
39,0.0143,0.5888,0.0143,0.0004,1.0232,23.8463,0.0702,0.013,0.1789
40,0.0143,0.5886,0.0143,0.0004,1.0273,23.8529,0.0697,0.013,0.1678
41,0.0143,0.5891,0.0143,0.0004,1.0262,23.8505,0.0699,0.013,0.1765
42,0.0143,0.591,0.0143,0.0004,1.0241,23.3081,0.0702,0.013,0.1741
43,0.0143,0.5931,0.0143,0.0004,1.0233,23.3086,0.0708,0.013,0.1664
44,0.0143,0.5956,0.0143,0.0004,1.0217,23.0134,0.0716,0.013,0.179
45,0.0143,0.5947,0.0143,0.0004,1.021,23.0124,0.0709,0.013,0.1658
46,0.0143,0.5948,0.0143,0.0004,1.021,23.014,0.0707,0.013,0.1686
47,0.0143,0.5953,0.0143,0.0004,1.0212,23.0169,0.0703,0.013,0.1757
48,0.0143,0.5955,0.0143,0.0004,1.0211,23.0185,0.07,0.013,0.1753
49,0.0143,0.5974,0.0143,0.0004,1.0203,23.0152,0.0702,0.013,0.1727
50,0.0143,0.6009,0.0143,0.0004,1.0187,22.532,0.0709,0.013,0.1753
51,0.0143,0.6056,0.0143,0.0004,1.0173,22.1718,0.074,0.013,0.1722
52,0.0143,0.6117,0.0143,0.0004,1.016,21.7711,0.0782,0.013,0.1714
53,0.0143,0.6185,0.0143,0.0004,1.0148,21.4031,0.0864,0.013,0.1698
54,0.0143,0.6244,0.0143,0.0004,1.0137,21.052,0.0886,0.013,0.1672
55,0.0143,0.6284,0.0143,0.0004,1.0124,20.5381,0.0905,0.013,0.1767
56,0.0143,0.6278,0.0143,0.0004,1.0118,20.5356,0.0912,0.013,0.1681
57,0.0143,0.6272,0.0143,0.0004,1.0113,20.5335,0.0912,0.013,0.164
58,0.0143,0.6321,0.0143,0.0004,1.0103,20.126,0.0941,0.013,0.1769
59,0.0143,0.6344,0.0143,0.0004,1.0093,19.6864,0.0945,0.013,0.1764
