step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0273,0.6335,0.0273,0.0017,1.0042,19.7966,0.074,0.0242,2.7778
1,0.0104,0.6851,0.0104,0.0003,1.0035,16.2304,0.1174,0.013,2.9801
2,0.0153,0.6957,0.0153,0.0004,0.9974,11.6422,0.1031,0.013,2.9991
3,0.0173,0.7208,0.0173,0.0025,0.9961,10.2924,0.1149,0.0142,2.9474
4,0.0153,0.7552,0.0153,0.0004,0.9944,7.9054,0.1386,0.013,2.9469
5,0.0135,0.7622,0.0135,0.0003,0.9933,6.5048,0.1517,0.013,2.8674
6,0.0135,0.7725,0.0135,0.0003,0.9918,6.1501,0.1608,0.013,2.9427
7,0.0135,0.7868,0.0135,0.0003,0.9907,5.6347,0.1684,0.013,2.8916
8,0.0132,0.7971,0.0132,0.0011,0.9907,5.2766,0.1875,0.0135,2.9025
9,0.0375,0.8083,0.0375,0.0033,0.9907,4.6987,0.1961,0.0373,3.0153
10,0.0173,0.8058,0.0173,0.0004,0.9897,4.6553,0.2,0.013,2.736
11,0.0173,0.8189,0.0173,0.0004,0.9893,4.4671,0.2149,0.013,2.7374
12,0.029,0.8285,0.029,0.0016,0.9894,4.4643,0.2266,0.0251,2.6701
13,0.0173,0.8325,0.0173,0.0004,0.9888,4.4404,0.2242,0.013,2.6584
14,0.0173,0.8367,0.0173,0.0004,0.9887,4.4445,0.2334,0.013,2.6291
15,0.0273,0.8363,0.0273,0.0016,0.9885,4.4382,0.2317,0.0236,2.6051
16,0.0117,0.8442,0.0117,0.0003,0.9885,4.4324,0.2437,0.013,2.7324
17,0.0117,0.8406,0.0117,0.0003,0.9882,4.4224,0.2355,0.013,2.7011
18,0.0117,0.8445,0.0117,0.0003,0.9881,4.4166,0.2446,0.013,2.7675
19,0.0117,0.8503,0.0117,0.0003,0.9877,4.3778,0.2457,0.013,2.734
20,0.0127,0.8543,0.0127,0.0003,0.9878,4.3818,0.2585,0.013,2.7439
21,0.0127,0.8578,0.0127,0.0003,0.9875,4.3717,0.2608,0.013,2.6381
22,0.013,0.8598,0.013,0.0003,0.9876,4.3715,0.2617,0.013,2.8257
23,0.013,0.8638,0.013,0.0003,0.9877,4.3723,0.2693,0.013,2.4126
24,0.013,0.8626,0.013,0.0003,0.9877,4.3705,0.2667,0.013,2.4653
25,0.013,0.8641,0.013,0.0003,0.9877,4.3712,0.2743,0.013,2.6838
26,0.013,0.8657,0.013,0.0003,0.9876,4.3689,0.2799,0.013,2.5147
27,0.013,0.869,0.013,0.0003,0.9873,4.3571,0.2843,0.013,2.4372
28,0.013,0.8713,0.013,0.0003,0.9874,4.3608,0.2885,0.013,2.4809
29,0.0176,0.8688,0.0176,0.003,0.9872,4.3523,0.2794,0.0168,2.4699
30,0.0176,0.8698,0.0176,0.003,0.9872,4.3549,0.2822,0.0168,2.5059
31,0.0117,0.8723,0.0117,0.0003,0.9873,4.3559,0.2887,0.013,2.5559
32,0.0117,0.8724,0.0117,0.0003,0.9871,4.3489,0.2885,0.013,2.5845
33,0.0117,0.8717,0.0117,0.0003,0.9872,4.3505,0.2886,0.013,2.447
34,0.0176,0.8724,0.0176,0.0023,0.9871,4.348,0.2928,0.0183,2.4329
35,0.0176,0.8716,0.0176,0.0023,0.9871,4.3469,0.2932,0.0183,2.3956
36,0.0163,0.8742,0.0163,0.004,0.987,4.3442,0.2977,0.0153,2.3994
37,0.029,0.8761,0.029,0.0071,0.987,4.3414,0.3037,0.0259,2.3585
38,0.0273,0.8789,0.0273,0.0042,0.987,4.3421,0.3096,0.026,2.341
39,0.0329,0.8773,0.0329,0.0059,0.9868,4.3362,0.3028,0.0302,2.3342
40,0.0211,0.8775,0.0211,0.0086,0.9869,4.338,0.3045,0.0217,2.3645
41,0.0268,0.8776,0.0268,0.0061,0.9868,4.3346,0.3037,0.0289,2.2691
42,0.0268,0.8802,0.0268,0.0061,0.9868,4.3367,0.3109,0.0289,2.3423
43,0.0354,0.8795,0.0354,0.0031,0.9868,4.3343,0.3088,0.0346,2.2984
44,0.0296,0.8799,0.0296,0.014,0.9868,4.3376,0.3112,0.0301,2.2842
45,0.0127,0.8814,0.0127,0.0003,0.9869,4.3379,0.3123,0.013,2.284
46,0.0127,0.8813,0.0127,0.0003,0.9868,4.3341,0.3113,0.013,2.1989
47,0.0127,0.8821,0.0127,0.0003,0.9868,4.335,0.3125,0.013,2.0362
48,0.0127,0.8839,0.0127,0.0003,0.9867,4.3314,0.3137,0.013,2.1942
49,0.0127,0.8835,0.0127,0.0003,0.9868,4.3336,0.3126,0.013,2.2692
50,0.0148,0.8855,0.0148,0.0022,0.9867,4.3329,0.3162,0.0145,2.1176
51,0.0262,0.8863,0.0262,0.0103,0.9867,4.3333,0.3172,0.0263,2.164
52,0.0339,0.888,0.0339,0.0074,0.9867,4.3321,0.32,0.0302,2.1277
53,0.0132,0.8891,0.0132,0.0022,0.9868,4.335,0.3236,0.014,2.1532
54,0.0138,0.8893,0.0138,0.0031,0.9867,4.3322,0.3235,0.0145,2.1141
55,0.0211,0.8892,0.0211,0.0054,0.9867,4.3339,0.3238,0.022,2.213
56,0.0143,0.8916,0.0143,0.0004,0.9867,4.3321,0.3281,0.013,2.0941
57,0.0145,0.8922,0.0145,0.0009,0.9867,4.3315,0.3318,0.0133,2.1348
58,0.0219,0.8925,0.0219,0.0012,0.9867,4.3314,0.3331,0.0218,2.2571
59,0.0224,0.8932,0.0224,0.0042,0.9867,4.3305,0.3364,0.0184,2.0607
