step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.026,0.6236,0.026,0.0014,1.0067,20.8516,0.0699,0.0252,3.4664
1,0.0112,0.6769,0.0112,0.0003,1.0145,15.0589,0.102,0.013,3.25
2,0.0112,0.6819,0.0112,0.0003,1.0053,11.2943,0.089,0.013,3.3107
3,0.0112,0.6836,0.0112,0.0003,1.0022,9.9667,0.0831,0.013,3.2367
4,0.0219,0.6844,0.0219,0.0013,1.0007,9.969,0.088,0.0199,3.3206
5,0.0367,0.7165,0.0367,0.0035,0.9969,7.8868,0.1097,0.0331,3.229
6,0.0367,0.7284,0.0367,0.0035,0.9946,6.7364,0.1163,0.0331,4.0903
7,0.0443,0.7559,0.0443,0.0057,0.9933,4.9816,0.1303,0.0407,3.5569
8,0.011,0.7787,0.011,0.0003,0.9932,4.9764,0.1507,0.013,3.607
9,0.011,0.7873,0.011,0.0003,0.9922,4.9415,0.158,0.013,4.5425
10,0.0181,0.7877,0.0181,0.0038,0.9915,4.923,0.1525,0.0154,3.602
11,0.0181,0.7898,0.0181,0.0038,0.9908,4.8937,0.157,0.0154,3.0619
12,0.0171,0.8022,0.0171,0.0013,0.9904,4.871,0.1696,0.0139,2.9708
13,0.011,0.8035,0.011,0.0003,0.9905,4.8751,0.1717,0.013,3.0486
14,0.0161,0.8032,0.0161,0.0004,0.9905,4.8748,0.1694,0.013,3.3278
15,0.0158,0.8061,0.0158,0.0011,0.9903,4.865,0.1785,0.0162,3.1008
16,0.0158,0.8131,0.0158,0.0011,0.9899,4.8483,0.1926,0.0162,3.1282
17,0.0158,0.8188,0.0158,0.0011,0.9898,4.8432,0.1989,0.0162,3.8698
18,0.0153,0.8223,0.0153,0.0033,0.9895,4.8316,0.2061,0.016,4.3233
19,0.0153,0.8334,0.0153,0.0033,0.9892,4.8248,0.214,0.016,3.7524
20,0.0153,0.8374,0.0153,0.0033,0.989,4.8225,0.2184,0.016,3.7074
21,0.0161,0.8415,0.0161,0.0004,0.989,4.818,0.2264,0.013,4.2508
22,0.0288,0.8397,0.0288,0.0015,0.9888,4.8106,0.2313,0.026,2.9866
23,0.0288,0.8405,0.0288,0.0015,0.9888,4.8115,0.2334,0.026,2.9948
24,0.0178,0.8456,0.0178,0.0036,0.9887,4.8097,0.2408,0.0148,2.9817
