step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0831,0.6119,0.0831,0.0464,0.9958,20.9005,0.0577,0.0811,0.0263
1,0.1019,0.6427,0.1019,0.0608,0.9849,17.8048,0.0775,0.0981,9.2042
2,0.1233,0.6806,0.1233,0.0832,0.9727,14.9258,0.0956,0.1196,9.9339
3,0.1419,0.7112,0.1419,0.0866,0.9613,13.505,0.1204,0.1308,10.5201
4,0.1597,0.7297,0.1597,0.107,0.9541,11.9764,0.1392,0.1515,11.3835
5,0.1753,0.7542,0.1753,0.1204,0.9465,10.8104,0.1515,0.166,12.0618
6,0.1924,0.7695,0.1924,0.1418,0.9409,9.4146,0.1728,0.182,12.9387
7,0.2099,0.7929,0.2099,0.1579,0.9334,8.447,0.1956,0.2037,13.7094
8,0.2349,0.8088,0.2349,0.1914,0.9268,7.782,0.2179,0.229,14.6759
9,0.2596,0.8239,0.2596,0.221,0.9204,6.9632,0.2397,0.2519,15.6678
10,0.2706,0.8308,0.2706,0.2371,0.9162,6.7535,0.2524,0.2645,15.3578
11,0.2935,0.845,0.2935,0.2618,0.9116,6.2632,0.2795,0.2876,16.5648
12,0.307,0.8541,0.307,0.2844,0.9073,5.7095,0.2919,0.3046,17.8536
13,0.318,0.865,0.318,0.3015,0.9045,5.3946,0.3083,0.3178,17.5195
14,0.322,0.8671,0.322,0.3046,0.9003,5.3935,0.3172,0.3229,19.1131
15,0.3327,0.8709,0.3327,0.3111,0.895,5.175,0.335,0.3315,19.5823
16,0.345,0.8824,0.345,0.3278,0.8918,4.7642,0.3405,0.3453,20.1259
17,0.3386,0.8793,0.3386,0.3211,0.8917,4.7468,0.3385,0.3385,20.1695
18,0.3506,0.8851,0.3506,0.3348,0.8867,4.6649,0.3515,0.3495,19.8696
19,0.3585,0.8839,0.3585,0.3419,0.8848,4.7307,0.3592,0.3561,21.2349
20,0.3582,0.89,0.3582,0.3415,0.8838,4.4599,0.3651,0.3587,21.7026
21,0.3776,0.8975,0.3776,0.365,0.8791,4.1993,0.3761,0.377,21.9703
22,0.3839,0.904,0.3839,0.3665,0.8745,4.0696,0.3928,0.383,22.0647
23,0.3977,0.9034,0.3977,0.3827,0.8734,4.1924,0.4091,0.3995,23.4623
24,0.3908,0.903,0.3908,0.3678,0.8714,4.1482,0.3979,0.3885,23.4488
25,0.3952,0.9065,0.3952,0.3711,0.8682,3.9541,0.4102,0.3919,24.1024
26,0.4099,0.9111,0.4099,0.3824,0.8651,3.8783,0.4211,0.4079,24.224
27,0.412,0.9128,0.412,0.3922,0.8644,3.8808,0.4219,0.4124,24.3905
28,0.4127,0.9058,0.4127,0.3937,0.8638,4.0868,0.4146,0.4124,27.1781
29,0.429,0.9163,0.429,0.4052,0.8603,3.671,0.4269,0.4242,26.9304
30,0.4341,0.9155,0.4341,0.41,0.8574,3.7863,0.4438,0.431,27.7397
31,0.4395,0.9213,0.4395,0.4173,0.8539,3.5809,0.4526,0.4363,28.0602
32,0.4489,0.9245,0.4489,0.4305,0.8533,3.5266,0.4536,0.447,29.4778
33,0.4639,0.9249,0.4639,0.4443,0.8491,3.5358,0.4713,0.4622,29.3303
34,0.4591,0.9285,0.4591,0.4383,0.8478,3.5516,0.4726,0.4554,29.1837
35,0.4639,0.9262,0.4639,0.4509,0.8471,3.4872,0.4828,0.4645,30.9002
36,0.4637,0.9284,0.4637,0.4483,0.8453,3.4709,0.4802,0.4634,31.1142
37,0.4678,0.9279,0.4678,0.4513,0.8459,3.4427,0.4755,0.4647,31.506
38,0.4859,0.9301,0.4859,0.4704,0.8413,3.4005,0.4906,0.4829,32.4647
39,0.4813,0.9303,0.4813,0.467,0.8404,3.4222,0.4955,0.4782,30.499
40,0.4851,0.9345,0.4851,0.4722,0.8416,3.2598,0.4961,0.4815,32.8802
41,0.4907,0.9349,0.4907,0.481,0.837,3.278,0.5026,0.4894,32.995
42,0.4978,0.9364,0.4978,0.4846,0.8369,3.2697,0.5082,0.4948,33.3122
43,0.5113,0.9358,0.5113,0.5006,0.8347,3.3231,0.5122,0.5099,34.3373
44,0.5039,0.9378,0.5039,0.5028,0.8345,3.1983,0.5172,0.5043,33.478
45,0.5126,0.9356,0.5126,0.5087,0.8337,3.2444,0.5149,0.5123,34.5964
46,0.5124,0.9379,0.5124,0.4995,0.8318,3.3015,0.5166,0.5086,34.1921
47,0.5195,0.9403,0.5195,0.5128,0.8267,3.1446,0.5333,0.5183,36.9134
48,0.5215,0.9366,0.5215,0.5131,0.8288,3.2537,0.5233,0.5203,37.4432
49,0.532,0.9404,0.532,0.5282,0.827,3.1507,0.5352,0.5325,39.5291
50,0.5358,0.9436,0.5358,0.5284,0.8239,3.0852,0.5437,0.5347,39.9411
51,0.5437,0.9413,0.5437,0.5381,0.8258,3.1269,0.5365,0.5421,39.8155
52,0.5292,0.9399,0.5292,0.5245,0.8261,3.1414,0.5328,0.5292,39.2323
53,0.5493,0.9436,0.5493,0.5457,0.8224,3.1287,0.5522,0.5494,41.9787
54,0.5457,0.9445,0.5457,0.5433,0.8234,3.0032,0.5453,0.5457,40.5873
55,0.5366,0.944,0.5366,0.5315,0.8222,3.107,0.5479,0.5355,44.6576
56,0.5592,0.9444,0.5592,0.5556,0.82,3.0309,0.5594,0.5606,42.434
57,0.5518,0.9461,0.5518,0.546,0.8194,2.9909,0.5544,0.5511,44.4345
58,0.561,0.9477,0.561,0.5577,0.8177,2.9071,0.5584,0.561,45.9009
59,0.5585,0.9447,0.5585,0.5526,0.8177,3.025,0.5628,0.5585,48.3663
