step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0153,0.5,0.0153,0.0004,1.9694,35.4927,0.013,0.013,0.2245
1,0.0153,0.5,0.0153,0.0004,1.9694,35.4927,0.013,0.013,0.3092
2,0.0153,0.5032,0.0153,0.0004,1.5386,35.0083,0.0133,0.013,0.317
3,0.0153,0.5049,0.0153,0.0008,1.3647,34.4242,0.0137,0.013,0.3189
4,0.0171,0.5021,0.0171,0.0019,1.2601,33.8929,0.0134,0.0144,0.3272
5,0.0166,0.5067,0.0166,0.0018,1.1977,33.3929,0.014,0.0139,0.3403
6,0.0166,0.5038,0.0166,0.001,1.1578,32.8345,0.0136,0.0141,0.3294
7,0.0183,0.5114,0.0183,0.0031,1.1395,32.4966,0.0149,0.016,0.3525
8,0.0222,0.5135,0.0222,0.0052,1.1144,31.9601,0.0164,0.0194,0.3562
9,0.0201,0.5162,0.0201,0.0045,1.1016,31.5427,0.0165,0.0173,0.2475
10,0.0232,0.5206,0.0232,0.0055,1.0896,30.9939,0.0175,0.0201,0.2508
11,0.0283,0.5188,0.0283,0.0073,1.0916,30.9949,0.0172,0.0238,0.3761
12,0.0336,0.5196,0.0336,0.0073,1.0915,30.9935,0.0174,0.0277,0.381
13,0.0341,0.5217,0.0341,0.0087,1.0855,30.4713,0.019,0.0278,0.2614
14,0.0321,0.5265,0.0321,0.0078,1.0676,29.952,0.0185,0.0265,0.3184
15,0.039,0.5307,0.039,0.0116,1.068,29.966,0.0211,0.0347,0.3869
16,0.0329,0.5262,0.0329,0.0105,1.0674,29.4897,0.02,0.0286,0.38
17,0.0329,0.529,0.0329,0.01,1.0614,28.9848,0.0201,0.0287,0.3949
18,0.0349,0.5305,0.0349,0.0097,1.0567,28.6341,0.0202,0.0305,0.3693
19,0.0387,0.5338,0.0387,0.0131,1.0545,28.6603,0.0225,0.0359,0.407
20,0.0382,0.5353,0.0382,0.0103,1.0492,28.1902,0.0229,0.0353,0.2929
21,0.0433,0.5388,0.0433,0.014,1.0418,27.8602,0.0242,0.0396,0.4257
22,0.0433,0.542,0.0433,0.0163,1.0414,27.4105,0.0233,0.0398,0.4242
23,0.0408,0.5379,0.0408,0.0113,1.0433,27.4422,0.0241,0.0367,0.4322
24,0.039,0.5433,0.039,0.0099,1.0455,27.4825,0.0249,0.0349,0.4414
25,0.039,0.5401,0.039,0.0107,1.0457,27.064,0.0229,0.0356,0.4409
26,0.0329,0.5444,0.0329,0.0095,1.0458,27.1551,0.0243,0.0308,0.4459
27,0.0303,0.5394,0.0303,0.0087,1.0571,27.1247,0.0235,0.0286,0.4473
28,0.0298,0.5407,0.0298,0.0078,1.0521,27.1059,0.0247,0.0282,0.4424
29,0.0306,0.5439,0.0306,0.0095,1.05,27.0793,0.0242,0.028,0.4562
30,0.0344,0.5508,0.0344,0.0101,1.0504,26.55,0.0279,0.0314,0.4519
31,0.0308,0.5478,0.0308,0.0093,1.0506,26.6212,0.024,0.0297,0.4491
32,0.0336,0.5465,0.0336,0.0108,1.0495,26.1372,0.0265,0.0313,0.4558
33,0.0316,0.5463,0.0316,0.0088,1.0487,25.9954,0.0237,0.029,0.3569
34,0.0275,0.5538,0.0275,0.0082,1.0439,25.6375,0.0261,0.0259,0.4665
35,0.04,0.5572,0.04,0.0107,1.0395,25.7263,0.0279,0.036,0.4796
36,0.0377,0.5587,0.0377,0.0106,1.0347,25.2009,0.0293,0.0349,0.4777
37,0.0352,0.555,0.0352,0.0102,1.0343,25.0334,0.0272,0.0324,0.4907
38,0.0405,0.5529,0.0405,0.011,1.0319,25.4317,0.0266,0.0366,0.4937
39,0.0448,0.5598,0.0448,0.014,1.0291,25.1525,0.0295,0.04,0.4924
40,0.0329,0.5515,0.0329,0.0099,1.0357,24.9402,0.0245,0.0304,0.4907
41,0.0375,0.5553,0.0375,0.0123,1.0288,24.3968,0.0251,0.0342,0.4965
42,0.0367,0.5572,0.0367,0.0108,1.0277,24.37,0.028,0.0329,0.5179
43,0.0428,0.5613,0.0428,0.0163,1.0284,24.409,0.0303,0.0387,0.5139
44,0.0415,0.5575,0.0415,0.0162,1.0285,24.3581,0.0286,0.0375,0.5095
45,0.041,0.5618,0.041,0.0151,1.0263,24.0718,0.0309,0.0366,0.5154
46,0.0451,0.5642,0.0451,0.0185,1.0208,23.8141,0.0304,0.0402,0.5194
47,0.0456,0.5636,0.0456,0.0176,1.023,23.9712,0.0325,0.0403,0.5222
48,0.0464,0.5614,0.0464,0.0168,1.0241,23.9124,0.0327,0.0407,0.5301
49,0.0423,0.5596,0.0423,0.0132,1.0239,23.9637,0.0315,0.0368,0.4848
50,0.051,0.5634,0.051,0.0189,1.0243,24.012,0.0349,0.0447,0.5209
51,0.0425,0.566,0.0425,0.0156,1.0242,23.7697,0.0326,0.0379,0.5257
52,0.0504,0.5725,0.0504,0.0196,1.0226,23.7624,0.0357,0.0446,0.5437
53,0.0591,0.571,0.0591,0.0234,1.0223,23.8018,0.037,0.0517,0.552
54,0.0522,0.5707,0.0522,0.0195,1.0227,23.8663,0.0345,0.0462,0.5512
55,0.052,0.5686,0.052,0.0204,1.0212,23.703,0.0331,0.0454,0.5549
56,0.0586,0.5734,0.0586,0.025,1.0203,23.5141,0.0394,0.051,0.5571
57,0.0589,0.5697,0.0589,0.0236,1.0194,23.6613,0.0392,0.0511,0.5559
58,0.0522,0.5666,0.0522,0.0208,1.0219,23.7932,0.0335,0.046,0.54
59,0.055,0.5726,0.055,0.0226,1.0177,23.2736,0.0351,0.0482,0.549
