step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0741,0.6033,0.0741,0.041,0.9989,21.0194,0.0521,0.0726,0.0264
1,0.1146,0.656,0.1146,0.0763,0.9801,17.2248,0.0831,0.1189,0.5794
2,0.1493,0.7072,0.1493,0.1133,0.9657,12.7958,0.1156,0.1518,0.8381
3,0.1901,0.7541,0.1901,0.1496,0.9507,9.9544,0.1552,0.1938,1.35
4,0.2092,0.7781,0.2092,0.179,0.9456,9.032,0.1747,0.2147,1.7864
5,0.226,0.7962,0.226,0.2025,0.9402,8.0529,0.2012,0.2297,2.2667
6,0.2395,0.8094,0.2395,0.2163,0.9367,7.1846,0.216,0.2453,2.8602
7,0.2484,0.8143,0.2484,0.2249,0.9333,6.9334,0.2215,0.2534,3.2259
8,0.2703,0.8373,0.2703,0.2545,0.929,5.9738,0.2398,0.2743,3.8944
9,0.2805,0.8422,0.2805,0.2668,0.9278,5.7214,0.2473,0.2846,4.3513
10,0.2904,0.8518,0.2904,0.2739,0.9242,5.4041,0.2631,0.2929,4.8261
11,0.3032,0.8663,0.3032,0.2908,0.9196,4.8099,0.2829,0.3063,5.0453
12,0.3241,0.8662,0.3241,0.3124,0.9178,4.9268,0.295,0.3276,5.5355
13,0.3417,0.874,0.3417,0.3302,0.9134,4.8301,0.3199,0.3443,5.7604
14,0.3366,0.8808,0.3366,0.3227,0.9112,4.6026,0.3219,0.3396,6.3857
15,0.361,0.8815,0.361,0.3448,0.9081,4.5119,0.3367,0.365,6.6504
16,0.3656,0.8912,0.3656,0.3543,0.9063,4.2931,0.3546,0.3694,6.8891
17,0.3707,0.8883,0.3707,0.3619,0.9048,4.3352,0.3559,0.3757,7.2469
18,0.3755,0.8911,0.3755,0.3652,0.9034,4.2085,0.3621,0.3794,7.5486
19,0.3832,0.8924,0.3832,0.37,0.9013,4.2221,0.3692,0.386,7.9477
20,0.4102,0.904,0.4102,0.4009,0.8937,4.0405,0.3964,0.4132,8.2837
21,0.4066,0.9012,0.4066,0.396,0.895,4.0054,0.3907,0.4117,8.5278
22,0.4275,0.905,0.4275,0.4209,0.8914,3.8616,0.4169,0.4344,8.7913
23,0.4222,0.9057,0.4222,0.4189,0.8909,3.9577,0.4063,0.4279,9.1342
24,0.438,0.9149,0.438,0.4312,0.8862,3.7169,0.4262,0.4441,9.6124
25,0.4413,0.9137,0.4413,0.4366,0.8876,3.687,0.4271,0.4469,9.5717
26,0.4482,0.9142,0.4482,0.4435,0.8866,3.7698,0.4323,0.4528,10.2123
27,0.44,0.916,0.44,0.4304,0.8861,3.7796,0.4354,0.4438,10.5605
28,0.451,0.9161,0.451,0.4432,0.8864,3.6677,0.4323,0.4565,10.931
29,0.4594,0.9178,0.4594,0.4488,0.8831,3.7237,0.4403,0.4633,11.3495
30,0.4594,0.9179,0.4594,0.4533,0.8808,3.7044,0.4459,0.4641,11.705
31,0.4657,0.9247,0.4657,0.459,0.8781,3.4989,0.4604,0.4719,11.9114
32,0.4688,0.9228,0.4688,0.4636,0.8764,3.5504,0.4677,0.4743,11.7517
33,0.4769,0.9241,0.4769,0.4702,0.8738,3.5634,0.4716,0.481,12.5458
34,0.4665,0.9261,0.4665,0.4607,0.8763,3.5411,0.4629,0.4705,13.2214
35,0.4897,0.9285,0.4897,0.4866,0.8723,3.4745,0.4847,0.4955,13.888
36,0.491,0.9298,0.491,0.4827,0.8718,3.4005,0.4866,0.4934,14.536
37,0.4884,0.9297,0.4884,0.4816,0.8711,3.3662,0.4792,0.492,15.5489
38,0.4899,0.9302,0.4899,0.4856,0.8705,3.439,0.4888,0.4954,16.1202
39,0.5057,0.9351,0.5057,0.5021,0.8664,3.3147,0.5057,0.5108,16.659
40,0.5047,0.9367,0.5047,0.4982,0.8674,3.154,0.5071,0.5088,16.883
41,0.5172,0.9353,0.5172,0.5151,0.8673,3.2916,0.5066,0.5202,17.6296
42,0.509,0.9349,0.509,0.5064,0.8661,3.2489,0.5051,0.5129,18.2686
43,0.5159,0.9377,0.5159,0.5117,0.8645,3.2344,0.515,0.5177,18.4057
