step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0655,0.586,0.0655,0.034,1.0018,21.349,0.0477,0.0636,0.632
1,0.092,0.6366,0.092,0.0578,0.9854,16.3526,0.0722,0.0922,0.6081
2,0.1187,0.6802,0.1187,0.0878,0.9737,14.288,0.0988,0.1221,0.6404
3,0.1569,0.7181,0.1569,0.1184,0.9627,11.4385,0.1324,0.1601,0.6272
4,0.1671,0.7301,0.1671,0.1354,0.9584,10.2408,0.1475,0.1732,0.6326
5,0.1845,0.7411,0.1845,0.1493,0.9538,10.2481,0.1622,0.1911,0.6365
6,0.1901,0.7497,0.1901,0.1574,0.9509,9.6369,0.1743,0.1948,0.6616
7,0.2064,0.7623,0.2064,0.1731,0.9453,9.2832,0.1992,0.2128,0.6784
8,0.2273,0.7719,0.2273,0.1881,0.9402,8.8289,0.2107,0.2352,0.6566
9,0.2415,0.7933,0.2415,0.205,0.936,8.0064,0.2295,0.2498,0.6627
10,0.2553,0.8045,0.2553,0.2217,0.9344,7.6029,0.2433,0.262,0.6714
11,0.2571,0.8059,0.2571,0.2219,0.9317,7.5701,0.2489,0.2646,0.6958
12,0.2785,0.8257,0.2785,0.2507,0.9253,6.6141,0.2683,0.2838,0.6811
13,0.2899,0.8349,0.2899,0.2653,0.9252,6.3771,0.28,0.2959,0.6917
14,0.2963,0.8357,0.2963,0.2715,0.9211,6.3899,0.2881,0.3034,0.737
15,0.3022,0.8462,0.3022,0.2753,0.9185,6.0675,0.2967,0.3102,0.6897
16,0.3205,0.847,0.3205,0.2965,0.914,5.8643,0.3168,0.3302,0.7567
17,0.3134,0.8511,0.3134,0.2882,0.912,5.7388,0.3156,0.3259,0.7881
18,0.3335,0.8577,0.3335,0.3057,0.9095,5.4979,0.3274,0.3434,0.7865
19,0.3404,0.8663,0.3404,0.3181,0.9069,5.2598,0.3398,0.3514,0.741
20,0.3511,0.8672,0.3511,0.3307,0.9047,5.348,0.3402,0.3609,0.8012
21,0.3541,0.871,0.3541,0.328,0.9024,5.1662,0.3495,0.361,0.7709
22,0.3633,0.8751,0.3633,0.3418,0.8994,5.0258,0.3592,0.3712,0.8331
23,0.3712,0.8807,0.3712,0.3513,0.8965,4.7648,0.3729,0.3814,0.7793
24,0.3717,0.881,0.3717,0.3487,0.8976,4.7768,0.3638,0.3787,0.7921
25,0.3834,0.8825,0.3834,0.3601,0.8938,4.7345,0.3734,0.39,0.8386
26,0.3857,0.8893,0.3857,0.3687,0.892,4.4863,0.3855,0.3907,0.8459
27,0.3837,0.8948,0.3837,0.3665,0.8912,4.4752,0.3875,0.3905,0.8708
28,0.4061,0.8953,0.4061,0.3854,0.8879,4.3202,0.4004,0.4131,0.8361
29,0.4038,0.8991,0.4038,0.3839,0.8881,4.2109,0.3962,0.4095,0.8396
30,0.4099,0.9013,0.4099,0.3914,0.884,4.1835,0.4117,0.4172,0.8914
31,0.4181,0.8982,0.4181,0.4018,0.8822,4.4194,0.4205,0.4238,0.8974
32,0.4245,0.9022,0.4245,0.4133,0.8818,4.1475,0.4221,0.4325,0.8803
33,0.4229,0.9035,0.4229,0.4096,0.8794,4.0442,0.4177,0.4306,0.8947
34,0.4359,0.908,0.4359,0.4216,0.8765,4.039,0.4333,0.4443,0.9131
35,0.4502,0.9108,0.4502,0.4418,0.8759,3.8849,0.4414,0.4599,0.9352
36,0.4459,0.911,0.4459,0.4335,0.8733,3.9329,0.4431,0.4541,0.9524
37,0.4583,0.9159,0.4583,0.4459,0.8706,3.779,0.4521,0.4681,0.9334
38,0.4589,0.9167,0.4589,0.4469,0.8714,3.6382,0.4515,0.4661,0.9327
39,0.4563,0.9201,0.4563,0.445,0.8686,3.7017,0.4572,0.4647,0.9632
40,0.4515,0.9157,0.4515,0.4348,0.8687,3.7751,0.4483,0.4581,1.0295
41,0.465,0.9191,0.465,0.4531,0.8667,3.7709,0.4622,0.4724,0.9291
42,0.4678,0.9184,0.4678,0.4566,0.8668,3.8325,0.4631,0.4757,1.0255
43,0.4823,0.9186,0.4823,0.4703,0.8642,3.8084,0.4741,0.4894,1.0059
44,0.4724,0.9206,0.4724,0.457,0.8636,3.7076,0.4693,0.4782,1.0218
45,0.4726,0.9213,0.4726,0.4611,0.862,3.6218,0.471,0.4799,1.0262
46,0.4848,0.9195,0.4848,0.4749,0.8619,3.6293,0.4749,0.4933,1.049
47,0.4815,0.9226,0.4815,0.4673,0.8603,3.6398,0.478,0.4862,1.0361
48,0.5052,0.9274,0.5052,0.4982,0.857,3.4321,0.494,0.5136,1.0683
49,0.4978,0.928,0.4978,0.4903,0.8558,3.4866,0.4965,0.5054,1.0389
50,0.4892,0.9268,0.4892,0.4829,0.8551,3.5254,0.4927,0.4975,1.0504
51,0.4902,0.9292,0.4902,0.4835,0.8535,3.3705,0.4967,0.4977,1.1429
52,0.4943,0.9312,0.4943,0.4814,0.8534,3.4057,0.5002,0.5001,1.2227
53,0.508,0.9255,0.508,0.4973,0.8529,3.4699,0.4993,0.5134,1.1448
54,0.5096,0.9305,0.5096,0.5038,0.8504,3.4735,0.5106,0.5198,1.1153
55,0.5083,0.9267,0.5083,0.4997,0.8518,3.5427,0.4991,0.5173,1.1813
56,0.5139,0.9325,0.5139,0.5078,0.8491,3.3688,0.5078,0.5234,1.1503
