step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0611,0.5927,0.0611,0.0399,1.006,21.6578,0.048,0.0602,15.059
1,0.1024,0.6379,0.1024,0.0708,0.9843,17.8664,0.087,0.103,12.2684
2,0.1287,0.6738,0.1287,0.095,0.9717,14.4242,0.1074,0.1299,12.1984
3,0.1447,0.7069,0.1447,0.1098,0.9648,11.9816,0.1289,0.1506,10.6488
4,0.1643,0.7335,0.1643,0.1305,0.9571,10.6495,0.1524,0.1696,11.3187
5,0.198,0.7569,0.198,0.1598,0.9489,9.3858,0.1886,0.2046,11.4543
6,0.2127,0.7683,0.2127,0.1763,0.9463,8.7493,0.1962,0.218,13.4231
7,0.2176,0.7848,0.2176,0.1843,0.9412,8.405,0.207,0.2225,12.9613
8,0.2357,0.801,0.2357,0.2007,0.9373,7.4803,0.2253,0.242,12.5604
9,0.2425,0.8049,0.2425,0.2132,0.9339,7.6727,0.2391,0.2492,13.2024
10,0.2632,0.82,0.2632,0.2306,0.9282,7.1657,0.2607,0.2692,12.2955
11,0.2675,0.8194,0.2675,0.2403,0.9277,7.2394,0.2632,0.2754,11.7497
12,0.2815,0.8282,0.2815,0.2505,0.9234,6.7561,0.277,0.2878,12.8879
13,0.2861,0.8361,0.2861,0.255,0.9214,6.6703,0.2814,0.2933,14.4263
14,0.3037,0.8366,0.3037,0.276,0.9188,6.7632,0.3003,0.314,12.8217
15,0.306,0.8464,0.306,0.2777,0.9149,6.3895,0.3112,0.3147,14.4361
16,0.3223,0.8468,0.3223,0.2896,0.9121,6.5152,0.3139,0.3296,14.5103
17,0.3325,0.8554,0.3325,0.301,0.9093,5.8858,0.3253,0.3398,12.8033
18,0.3371,0.8631,0.3371,0.3096,0.9068,5.696,0.3316,0.3433,14.4796
19,0.3368,0.8644,0.3368,0.3112,0.9043,5.4697,0.34,0.3432,13.3432
20,0.3452,0.8703,0.3452,0.3238,0.9024,5.2594,0.3486,0.3536,12.4509
21,0.3567,0.8692,0.3567,0.3315,0.9004,5.1465,0.3592,0.3654,14.0976
22,0.362,0.8802,0.362,0.3406,0.8982,4.9367,0.3689,0.3705,12.2291
23,0.3715,0.8738,0.3715,0.3494,0.8956,5.2692,0.3725,0.3789,12.5942
24,0.3811,0.8766,0.3811,0.3623,0.8931,5.1374,0.3783,0.3873,14.5799
25,0.3829,0.8835,0.3829,0.3556,0.893,4.8126,0.3802,0.3878,13.7724
26,0.4074,0.8844,0.4074,0.3875,0.8882,4.8189,0.3999,0.4175,13.8887
27,0.4018,0.8874,0.4018,0.3783,0.8885,4.7475,0.3906,0.4056,13.9278
28,0.3972,0.8931,0.3972,0.3741,0.8861,4.4938,0.3979,0.4031,13.8535
29,0.4033,0.8895,0.4033,0.3779,0.8841,4.7327,0.405,0.4097,15.1448
30,0.4115,0.8996,0.4115,0.3937,0.8815,4.2685,0.4176,0.4191,13.9208
31,0.4089,0.8949,0.4089,0.3919,0.8832,4.486,0.4052,0.417,14.9008
32,0.4181,0.8982,0.4181,0.3995,0.8814,4.2788,0.4195,0.4262,13.9858
33,0.4234,0.9046,0.4234,0.4075,0.8778,4.2786,0.4302,0.429,14.4908
34,0.4318,0.9034,0.4318,0.415,0.879,4.1856,0.4243,0.4389,14.6393
35,0.4209,0.9047,0.4209,0.404,0.8783,4.1318,0.4237,0.4291,14.367
36,0.4413,0.9089,0.4413,0.423,0.8748,3.9578,0.4425,0.4469,15.1531
37,0.4438,0.91,0.4438,0.4279,0.8748,4.0474,0.4386,0.4496,14.1488
38,0.4392,0.911,0.4392,0.4203,0.8719,3.8937,0.4407,0.445,15.4807
39,0.4622,0.918,0.4622,0.4457,0.8682,3.7893,0.4589,0.4672,12.6875
40,0.4624,0.911,0.4624,0.4455,0.8667,4.0788,0.4567,0.4671,14.8541
41,0.4642,0.9131,0.4642,0.4473,0.8683,3.9086,0.4562,0.4703,12.7683
42,0.466,0.9173,0.466,0.4462,0.8656,3.7915,0.4675,0.4716,14.4654
43,0.469,0.9228,0.469,0.4536,0.8618,3.5913,0.4717,0.4733,13.0758
44,0.4818,0.9202,0.4818,0.4643,0.8617,3.6507,0.4795,0.4863,14.3986
45,0.48,0.9205,0.48,0.4671,0.8614,3.7599,0.4806,0.4852,13.6016
46,0.4754,0.9187,0.4754,0.4605,0.8618,3.7424,0.4701,0.4815,14.1508
47,0.4833,0.9255,0.4833,0.4712,0.8574,3.6421,0.4874,0.4908,13.37
48,0.4989,0.9241,0.4989,0.4863,0.8574,3.5799,0.4884,0.5051,13.8949
49,0.4851,0.9245,0.4851,0.4729,0.8556,3.5881,0.4917,0.4905,13.4673
50,0.4935,0.9282,0.4935,0.4793,0.8539,3.6291,0.4945,0.4981,14.0612
51,0.5006,0.9274,0.5006,0.4903,0.8529,3.5164,0.4974,0.5059,13.1341
52,0.5032,0.9307,0.5032,0.4899,0.8503,3.2883,0.504,0.5081,14.7529
53,0.5034,0.9316,0.5034,0.4918,0.8496,3.4159,0.5067,0.5097,12.7045
54,0.5106,0.9314,0.5106,0.4999,0.8473,3.4641,0.5114,0.5183,15.5987
55,0.506,0.9317,0.506,0.4972,0.8467,3.4403,0.5108,0.5147,11.9189
56,0.5256,0.9337,0.5256,0.5129,0.8456,3.3639,0.5161,0.5319,15.8385
57,0.5225,0.9358,0.5225,0.5139,0.8441,3.2262,0.5241,0.5281,11.578
58,0.5282,0.9364,0.5282,0.5188,0.8444,3.272,0.5214,0.5335,15.5846
59,0.5118,0.9351,0.5118,0.5026,0.8448,3.2689,0.516,0.5177,12.1338
