step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0163,0.5,0.0163,0.0004,1.9674,35.4559,0.013,0.013,2.6644
1,0.0186,0.5048,0.0186,0.0022,1.479,34.9256,0.014,0.0156,0.1196
2,0.0229,0.5059,0.0229,0.002,1.3078,34.4384,0.014,0.0192,0.1171
3,0.0166,0.5058,0.0166,0.0008,1.3569,34.4403,0.0142,0.0132,0.1178
4,0.0183,0.5106,0.0183,0.0021,1.2508,33.8491,0.0162,0.0147,0.1164
5,0.0255,0.5075,0.0255,0.0046,1.1863,33.2933,0.0164,0.0204,0.1177
6,0.0239,0.5131,0.0239,0.004,1.155,32.9542,0.0188,0.0197,0.1165
7,0.0321,0.5159,0.0321,0.0069,1.1463,32.9483,0.0204,0.0271,0.117
8,0.025,0.5162,0.025,0.0038,1.1316,32.5067,0.0182,0.0213,0.1165
9,0.0262,0.517,0.0262,0.0079,1.1165,32.0141,0.0181,0.0217,0.1174
10,0.0326,0.5214,0.0326,0.0075,1.0921,31.505,0.0202,0.0271,0.1198
11,0.0306,0.5217,0.0306,0.0058,1.099,31.5063,0.0201,0.0255,0.1187
12,0.0311,0.5235,0.0311,0.0081,1.0862,30.9634,0.0206,0.0259,0.1195
13,0.0357,0.5245,0.0357,0.0092,1.076,30.519,0.0234,0.0306,0.1206
14,0.0372,0.5301,0.0372,0.01,1.0795,30.5037,0.0253,0.0307,0.1223
15,0.0392,0.5311,0.0392,0.0059,1.087,30.5064,0.0247,0.0329,0.1218
16,0.0438,0.537,0.0438,0.0124,1.0731,30.1577,0.0311,0.038,0.121
17,0.0454,0.5378,0.0454,0.0113,1.0705,30.1733,0.0287,0.0389,0.1225
18,0.0517,0.5364,0.0517,0.0152,1.0611,29.6471,0.0318,0.0453,0.12
19,0.0492,0.538,0.0492,0.0129,1.0607,29.647,0.0327,0.0431,0.1209
20,0.0543,0.5385,0.0543,0.0167,1.0562,29.2631,0.0313,0.0478,0.1204
21,0.0476,0.5376,0.0476,0.0171,1.0623,29.2751,0.0316,0.0416,0.1203
22,0.053,0.5467,0.053,0.0199,1.0498,28.902,0.0327,0.0469,0.1229
23,0.052,0.5432,0.052,0.0211,1.0456,28.5311,0.0329,0.0462,0.1218
24,0.0507,0.5462,0.0507,0.0194,1.0495,28.4972,0.0345,0.0458,0.1205
25,0.0532,0.5466,0.0532,0.0209,1.0426,27.9909,0.0369,0.0483,0.1207
26,0.0566,0.5525,0.0566,0.0238,1.0367,27.6576,0.0378,0.0507,0.1217
27,0.055,0.5531,0.055,0.0231,1.0351,27.1207,0.0398,0.0502,0.1241
28,0.0558,0.5558,0.0558,0.0288,1.0295,26.7131,0.0389,0.0513,0.1273
29,0.0634,0.5627,0.0634,0.0311,1.024,26.451,0.0443,0.0585,0.1272
30,0.0619,0.5634,0.0619,0.0293,1.0226,25.934,0.0397,0.0569,0.1273
31,0.065,0.5685,0.065,0.0333,1.0193,25.5142,0.0423,0.0598,0.1243
32,0.065,0.5697,0.065,0.0354,1.0188,25.2945,0.0439,0.061,0.13
33,0.0678,0.579,0.0678,0.0334,1.0163,25.1422,0.0499,0.0631,0.1249
34,0.0647,0.5774,0.0647,0.033,1.0157,24.8851,0.0524,0.06,0.1243
35,0.0736,0.5747,0.0736,0.0392,1.0123,24.627,0.0514,0.069,0.124
36,0.0721,0.5855,0.0721,0.0398,1.0094,24.5104,0.0581,0.0677,0.1237
37,0.0808,0.5803,0.0808,0.0468,1.0086,24.0927,0.0571,0.076,0.1266
38,0.0871,0.5837,0.0871,0.0541,1.005,23.8091,0.063,0.0832,0.1238
39,0.0815,0.5925,0.0815,0.0509,1.0031,23.5505,0.0637,0.0769,0.1234
40,0.0897,0.5909,0.0897,0.0567,1.002,23.452,0.0711,0.0853,0.1253
41,0.0803,0.5962,0.0803,0.0451,1.0045,23.3281,0.0578,0.0752,0.126
42,0.0764,0.5884,0.0764,0.0446,1.0079,23.4469,0.0606,0.0711,0.1284
43,0.0815,0.5942,0.0815,0.0489,1.0006,23.1073,0.0655,0.0773,0.1262
44,0.0718,0.5929,0.0718,0.0448,1.008,23.1611,0.0635,0.0673,0.1251
45,0.0792,0.5965,0.0792,0.0455,1.0029,23.0371,0.0661,0.0749,0.125
46,0.0797,0.5986,0.0797,0.0462,1.0019,23.143,0.0675,0.0751,0.1282
47,0.08,0.608,0.08,0.0477,0.9979,22.5892,0.0714,0.0754,0.1289
48,0.0787,0.6013,0.0787,0.0512,0.9991,22.3032,0.0675,0.0748,0.1332
49,0.0813,0.6082,0.0813,0.0507,0.9961,21.7676,0.0702,0.0765,0.1319
50,0.0825,0.6106,0.0825,0.0481,0.995,21.4455,0.0674,0.0765,0.1296
51,0.0731,0.61,0.0731,0.0411,0.9975,21.5125,0.0655,0.0684,0.1293
52,0.0874,0.6162,0.0874,0.0604,0.9939,21.1523,0.0748,0.0828,0.1249
53,0.0828,0.6167,0.0828,0.0557,0.9942,21.1688,0.0777,0.0787,0.1258
54,0.0869,0.6188,0.0869,0.0621,0.9926,21.0688,0.0802,0.0826,0.125
55,0.0795,0.6152,0.0795,0.0511,0.9943,20.8389,0.0706,0.0744,0.1283
56,0.0887,0.6184,0.0887,0.0561,0.9911,20.8282,0.0795,0.0845,0.1258
57,0.0846,0.623,0.0846,0.0498,0.9922,20.7434,0.0784,0.0809,0.1285
58,0.0917,0.6245,0.0917,0.0556,0.9915,20.6937,0.0841,0.0868,0.13
59,0.0876,0.6292,0.0876,0.0567,0.9913,20.6448,0.0832,0.0838,0.131
