step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0127,0.5,0.0127,0.0003,1.9745,35.5845,0.013,0.013,0.0272
1,0.0176,0.5036,0.0176,0.0013,1.4892,35.0519,0.0133,0.0171,0.122
2,0.025,0.5103,0.025,0.0022,1.3151,34.615,0.0155,0.0248,0.1321
3,0.0196,0.5069,0.0196,0.0024,1.2379,34.1158,0.0137,0.0192,0.1393
4,0.0298,0.5119,0.0298,0.0042,1.1816,33.5435,0.0166,0.0279,0.1488
5,0.0372,0.5165,0.0372,0.0063,1.1474,33.1503,0.0205,0.0359,0.1607
6,0.0341,0.5195,0.0341,0.0066,1.1258,32.7433,0.0173,0.0328,0.1692
7,0.0313,0.5192,0.0313,0.0064,1.1081,32.4015,0.0183,0.0316,0.1707
8,0.0268,0.5207,0.0268,0.0066,1.125,32.4038,0.0189,0.025,0.1793
9,0.0298,0.5258,0.0298,0.009,1.1057,31.8738,0.0202,0.0276,0.1818
10,0.0285,0.5264,0.0285,0.0091,1.0946,31.4905,0.0202,0.0262,0.1928
11,0.0372,0.5322,0.0372,0.0128,1.084,31.059,0.0241,0.0361,0.1918
12,0.0433,0.5327,0.0433,0.013,1.0737,31.0529,0.0236,0.0418,0.1989
13,0.0413,0.5335,0.0413,0.0144,1.0678,30.5044,0.0255,0.0406,0.2037
14,0.0451,0.5422,0.0451,0.0169,1.0588,30.1167,0.0278,0.0423,0.2203
15,0.0479,0.5461,0.0479,0.0204,1.0605,30.0591,0.0316,0.0463,0.2288
16,0.0497,0.5489,0.0497,0.0222,1.0563,29.6884,0.0329,0.0491,0.2118
17,0.0469,0.5546,0.0469,0.0225,1.0528,29.3251,0.036,0.0461,0.2211
18,0.0576,0.5557,0.0576,0.0282,1.0458,28.9415,0.0378,0.058,0.2202
19,0.0573,0.5566,0.0573,0.0287,1.042,28.5677,0.0384,0.056,0.2364
20,0.0563,0.5563,0.0563,0.0304,1.0381,28.1088,0.0361,0.0562,0.2446
21,0.0566,0.5579,0.0566,0.0274,1.0367,28.1378,0.039,0.0569,0.2528
22,0.0591,0.5643,0.0591,0.0263,1.0324,27.7301,0.0408,0.0598,0.2564
23,0.0634,0.5659,0.0634,0.0333,1.0277,27.4083,0.046,0.0636,0.2574
24,0.0611,0.5674,0.0611,0.0305,1.0253,26.9252,0.0441,0.0612,0.2645
25,0.066,0.5643,0.066,0.0315,1.0243,26.9651,0.0391,0.0655,0.2749
