step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0265,0.5189,0.0265,0.0089,1.1285,32.4852,0.0186,0.0276,0.0362
1,0.0362,0.541,0.0362,0.0189,1.057,28.982,0.0275,0.0381,0.1768
2,0.0423,0.564,0.0423,0.0214,1.0313,25.6652,0.0305,0.0452,0.2419
3,0.0479,0.5829,0.0479,0.0267,1.0182,22.952,0.0417,0.0499,0.3048
4,0.0571,0.6022,0.0571,0.0307,1.004,20.3935,0.0484,0.0568,0.3613
5,0.065,0.6208,0.065,0.0402,0.997,18.131,0.0521,0.0652,0.4262
6,0.0785,0.6406,0.0785,0.0554,0.9873,16.1164,0.0597,0.0784,0.5137
7,0.0785,0.6489,0.0785,0.0482,0.9875,15.5071,0.0617,0.0778,0.6048
8,0.0851,0.6558,0.0851,0.0567,0.9861,15.5083,0.0734,0.0848,0.6436
9,0.095,0.6677,0.095,0.0684,0.9813,14.9419,0.0781,0.0936,0.9291
10,0.1154,0.6689,0.1154,0.0796,0.9773,14.5313,0.0819,0.1147,0.8907
11,0.1205,0.6851,0.1205,0.088,0.9732,13.613,0.0922,0.1168,0.8015
12,0.1251,0.6915,0.1251,0.0922,0.9695,13.1438,0.098,0.1205,0.9004
13,0.1289,0.7048,0.1289,0.1001,0.9674,12.3215,0.1076,0.1245,0.9687
14,0.1353,0.7069,0.1353,0.1076,0.9654,11.8805,0.1068,0.1307,1.0735
15,0.1511,0.719,0.1511,0.1212,0.9608,11.1256,0.1187,0.1465,1.3001
16,0.1595,0.7243,0.1595,0.1351,0.9589,10.6365,0.1276,0.1555,1.249
17,0.1564,0.7384,0.1564,0.1376,0.9588,9.6496,0.1319,0.1543,1.3596
18,0.1664,0.7481,0.1664,0.1435,0.955,9.2422,0.1377,0.1615,1.4738
19,0.175,0.7588,0.175,0.1572,0.9516,9.0845,0.1462,0.1722,1.626
20,0.185,0.7572,0.185,0.1652,0.9505,8.9627,0.1525,0.1803,1.7426
21,0.1957,0.7648,0.1957,0.1706,0.9477,8.6373,0.1608,0.1892,1.7275
22,0.1987,0.7623,0.1987,0.1737,0.9474,8.792,0.1669,0.1941,1.8922
23,0.2036,0.7709,0.2036,0.1737,0.9451,8.5602,0.1718,0.199,1.8966
24,0.2074,0.7729,0.2074,0.1797,0.9433,8.1721,0.171,0.2015,1.9698
25,0.2135,0.7822,0.2135,0.1877,0.9408,7.8646,0.1831,0.2085,2.0247
26,0.2158,0.7879,0.2158,0.1907,0.9407,7.817,0.1838,0.2123,2.1773
27,0.2268,0.7855,0.2268,0.1989,0.9385,7.8365,0.1926,0.2224,2.1997
28,0.2222,0.7858,0.2222,0.1957,0.9398,7.7512,0.1839,0.2181,2.5893
29,0.2311,0.8053,0.2311,0.2029,0.9349,7.0031,0.1992,0.2256,2.3721
30,0.2425,0.81,0.2425,0.2177,0.9319,6.8116,0.2151,0.2376,2.5899
31,0.2441,0.8055,0.2441,0.2205,0.9327,7.0153,0.2097,0.2383,2.609
32,0.2438,0.8115,0.2438,0.2196,0.9327,6.6921,0.2112,0.2374,2.6448
33,0.2525,0.8103,0.2525,0.2304,0.9312,6.6448,0.2175,0.2467,2.8061
34,0.2459,0.8103,0.2459,0.2184,0.9307,6.7485,0.2195,0.2396,2.9087
35,0.2619,0.817,0.2619,0.2382,0.9301,6.419,0.2248,0.2538,2.8681
36,0.2622,0.8166,0.2622,0.2379,0.9287,6.4029,0.2285,0.2549,2.9627
37,0.2606,0.821,0.2606,0.2348,0.9283,6.3535,0.23,0.253,3.0938
38,0.2606,0.8198,0.2606,0.2365,0.9283,6.4027,0.2254,0.252,3.1401
39,0.2622,0.8294,0.2622,0.242,0.9274,5.7925,0.2333,0.2552,3.3004
40,0.2698,0.8202,0.2698,0.2442,0.9265,6.3934,0.2354,0.262,3.3889
41,0.2815,0.8364,0.2815,0.2543,0.9239,5.995,0.2476,0.2734,3.4605
42,0.2843,0.8379,0.2843,0.2601,0.924,6.0618,0.2495,0.279,3.3787
43,0.2716,0.8376,0.2716,0.2467,0.9234,5.968,0.2446,0.2645,3.7805
44,0.291,0.8406,0.291,0.2698,0.9231,5.8351,0.2474,0.2856,3.4459
45,0.2803,0.8407,0.2803,0.259,0.9219,5.9961,0.2532,0.2748,3.6296
46,0.2795,0.8448,0.2795,0.2561,0.9211,5.5184,0.2581,0.272,3.8737
47,0.2856,0.8412,0.2856,0.2682,0.9221,5.7064,0.2579,0.2815,3.682
48,0.2971,0.8466,0.2971,0.2708,0.9197,5.6488,0.2607,0.2915,3.8815
49,0.2971,0.8449,0.2971,0.2733,0.9193,5.7924,0.2752,0.2921,4.0124
50,0.3052,0.8565,0.3052,0.2806,0.9181,5.1183,0.2704,0.2965,4.1313
51,0.3017,0.8561,0.3017,0.2803,0.9185,5.263,0.2786,0.2947,4.2062
52,0.308,0.8609,0.308,0.2873,0.9171,5.0938,0.2831,0.3017,4.4697
53,0.3034,0.8589,0.3034,0.2829,0.9169,5.2769,0.2804,0.2957,4.2228
54,0.3129,0.8626,0.3129,0.2932,0.9161,5.0843,0.2838,0.3055,4.1804
55,0.3083,0.8622,0.3083,0.2895,0.9154,5.0388,0.2895,0.3002,4.4767
56,0.3052,0.8607,0.3052,0.2862,0.9154,5.2237,0.2862,0.2989,4.5786
57,0.3208,0.8625,0.3208,0.3012,0.9148,5.1018,0.292,0.3136,4.5383
58,0.3282,0.8648,0.3282,0.3083,0.9131,4.9981,0.3017,0.3228,4.6695
59,0.3205,0.8672,0.3205,0.3088,0.913,4.9219,0.3012,0.3163,4.5676
