step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5015,0.5,0.5015,0.334,0.997,17.968,0.4985,0.5,0.0211
1,0.7694,0.9424,0.7694,0.7581,0.3003,0.4546,0.319,0.7687,0.1509
2,0.7082,0.9819,0.7082,0.6817,0.3607,0.5097,0.9444,0.7091,0.1264
3,0.971,0.9957,0.971,0.971,0.095,0.2032,0.4385,0.971,0.1318
4,0.8807,0.9973,0.8807,0.879,0.1635,0.264,0.3094,0.8804,0.1442
5,0.9649,0.9974,0.9649,0.9648,0.0798,0.1669,0.3549,0.9648,0.1259
6,0.8632,0.9977,0.8632,0.8605,0.1789,0.2751,0.3083,0.8628,0.1404
7,0.9394,0.9984,0.9394,0.9392,0.0939,0.1686,0.315,0.9393,0.1542
8,0.9868,0.9988,0.9868,0.9868,0.0346,0.085,0.5349,0.9868,0.1514
9,0.9885,0.999,0.9885,0.9885,0.0271,0.0703,0.3582,0.9885,0.1347
10,0.995,0.999,0.995,0.995,0.0139,0.0437,0.4344,0.995,0.1594
11,0.9885,0.9989,0.9885,0.9885,0.0238,0.0579,0.3422,0.9885,0.1595
12,0.9929,0.999,0.9929,0.9929,0.0152,0.0428,0.3968,0.9929,0.1749
13,0.9872,0.9989,0.9872,0.9872,0.024,0.0565,0.3442,0.9872,0.1415
14,0.9871,0.9988,0.9871,0.9871,0.0225,0.0538,0.3842,0.9871,0.1703
15,0.9925,0.999,0.9925,0.9925,0.0155,0.0399,0.3502,0.9925,0.1519
16,0.9943,0.9991,0.9943,0.9943,0.0124,0.0329,0.3808,0.9943,0.1861
17,0.9923,0.9989,0.9923,0.9923,0.0152,0.0369,0.3956,0.9923,0.1524
18,0.9947,0.9992,0.9947,0.9947,0.0098,0.0267,0.4108,0.9947,0.1964
19,0.9946,0.9993,0.9946,0.9946,0.0105,0.0273,0.4821,0.9946,0.2046
20,0.9947,0.9994,0.9947,0.9947,0.0095,0.0252,0.4583,0.9947,0.203
21,0.9955,0.9994,0.9955,0.9955,0.0088,0.0228,0.3897,0.9955,0.2023
22,0.9959,0.9993,0.9959,0.9959,0.0081,0.0223,0.4492,0.9959,0.1605
23,0.9956,0.9992,0.9956,0.9956,0.008,0.0223,0.4708,0.9956,0.2206
24,0.9959,0.9992,0.9959,0.9959,0.008,0.0219,0.5053,0.9959,0.1612
25,0.9957,0.999,0.9957,0.9957,0.0083,0.0226,0.5011,0.9957,0.1731
26,0.9956,0.999,0.9956,0.9956,0.0076,0.021,0.46,0.9956,0.2272
27,0.9953,0.9989,0.9953,0.9953,0.0083,0.0225,0.4924,0.9953,0.2218
28,0.9943,0.9989,0.9943,0.9943,0.0096,0.0246,0.487,0.9943,0.2642
29,0.9937,0.9988,0.9937,0.9937,0.0113,0.0276,0.4532,0.9938,0.2475
30,0.994,0.9989,0.994,0.994,0.0101,0.0252,0.4287,0.994,0.2481
31,0.9947,0.9989,0.9947,0.9947,0.0088,0.0223,0.4232,0.9947,0.265
32,0.9945,0.9989,0.9945,0.9945,0.0092,0.0231,0.4608,0.9945,0.1829
33,0.9946,0.9988,0.9946,0.9946,0.0087,0.0224,0.4173,0.9946,0.1898
34,0.9947,0.9988,0.9947,0.9947,0.009,0.0228,0.4179,0.9948,0.259
35,0.9949,0.9988,0.9949,0.9949,0.0091,0.023,0.4174,0.9949,0.2613
36,0.9945,0.9988,0.9945,0.9945,0.0089,0.0226,0.3736,0.9945,0.1892
37,0.9949,0.9988,0.9949,0.9949,0.0087,0.0224,0.3572,0.9949,0.1969
38,0.9946,0.9986,0.9946,0.9946,0.0101,0.0257,0.3614,0.9946,0.2767
39,0.9946,0.9986,0.9946,0.9946,0.0094,0.0244,0.3772,0.9946,0.2835
40,0.9943,0.9985,0.9943,0.9943,0.0099,0.0256,0.4214,0.9943,0.2815
41,0.9947,0.9986,0.9947,0.9947,0.0087,0.0232,0.4667,0.9948,0.2943
42,0.995,0.9986,0.995,0.995,0.0087,0.023,0.4355,0.995,0.2992
43,0.9947,0.9987,0.9947,0.9947,0.0087,0.0226,0.4216,0.9947,0.3098
44,0.9946,0.9987,0.9946,0.9946,0.0095,0.0242,0.4011,0.9946,0.2949
45,0.9942,0.9986,0.9942,0.9942,0.0101,0.0248,0.3809,0.9942,0.315
46,0.9942,0.9986,0.9942,0.9942,0.0102,0.0251,0.3669,0.9942,0.3246
47,0.9945,0.9986,0.9945,0.9945,0.0097,0.0242,0.3777,0.9945,0.3213
48,0.9936,0.9987,0.9936,0.9936,0.0104,0.0249,0.3811,0.9936,0.3235
49,0.9943,0.9988,0.9943,0.9943,0.0098,0.0235,0.4163,0.9943,0.3077
50,0.993,0.9987,0.993,0.993,0.0117,0.027,0.4436,0.993,0.3299
51,0.9935,0.9987,0.9935,0.9935,0.0106,0.0254,0.4937,0.9935,0.3413
52,0.9935,0.9987,0.9935,0.9935,0.0106,0.0254,0.4614,0.9935,0.3475
53,0.9939,0.9988,0.9939,0.9939,0.0105,0.0247,0.4422,0.9939,0.3547
54,0.9932,0.9988,0.9932,0.9932,0.011,0.0255,0.4333,0.9932,0.3502
55,0.9943,0.9989,0.9943,0.9943,0.0095,0.023,0.4382,0.9943,0.3512
56,0.9945,0.9989,0.9945,0.9945,0.0093,0.0229,0.444,0.9945,0.3632
57,0.995,0.9988,0.995,0.995,0.0092,0.0228,0.4358,0.995,0.3727
58,0.9949,0.9988,0.9949,0.9949,0.0087,0.0219,0.4144,0.9949,0.3667
59,0.9947,0.9987,0.9947,0.9947,0.009,0.0234,0.4504,0.9947,0.2377
