step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.99,0.9986,0.99,0.99,0.0207,0.0536,0.5433,0.99,0.3924
1,0.9896,0.9991,0.9896,0.9896,0.018,0.042,0.8038,0.9897,0.4203
2,0.9957,0.9992,0.9957,0.9957,0.0079,0.021,0.4581,0.9957,0.3725
3,0.996,0.9994,0.996,0.996,0.0069,0.0177,0.469,0.996,0.3712
4,0.9949,0.9992,0.9949,0.9949,0.008,0.0197,0.4764,0.9949,0.3671
5,0.9962,0.9993,0.9962,0.9962,0.0066,0.0164,0.4618,0.9962,0.3705
6,0.996,0.9993,0.996,0.996,0.0067,0.0162,0.4368,0.996,0.3701
7,0.9962,0.9992,0.9962,0.9962,0.0063,0.0158,0.4655,0.9962,0.3822
8,0.9969,0.9992,0.9969,0.9969,0.0054,0.0142,0.4463,0.9969,0.3586
9,0.9969,0.9992,0.9969,0.9969,0.0057,0.0155,0.5258,0.9969,0.3883
10,0.996,0.9992,0.996,0.996,0.0067,0.0177,0.35,0.996,0.3808
11,0.997,0.9991,0.997,0.997,0.0053,0.0156,0.5336,0.997,0.3566
12,0.9964,0.999,0.9964,0.9964,0.0061,0.0177,0.5862,0.9964,0.3643
13,0.9964,0.9991,0.9964,0.9964,0.0062,0.0179,0.5379,0.9964,0.3773
14,0.9963,0.9991,0.9963,0.9963,0.0064,0.0189,0.5683,0.9963,0.3552
15,0.9963,0.9991,0.9963,0.9963,0.0063,0.0191,0.5043,0.9963,0.3603
16,0.9962,0.9991,0.9962,0.9962,0.0068,0.0198,0.4931,0.9962,0.353
17,0.9959,0.9992,0.9959,0.9959,0.0069,0.02,0.5111,0.9959,0.3546
18,0.9963,0.9992,0.9963,0.9963,0.0068,0.0197,0.4868,0.9963,0.3974
19,0.9964,0.9991,0.9964,0.9964,0.0063,0.0198,0.4735,0.9964,0.3598
20,0.9966,0.9991,0.9966,0.9966,0.0059,0.0187,0.3791,0.9966,0.3585
21,0.9967,0.9992,0.9967,0.9967,0.0057,0.0186,0.3893,0.9967,0.3377
22,0.9964,0.9991,0.9964,0.9964,0.0061,0.0201,0.4586,0.9964,0.3574
23,0.9966,0.9991,0.9966,0.9966,0.0059,0.0199,0.5026,0.9966,0.3598
24,0.9969,0.9991,0.9969,0.9969,0.0058,0.0209,0.4587,0.9969,0.3335
25,0.9969,0.9991,0.9969,0.9969,0.0058,0.0205,0.4198,0.9969,0.3251
26,0.9969,0.9991,0.9969,0.9969,0.0058,0.0202,0.4256,0.9969,0.3437
27,0.9967,0.9992,0.9967,0.9967,0.0057,0.0196,0.421,0.9967,0.3511
28,0.9966,0.9992,0.9966,0.9966,0.0056,0.0194,0.463,0.9966,0.3691
29,0.9967,0.9992,0.9967,0.9967,0.0054,0.0194,0.453,0.9967,0.3561
30,0.9969,0.9992,0.9969,0.9969,0.0051,0.0192,0.4624,0.9969,0.3583
31,0.9967,0.9992,0.9967,0.9967,0.0053,0.0195,0.4672,0.9967,0.3443
32,0.9969,0.9992,0.9969,0.9969,0.0055,0.0199,0.4373,0.9969,0.3492
33,0.9969,0.9993,0.9969,0.9969,0.0055,0.02,0.4383,0.9969,0.3483
34,0.9967,0.9993,0.9967,0.9967,0.0057,0.0204,0.4787,0.9967,0.3463
35,0.9967,0.9993,0.9967,0.9967,0.0055,0.0204,0.47,0.9967,0.3687
36,0.9969,0.9993,0.9969,0.9969,0.0056,0.0206,0.4479,0.9969,0.3515
37,0.9969,0.9993,0.9969,0.9969,0.0053,0.0206,0.4602,0.9969,0.3708
38,0.9969,0.9993,0.9969,0.9969,0.0053,0.0207,0.4593,0.9969,0.3687
39,0.9969,0.9993,0.9969,0.9969,0.0053,0.0207,0.443,0.9969,0.3629
40,0.997,0.9993,0.997,0.997,0.0053,0.0211,0.4498,0.997,0.389
41,0.997,0.9993,0.997,0.997,0.0053,0.0211,0.4457,0.997,0.3315
42,0.997,0.9993,0.997,0.997,0.0052,0.0212,0.4558,0.997,0.3369
43,0.997,0.9993,0.997,0.997,0.0052,0.0214,0.4545,0.997,0.3491
44,0.997,0.9993,0.997,0.997,0.0052,0.0214,0.451,0.997,0.3467
45,0.9969,0.9994,0.9969,0.9969,0.0052,0.0198,0.4087,0.9969,0.3465
46,0.997,0.9994,0.997,0.997,0.0053,0.0196,0.4081,0.997,0.3408
47,0.997,0.9994,0.997,0.997,0.0052,0.0197,0.3998,0.997,0.3339
48,0.997,0.9994,0.997,0.997,0.0051,0.0198,0.4036,0.997,0.3377
49,0.997,0.9994,0.997,0.997,0.0051,0.0197,0.4011,0.997,0.3623
50,0.997,0.9994,0.997,0.997,0.0052,0.02,0.4054,0.997,0.3614
51,0.997,0.9994,0.997,0.997,0.0052,0.02,0.4101,0.997,0.3331
52,0.997,0.9994,0.997,0.997,0.0052,0.0199,0.4105,0.997,0.3667
53,0.9972,0.9994,0.9972,0.9972,0.0052,0.02,0.411,0.9972,0.348
54,0.997,0.9994,0.997,0.997,0.0052,0.0201,0.4113,0.997,0.3473
55,0.997,0.9994,0.997,0.997,0.0052,0.02,0.414,0.997,0.3554
56,0.997,0.9994,0.997,0.997,0.0052,0.0201,0.4104,0.997,0.3753
57,0.997,0.9994,0.997,0.997,0.0052,0.02,0.4067,0.997,0.3534
58,0.9972,0.9994,0.9972,0.9972,0.0052,0.0201,0.4102,0.9972,0.3374
59,0.997,0.9994,0.997,0.997,0.0052,0.0201,0.4043,0.997,0.35
