step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.6954,0.9431,0.6954,0.6656,0.4547,0.7089,0.9763,0.6963,10.4528
1,0.9593,0.9961,0.9593,0.9593,0.0604,0.11,0.801,0.9594,4.347
2,0.9821,0.9991,0.9821,0.9821,0.0304,0.0638,0.8246,0.9821,4.897
3,0.9955,0.9996,0.9955,0.9955,0.0112,0.029,0.712,0.9955,5.0426
4,0.9942,0.9996,0.9942,0.9942,0.0109,0.0268,0.7056,0.9942,5.2577
5,0.9953,0.9997,0.9953,0.9953,0.0095,0.023,0.708,0.9953,5.3163
6,0.9962,0.9997,0.9962,0.9962,0.0065,0.0167,0.5761,0.9962,5.1413
7,0.996,0.9996,0.996,0.996,0.0081,0.0192,0.5892,0.996,5.8915
8,0.9962,0.9996,0.9962,0.9962,0.0073,0.0177,0.6197,0.9962,5.6321
9,0.9964,0.9997,0.9964,0.9964,0.0061,0.0147,0.6148,0.9964,6.1375
10,0.9967,0.9997,0.9967,0.9967,0.0058,0.014,0.5931,0.9967,6.3547
11,0.9967,0.9997,0.9967,0.9967,0.0058,0.0136,0.5951,0.9967,7.4289
12,0.997,0.9997,0.997,0.997,0.0057,0.0136,0.5302,0.997,7.5816
13,0.9967,0.9997,0.9967,0.9967,0.0057,0.0134,0.55,0.9967,7.3744
14,0.9962,0.9997,0.9962,0.9962,0.0064,0.0141,0.4251,0.9962,7.347
15,0.9962,0.9997,0.9962,0.9962,0.0063,0.014,0.4261,0.9962,7.4176
16,0.9962,0.9997,0.9962,0.9962,0.0063,0.0135,0.4321,0.9962,7.4399
17,0.996,0.9997,0.996,0.996,0.0064,0.0137,0.4325,0.996,7.0722
18,0.9967,0.9997,0.9967,0.9967,0.006,0.0131,0.4249,0.9967,7.1235
19,0.9966,0.9997,0.9966,0.9966,0.0056,0.0122,0.4369,0.9966,7.38
20,0.9967,0.9997,0.9967,0.9967,0.0053,0.0118,0.4615,0.9967,7.3324
21,0.9972,0.9997,0.9972,0.9972,0.0052,0.0118,0.4483,0.9972,7.1796
22,0.9969,0.9997,0.9969,0.9969,0.0053,0.0121,0.4575,0.9969,7.1884
23,0.9969,0.9997,0.9969,0.9969,0.0055,0.0127,0.3995,0.9969,7.2085
24,0.9967,0.9998,0.9967,0.9967,0.0053,0.0119,0.483,0.9967,7.3053
25,0.9964,0.9997,0.9964,0.9964,0.0055,0.0119,0.5158,0.9964,7.3456
26,0.9964,0.9997,0.9964,0.9964,0.0054,0.0119,0.4944,0.9964,7.5298
27,0.9967,0.9997,0.9967,0.9967,0.0053,0.0116,0.4979,0.9967,7.2353
28,0.9963,0.9997,0.9963,0.9963,0.0057,0.0129,0.4199,0.9963,7.2534
29,0.9967,0.9997,0.9967,0.9967,0.0056,0.0126,0.3972,0.9967,7.3349
30,0.9967,0.9997,0.9967,0.9967,0.0056,0.0128,0.3927,0.9967,7.204
31,0.9969,0.9997,0.9969,0.9969,0.0055,0.0126,0.4,0.9969,7.5394
32,0.9969,0.9997,0.9969,0.9969,0.0055,0.0125,0.4002,0.9969,7.2544
33,0.9969,0.9997,0.9969,0.9969,0.0054,0.0125,0.3998,0.9969,7.4847
34,0.997,0.9997,0.997,0.997,0.0055,0.0128,0.4059,0.997,7.5766
35,0.9969,0.9997,0.9969,0.9969,0.0055,0.0129,0.4066,0.9969,7.6902
36,0.997,0.9997,0.997,0.997,0.0055,0.0129,0.407,0.997,7.7186
37,0.997,0.9997,0.997,0.997,0.0055,0.0129,0.4079,0.997,7.6468
38,0.9966,0.9997,0.9966,0.9966,0.0057,0.013,0.4058,0.9966,7.8125
39,0.9963,0.9997,0.9963,0.9963,0.006,0.0137,0.419,0.9963,7.6042
40,0.9963,0.9997,0.9963,0.9963,0.006,0.0136,0.4135,0.9963,7.674
41,0.9964,0.9997,0.9964,0.9964,0.0056,0.0129,0.4094,0.9964,7.5862
42,0.9964,0.9997,0.9964,0.9964,0.0055,0.0127,0.4051,0.9964,7.5341
43,0.9969,0.9998,0.9969,0.9969,0.005,0.0117,0.3775,0.9969,7.3475
44,0.9967,0.9998,0.9967,0.9967,0.0049,0.0117,0.3724,0.9967,7.4244
45,0.9967,0.9998,0.9967,0.9967,0.0049,0.0116,0.3725,0.9967,7.6477
46,0.997,0.9998,0.997,0.997,0.005,0.0118,0.3708,0.997,7.0069
47,0.9967,0.9998,0.9967,0.9967,0.005,0.012,0.3697,0.9967,6.7157
48,0.997,0.9998,0.997,0.997,0.005,0.012,0.3712,0.997,6.7375
49,0.997,0.9998,0.997,0.997,0.005,0.0119,0.3687,0.997,6.8935
50,0.9967,0.9998,0.9967,0.9967,0.005,0.0119,0.374,0.9967,6.5509
51,0.9967,0.9998,0.9967,0.9967,0.005,0.0119,0.3741,0.9967,6.6943
52,0.9967,0.9998,0.9967,0.9967,0.005,0.012,0.3723,0.9967,7.2485
53,0.9967,0.9997,0.9967,0.9967,0.0051,0.0126,0.3779,0.9967,7.4653
54,0.9967,0.9997,0.9967,0.9967,0.0051,0.0127,0.3792,0.9967,7.4732
55,0.9969,0.9997,0.9969,0.9969,0.0051,0.0127,0.3778,0.9969,7.361
56,0.9972,0.9997,0.9972,0.9972,0.005,0.0125,0.3726,0.9972,7.3786
57,0.9972,0.9997,0.9972,0.9972,0.005,0.0125,0.3725,0.9972,7.3174
58,0.997,0.9997,0.997,0.997,0.005,0.0127,0.373,0.997,6.8681
59,0.9967,0.9997,0.9967,0.9967,0.0052,0.0131,0.3667,0.9967,7.4816
