step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,6.4367
1,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.4703
2,0.8034,0.9233,0.8034,0.7967,0.2818,0.4351,0.7841,0.8039,0.4798
3,0.8383,0.9627,0.8383,0.8354,0.2153,0.3366,0.3395,0.8379,0.5001
4,0.8786,0.972,0.8786,0.8772,0.1741,0.2851,0.6678,0.8789,0.4976
5,0.9565,0.9924,0.9565,0.9565,0.0798,0.156,0.3726,0.9565,0.5003
6,0.9699,0.9965,0.9699,0.9698,0.0545,0.1133,0.5512,0.9699,0.4964
7,0.9684,0.9969,0.9684,0.9684,0.0559,0.113,0.6373,0.9685,0.491
8,0.9682,0.9966,0.9682,0.9681,0.0561,0.1127,0.5993,0.9682,0.4987
9,0.9683,0.9968,0.9683,0.9683,0.0559,0.1121,0.6185,0.9684,0.5041
10,0.962,0.9979,0.962,0.962,0.0643,0.1203,0.7772,0.9621,0.4954
11,0.9531,0.9984,0.9531,0.953,0.0737,0.131,0.864,0.9532,0.4988
12,0.9578,0.9984,0.9578,0.9577,0.0675,0.1222,0.8154,0.9579,0.4961
13,0.9883,0.9988,0.9883,0.9883,0.024,0.0591,0.6283,0.9884,0.489
14,0.9892,0.9989,0.9892,0.9892,0.024,0.0587,0.6751,0.9892,0.4983
15,0.992,0.9988,0.992,0.992,0.0177,0.0463,0.5813,0.9921,0.5012
16,0.9918,0.9988,0.9918,0.9918,0.0178,0.0444,0.4787,0.9918,0.4961
17,0.9919,0.9988,0.9919,0.9919,0.0172,0.0428,0.4562,0.9919,0.5003
18,0.9922,0.9988,0.9922,0.9922,0.0166,0.0421,0.4746,0.9922,0.4949
19,0.9922,0.9988,0.9922,0.9922,0.0168,0.0423,0.4763,0.9922,0.4874
20,0.9935,0.9989,0.9935,0.9935,0.015,0.039,0.502,0.9935,0.4964
21,0.9937,0.999,0.9937,0.9937,0.0141,0.0372,0.5333,0.9938,0.4989
22,0.9939,0.999,0.9939,0.9939,0.0141,0.0372,0.5207,0.9939,0.4969
23,0.9935,0.999,0.9935,0.9935,0.014,0.0368,0.5078,0.9935,0.5025
24,0.9937,0.9989,0.9937,0.9937,0.0142,0.037,0.5296,0.9938,0.4989
25,0.9933,0.9989,0.9933,0.9933,0.0144,0.0373,0.5382,0.9933,0.4936
26,0.9942,0.999,0.9942,0.9942,0.0136,0.0355,0.5012,0.9942,0.5045
27,0.9932,0.999,0.9932,0.9932,0.0139,0.035,0.4216,0.9932,0.5034
28,0.9937,0.999,0.9937,0.9937,0.0139,0.0348,0.4247,0.9938,0.4956
29,0.9937,0.9991,0.9937,0.9937,0.013,0.0327,0.4539,0.9938,0.5006
30,0.9933,0.9991,0.9933,0.9933,0.0129,0.0321,0.4619,0.9933,0.4992
31,0.9932,0.9991,0.9932,0.9932,0.0127,0.0316,0.475,0.9932,0.4948
32,0.9929,0.9991,0.9929,0.9929,0.0129,0.0321,0.4848,0.9929,0.5004
33,0.9927,0.9991,0.9927,0.9927,0.0134,0.0326,0.5013,0.9928,0.5044
34,0.9939,0.9991,0.9939,0.9939,0.0128,0.0313,0.4507,0.9939,0.4956
35,0.9933,0.9992,0.9933,0.9933,0.0127,0.0305,0.4627,0.9933,0.4995
36,0.9942,0.9992,0.9942,0.9942,0.0121,0.0293,0.4512,0.9942,0.5006
37,0.9936,0.9992,0.9936,0.9936,0.0121,0.0294,0.473,0.9936,0.4974
38,0.9937,0.9992,0.9937,0.9937,0.012,0.029,0.4865,0.9938,0.5003
39,0.9937,0.9992,0.9937,0.9937,0.012,0.0289,0.5058,0.9938,0.5024
40,0.9936,0.9992,0.9936,0.9936,0.012,0.0288,0.5167,0.9936,0.4988
41,0.9937,0.9993,0.9937,0.9937,0.012,0.0287,0.5285,0.9938,0.5051
42,0.9935,0.9993,0.9935,0.9935,0.0121,0.0288,0.5315,0.9935,0.5033
43,0.994,0.9993,0.994,0.994,0.0111,0.0269,0.5026,0.994,0.4984
44,0.9939,0.9993,0.9939,0.9939,0.0111,0.0269,0.4877,0.9939,0.4976
45,0.9939,0.9993,0.9939,0.9939,0.0111,0.0267,0.4766,0.9939,0.5034
46,0.994,0.9993,0.994,0.994,0.0111,0.0268,0.4872,0.994,0.4934
47,0.9945,0.9993,0.9945,0.9945,0.0107,0.026,0.481,0.9945,0.5064
48,0.9946,0.9993,0.9946,0.9946,0.0106,0.0259,0.4862,0.9946,0.5018
49,0.9945,0.9993,0.9945,0.9945,0.0107,0.0261,0.4863,0.9945,0.5017
50,0.9945,0.9993,0.9945,0.9945,0.0104,0.0256,0.4971,0.9945,0.4953
51,0.9943,0.9993,0.9943,0.9943,0.0103,0.0252,0.4875,0.9943,0.5057
52,0.9945,0.9993,0.9945,0.9945,0.0103,0.0253,0.4883,0.9945,0.4993
53,0.994,0.9993,0.994,0.994,0.0115,0.0271,0.5052,0.994,0.5003
54,0.994,0.9993,0.994,0.994,0.0114,0.0269,0.4942,0.994,0.4973
55,0.994,0.9993,0.994,0.994,0.0118,0.0276,0.5356,0.994,0.4956
56,0.9945,0.9993,0.9945,0.9945,0.0112,0.0267,0.5202,0.9945,0.4939
57,0.9942,0.9994,0.9942,0.9942,0.0115,0.0271,0.5388,0.9942,0.4974
58,0.9943,0.9994,0.9943,0.9943,0.0115,0.0271,0.5285,0.9943,0.5023
59,0.9943,0.9994,0.9943,0.9943,0.0109,0.026,0.5179,0.9943,0.4985
