step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5015,0.5,0.5015,0.334,0.997,17.968,0.4985,0.5,3.4652
1,0.8216,0.9512,0.8216,0.8176,0.2391,0.3735,0.353,0.8211,1.1419
2,0.7893,0.9564,0.7893,0.7805,0.2755,0.4134,0.8494,0.7899,0.5936
3,0.8635,0.9751,0.8635,0.8619,0.1828,0.2917,0.3656,0.8632,0.4508
4,0.9259,0.9898,0.9259,0.9256,0.1186,0.2093,0.71,0.9261,0.7586
5,0.9468,0.99,0.9468,0.9468,0.0904,0.1698,0.4353,0.9468,0.3969
6,0.9667,0.9974,0.9667,0.9667,0.0599,0.1211,0.701,0.9668,0.4932
7,0.9723,0.9975,0.9723,0.9723,0.052,0.1079,0.5957,0.9723,0.4153
8,0.9797,0.9985,0.9797,0.9797,0.0377,0.0805,0.3662,0.9796,0.4467
9,0.9868,0.9983,0.9868,0.9868,0.0291,0.0682,0.4136,0.9868,0.4668
10,0.9868,0.9985,0.9868,0.9868,0.0259,0.0607,0.5059,0.9868,0.5956
11,0.9856,0.9988,0.9856,0.9856,0.0261,0.0582,0.6343,0.9857,0.7403
12,0.9851,0.9988,0.9851,0.9851,0.0256,0.057,0.598,0.9851,0.5327
13,0.9872,0.9991,0.9872,0.9872,0.0231,0.0513,0.6771,0.9872,0.8072
14,0.9864,0.9991,0.9864,0.9863,0.0239,0.0521,0.6583,0.9864,0.6573
15,0.9836,0.9992,0.9836,0.9836,0.0277,0.0574,0.745,0.9837,0.9822
16,0.9838,0.9992,0.9838,0.9838,0.027,0.056,0.7338,0.9838,0.5882
17,0.9947,0.9994,0.9947,0.9947,0.0141,0.0363,0.5456,0.9948,0.5959
18,0.994,0.9995,0.994,0.994,0.014,0.0356,0.5781,0.994,0.756
19,0.994,0.9995,0.994,0.994,0.0137,0.0351,0.5635,0.994,0.616
20,0.9936,0.9995,0.9936,0.9936,0.0143,0.0358,0.58,0.9936,0.7852
21,0.9937,0.9995,0.9937,0.9937,0.0142,0.0355,0.5932,0.9938,0.7094
22,0.9939,0.9995,0.9939,0.9939,0.0123,0.0315,0.5449,0.9939,0.9319
23,0.9937,0.9996,0.9937,0.9937,0.0117,0.0291,0.6022,0.9938,0.6482
24,0.9937,0.9996,0.9937,0.9937,0.0111,0.0279,0.5803,0.9938,0.9464
25,0.9935,0.9996,0.9935,0.9935,0.0119,0.029,0.6028,0.9935,0.7539
26,0.992,0.9996,0.992,0.992,0.0144,0.0329,0.6396,0.9921,0.6975
27,0.9919,0.9996,0.9919,0.9919,0.014,0.0321,0.6599,0.9919,0.9644
28,0.9933,0.9996,0.9933,0.9933,0.0123,0.0292,0.6211,0.9933,1.0942
29,0.993,0.9996,0.993,0.993,0.0123,0.0291,0.6349,0.9931,1.0226
30,0.993,0.9996,0.993,0.993,0.0124,0.0292,0.6389,0.9931,0.8992
31,0.9943,0.9997,0.9943,0.9943,0.0099,0.0242,0.5513,0.9943,0.8521
32,0.9945,0.9997,0.9945,0.9945,0.0097,0.0236,0.5409,0.9945,0.9193
33,0.9949,0.9997,0.9949,0.9949,0.0092,0.0225,0.5355,0.9949,0.8842
34,0.995,0.9997,0.995,0.995,0.0093,0.0226,0.5611,0.995,0.9064
35,0.9949,0.9997,0.9949,0.9949,0.0092,0.0225,0.5564,0.9949,0.9979
36,0.9947,0.9997,0.9947,0.9947,0.0095,0.0226,0.6024,0.9948,1.1356
37,0.9945,0.9997,0.9945,0.9945,0.0103,0.0241,0.6374,0.9945,0.9822
38,0.9943,0.9997,0.9943,0.9943,0.0104,0.0241,0.6527,0.9943,1.3546
39,0.9942,0.9997,0.9942,0.9942,0.0103,0.0239,0.6616,0.9942,1.0276
40,0.994,0.9996,0.994,0.994,0.0106,0.0247,0.7286,0.994,0.9178
41,0.994,0.9996,0.994,0.994,0.0107,0.0247,0.7354,0.994,1.3604
42,0.9942,0.9996,0.9942,0.9942,0.0107,0.0247,0.7384,0.9942,1.1914
43,0.9936,0.9996,0.9936,0.9936,0.0108,0.0247,0.7219,0.9936,1.0073
44,0.9942,0.9996,0.9942,0.9942,0.0105,0.0243,0.7152,0.9942,0.9979
45,0.9942,0.9996,0.9942,0.9942,0.0105,0.0242,0.7154,0.9942,1.148
46,0.9942,0.9996,0.9942,0.9942,0.0106,0.0243,0.7198,0.9942,1.0374
47,0.9939,0.9996,0.9939,0.9939,0.0106,0.0243,0.7263,0.9939,1.1516
48,0.9939,0.9996,0.9939,0.9939,0.0106,0.0242,0.7268,0.9939,1.4226
49,0.9957,0.9996,0.9957,0.9957,0.008,0.0197,0.6432,0.9957,1.1442
50,0.9956,0.9996,0.9956,0.9956,0.008,0.0198,0.6529,0.9956,1.0832
51,0.9957,0.9996,0.9957,0.9957,0.0079,0.0195,0.6341,0.9957,1.3969
52,0.9957,0.9996,0.9957,0.9957,0.0078,0.0192,0.6074,0.9957,1.4512
53,0.9957,0.9996,0.9957,0.9957,0.0079,0.0195,0.6216,0.9957,1.3703
54,0.9959,0.9996,0.9959,0.9959,0.0079,0.0194,0.6162,0.9959,1.7626
55,0.9957,0.9996,0.9957,0.9957,0.0079,0.0193,0.62,0.9957,1.4167
56,0.996,0.9996,0.996,0.996,0.0078,0.0191,0.6287,0.996,1.3574
57,0.996,0.9996,0.996,0.996,0.0077,0.0188,0.5945,0.996,1.4524
58,0.996,0.9997,0.996,0.996,0.0072,0.0175,0.5531,0.996,1.3974
59,0.9962,0.9997,0.9962,0.9962,0.0071,0.0172,0.5327,0.9962,1.5255
