step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.0186
1,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.0194
2,0.6991,0.9775,0.6991,0.6699,0.3808,0.5421,0.9687,0.7,0.0174
3,0.9339,0.9843,0.9339,0.9339,0.1236,0.2315,0.4048,0.9339,0.0327
4,0.8924,0.992,0.8924,0.8912,0.1445,0.2372,0.7157,0.8927,0.0324
5,0.9703,0.9979,0.9703,0.9703,0.0594,0.1253,0.3443,0.9702,0.0314
6,0.9888,0.9985,0.9888,0.9888,0.0321,0.0855,0.4831,0.9888,0.0302
7,0.9805,0.9986,0.9805,0.9805,0.0355,0.0807,0.3657,0.9805,0.0306
8,0.9932,0.9988,0.9932,0.9932,0.0198,0.0573,0.4521,0.9932,0.0329
9,0.98,0.9986,0.98,0.9799,0.0354,0.0767,0.3631,0.9799,0.0324
10,0.9935,0.9987,0.9935,0.9935,0.0158,0.0483,0.6602,0.9935,0.0329
11,0.9927,0.9987,0.9927,0.9927,0.016,0.0455,0.7059,0.9928,0.0308
12,0.9905,0.9988,0.9905,0.9905,0.0177,0.046,0.6586,0.9905,0.0299
13,0.9935,0.9989,0.9935,0.9935,0.0146,0.0409,0.5247,0.9935,0.0284
14,0.9919,0.9988,0.9919,0.9919,0.0178,0.0476,0.4374,0.9919,0.0305
15,0.9933,0.9989,0.9933,0.9933,0.0143,0.0398,0.5574,0.9933,0.0285
16,0.9957,0.9989,0.9957,0.9957,0.0097,0.0298,0.4154,0.9957,0.033
17,0.9946,0.9989,0.9946,0.9946,0.0114,0.0338,0.4105,0.9946,0.0313
18,0.995,0.9989,0.995,0.995,0.0118,0.0349,0.3717,0.995,0.0312
19,0.9956,0.9989,0.9956,0.9956,0.0091,0.0277,0.4057,0.9956,0.0307
20,0.9943,0.9988,0.9943,0.9943,0.0111,0.0311,0.433,0.9943,0.0297
21,0.9912,0.9989,0.9912,0.9912,0.014,0.0343,0.5327,0.9912,0.0312
22,0.995,0.999,0.995,0.995,0.0099,0.027,0.4834,0.995,0.0317
23,0.9955,0.999,0.9955,0.9955,0.0091,0.0259,0.402,0.9955,0.033
24,0.9955,0.9989,0.9955,0.9955,0.0096,0.0276,0.4187,0.9955,0.0362
25,0.9962,0.9989,0.9962,0.9962,0.0083,0.0243,0.4467,0.9962,0.0355
26,0.9957,0.999,0.9957,0.9957,0.0085,0.0235,0.5382,0.9957,0.0347
27,0.9957,0.9992,0.9957,0.9957,0.0075,0.0205,0.5153,0.9957,0.0364
28,0.9957,0.9991,0.9957,0.9957,0.0076,0.0206,0.5883,0.9957,0.0363
29,0.9957,0.999,0.9957,0.9957,0.0085,0.022,0.5486,0.9957,0.0369
30,0.9956,0.9989,0.9956,0.9956,0.008,0.0215,0.5737,0.9956,0.0363
31,0.9959,0.999,0.9959,0.9959,0.0076,0.0206,0.55,0.9959,0.0376
32,0.994,0.9988,0.994,0.994,0.0102,0.0256,0.5898,0.994,0.0387
33,0.9957,0.9989,0.9957,0.9957,0.0078,0.0204,0.5105,0.9957,0.0382
34,0.996,0.9989,0.996,0.996,0.0072,0.0199,0.4837,0.996,0.0359
35,0.9967,0.9989,0.9967,0.9967,0.0061,0.018,0.3928,0.9967,0.0355
36,0.9969,0.9989,0.9969,0.9969,0.0064,0.019,0.371,0.9969,0.0379
37,0.9967,0.9989,0.9967,0.9967,0.0063,0.0186,0.3978,0.9967,0.039
38,0.9966,0.9989,0.9966,0.9966,0.0065,0.019,0.4034,0.9966,0.0381
39,0.9967,0.9989,0.9967,0.9967,0.0066,0.0195,0.4065,0.9967,0.0379
40,0.9967,0.9989,0.9967,0.9967,0.0067,0.0196,0.4145,0.9967,0.0422
41,0.9967,0.9989,0.9967,0.9967,0.0068,0.0201,0.398,0.9967,0.0397
42,0.9964,0.9989,0.9964,0.9964,0.007,0.0207,0.3769,0.9964,0.0409
43,0.9969,0.9989,0.9969,0.9969,0.0063,0.0186,0.4045,0.9969,0.0473
44,0.9969,0.9989,0.9969,0.9969,0.0062,0.0184,0.3941,0.9969,0.0403
45,0.9969,0.9991,0.9969,0.9969,0.0057,0.0163,0.4055,0.9969,0.0399
46,0.997,0.999,0.997,0.997,0.0056,0.0164,0.4282,0.997,0.0389
47,0.9967,0.999,0.9967,0.9967,0.0061,0.0175,0.4306,0.9967,0.0419
48,0.9969,0.999,0.9969,0.9969,0.0056,0.0164,0.4973,0.9969,0.0435
49,0.9972,0.999,0.9972,0.9972,0.0052,0.016,0.5427,0.9972,0.0419
50,0.9972,0.9989,0.9972,0.9972,0.0054,0.0162,0.5125,0.9972,0.04
51,0.9966,0.9989,0.9966,0.9966,0.0058,0.0173,0.5508,0.9966,0.0414
52,0.9964,0.9989,0.9964,0.9964,0.0054,0.0158,0.4614,0.9964,0.0419
53,0.997,0.9989,0.997,0.997,0.0052,0.0159,0.4702,0.997,0.0426
54,0.9972,0.9989,0.9972,0.9972,0.0051,0.0162,0.4656,0.9972,0.0434
55,0.9966,0.9989,0.9966,0.9966,0.0055,0.017,0.4932,0.9966,0.0436
56,0.9969,0.9989,0.9969,0.9969,0.0052,0.0165,0.5277,0.9969,0.0436
57,0.9969,0.9989,0.9969,0.9969,0.0053,0.0171,0.5693,0.9969,0.0432
58,0.9972,0.9988,0.9972,0.9972,0.0053,0.0174,0.5446,0.9972,0.0422
59,0.997,0.9988,0.997,0.997,0.0054,0.0182,0.5722,0.997,0.0424
