step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9517,0.9979,0.9517,0.9516,0.0808,0.1493,0.3383,0.9515,0.0247
1,0.8007,0.9964,0.8007,0.7922,0.2536,0.3664,0.307,0.8001,3.6498
2,0.9147,0.9966,0.9147,0.9141,0.1235,0.2057,0.3183,0.9144,3.625
3,0.9019,0.9979,0.9019,0.9009,0.1366,0.2197,0.3112,0.9016,3.7078
4,0.9534,0.9981,0.9534,0.9533,0.0796,0.1493,0.3251,0.9532,3.5985
5,0.9745,0.9979,0.9745,0.9745,0.0538,0.1185,0.368,0.9745,3.6305
6,0.9888,0.9992,0.9888,0.9888,0.0361,0.0971,0.4278,0.9888,3.7366
7,0.9869,0.999,0.9869,0.9869,0.0374,0.0998,0.4881,0.987,3.7089
8,0.9865,0.9992,0.9865,0.9865,0.0371,0.1009,0.5345,0.9865,3.7663
9,0.9925,0.9995,0.9925,0.9925,0.0284,0.0898,0.4417,0.9925,3.8811
10,0.9922,0.9996,0.9922,0.9922,0.0277,0.0886,0.4722,0.9922,3.6683
11,0.9918,0.9997,0.9918,0.9918,0.0289,0.0914,0.5286,0.9918,3.6981
12,0.9922,0.9998,0.9922,0.9922,0.0297,0.0934,0.5582,0.9922,3.6812
13,0.9912,0.9998,0.9912,0.9912,0.0316,0.0982,0.5485,0.9912,3.7062
14,0.9923,0.9995,0.9923,0.9923,0.0326,0.1027,0.5367,0.9923,3.6941
15,0.9929,0.9996,0.9929,0.9929,0.034,0.1067,0.5185,0.9929,3.6706
16,0.993,0.9996,0.993,0.993,0.0353,0.1086,0.5427,0.993,3.6977
17,0.9923,0.9996,0.9923,0.9923,0.0367,0.1117,0.5385,0.9923,3.718
18,0.9946,0.9996,0.9946,0.9946,0.0362,0.1129,0.5337,0.9946,3.6469
19,0.9964,0.9996,0.9964,0.9964,0.0334,0.1103,0.5255,0.9965,3.7591
20,0.9966,0.9996,0.9966,0.9966,0.0333,0.111,0.5142,0.9966,3.7641
21,0.9964,0.9996,0.9964,0.9964,0.0348,0.1148,0.5199,0.9964,3.7056
22,0.9963,0.9996,0.9963,0.9963,0.0356,0.1168,0.5157,0.9963,3.7804
