step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9332,0.9976,0.9332,0.9329,0.0958,0.1692,0.3322,0.933,11.1225
1,0.9167,0.9991,0.9167,0.9161,0.1134,0.1875,0.3103,0.9164,2.7445
2,0.9663,0.9993,0.9663,0.9663,0.0596,0.1175,0.3321,0.9662,2.7882
3,0.9774,0.9994,0.9774,0.9774,0.0502,0.1066,0.3398,0.9773,2.4605
4,0.9849,0.9995,0.9849,0.9849,0.0405,0.094,0.3527,0.9849,2.62
5,0.9836,0.9995,0.9836,0.9836,0.0431,0.0978,0.3365,0.9836,2.6698
6,0.9782,0.9996,0.9782,0.9782,0.0509,0.1076,0.3275,0.9782,2.7222
7,0.9834,0.9996,0.9834,0.9834,0.045,0.1015,0.3276,0.9833,2.4451
8,0.9862,0.9996,0.9862,0.9862,0.0379,0.0913,0.3338,0.9862,2.5803
9,0.9872,0.9996,0.9872,0.9872,0.0375,0.0915,0.3332,0.9872,2.5941
10,0.9895,0.9997,0.9895,0.9895,0.0333,0.0861,0.3311,0.9895,2.735
11,0.9918,0.9997,0.9918,0.9918,0.0304,0.0825,0.3394,0.9917,2.5412
12,0.993,0.9997,0.993,0.993,0.0284,0.0801,0.3415,0.993,2.5605
13,0.9918,0.9997,0.9918,0.9918,0.0307,0.083,0.3361,0.9917,2.7438
14,0.9933,0.9998,0.9933,0.9933,0.0269,0.0775,0.3438,0.9933,2.7454
15,0.9942,0.9998,0.9942,0.9942,0.026,0.0759,0.3438,0.9942,2.6274
16,0.9932,0.9998,0.9932,0.9932,0.0279,0.0787,0.3343,0.9932,2.7171
17,0.9945,0.9998,0.9945,0.9945,0.0246,0.0732,0.3409,0.9944,2.6804
18,0.9939,0.9998,0.9939,0.9939,0.024,0.072,0.3376,0.9939,2.7228
19,0.9915,0.9998,0.9915,0.9915,0.0269,0.0756,0.3314,0.9914,2.6774
20,0.9918,0.9998,0.9918,0.9918,0.0275,0.0763,0.3289,0.9917,2.5475
21,0.9922,0.9998,0.9922,0.9922,0.0262,0.0742,0.3305,0.9922,2.6094
22,0.9925,0.9998,0.9925,0.9925,0.0257,0.0733,0.3294,0.9924,2.6488
23,0.992,0.9998,0.992,0.992,0.025,0.0723,0.3305,0.992,2.553
24,0.9916,0.9998,0.9916,0.9916,0.0256,0.0732,0.3284,0.9916,2.6857
25,0.9925,0.9998,0.9925,0.9925,0.0249,0.0717,0.3282,0.9924,2.7219
26,0.9935,0.9998,0.9935,0.9935,0.0241,0.0707,0.3295,0.9934,2.5648
27,0.9936,0.9998,0.9936,0.9936,0.0245,0.0714,0.3295,0.9936,2.7568
28,0.9936,0.9998,0.9936,0.9936,0.0232,0.0695,0.3339,0.9936,2.629
29,0.9936,0.9998,0.9936,0.9936,0.023,0.0697,0.3347,0.9936,2.6167
30,0.9937,0.9998,0.9937,0.9937,0.0225,0.069,0.3349,0.9937,2.57
31,0.994,0.9998,0.994,0.994,0.0228,0.0692,0.3337,0.994,2.6011
32,0.9939,0.9998,0.9939,0.9939,0.0226,0.069,0.3325,0.9939,2.483
33,0.9937,0.9998,0.9937,0.9937,0.023,0.0695,0.3305,0.9937,2.7802
34,0.9932,0.9997,0.9932,0.9932,0.0238,0.0709,0.3289,0.9932,2.4436
35,0.9933,0.9997,0.9933,0.9933,0.0246,0.0721,0.3271,0.9933,2.7321
36,0.9932,0.9997,0.9932,0.9932,0.0246,0.0719,0.3266,0.9932,2.7016
37,0.9939,0.9998,0.9939,0.9939,0.0241,0.0715,0.3268,0.9939,2.8507
38,0.9929,0.9998,0.9929,0.9929,0.0246,0.0719,0.3263,0.9929,2.5064
39,0.9923,0.9998,0.9923,0.9923,0.0248,0.0722,0.3251,0.9923,2.7502
40,0.9923,0.9998,0.9923,0.9923,0.0257,0.0737,0.3239,0.9923,2.6949
41,0.9925,0.9998,0.9925,0.9925,0.0252,0.0728,0.3238,0.9924,2.7739
42,0.9925,0.9998,0.9925,0.9925,0.0251,0.0724,0.3232,0.9924,2.6218
43,0.9923,0.9998,0.9923,0.9923,0.025,0.0721,0.3231,0.9923,2.5579
44,0.9926,0.9998,0.9926,0.9926,0.0252,0.0726,0.322,0.9926,2.5998
45,0.9932,0.9998,0.9932,0.9932,0.024,0.0709,0.3229,0.9932,2.7352
46,0.9932,0.9998,0.9932,0.9932,0.0241,0.071,0.3222,0.9932,2.4383
47,0.9942,0.9998,0.9942,0.9942,0.0231,0.0699,0.3245,0.9942,2.5028
48,0.994,0.9998,0.994,0.994,0.0231,0.0697,0.3244,0.994,2.5225
49,0.994,0.9998,0.994,0.994,0.0232,0.0698,0.3237,0.994,2.3517
50,0.9935,0.9998,0.9935,0.9935,0.0241,0.0713,0.3221,0.9934,2.3209
51,0.9936,0.9998,0.9936,0.9936,0.0241,0.0712,0.322,0.9936,2.3668
52,0.9942,0.9998,0.9942,0.9942,0.0239,0.0708,0.3221,0.9942,2.1975
53,0.9939,0.9998,0.9939,0.9939,0.0242,0.0714,0.3216,0.9939,2.2629
54,0.9939,0.9998,0.9939,0.9939,0.0247,0.0722,0.3205,0.9939,2.1094
55,0.994,0.9998,0.994,0.994,0.0244,0.0715,0.321,0.994,2.2275
56,0.994,0.9998,0.994,0.994,0.0243,0.0714,0.3209,0.994,2.2584
57,0.994,0.9999,0.994,0.994,0.0249,0.0734,0.3187,0.994,2.306
58,0.9939,0.9999,0.9939,0.9939,0.0251,0.0738,0.3181,0.9939,2.1086
59,0.9939,0.9999,0.9939,0.9939,0.0253,0.0741,0.3179,0.9939,2.1877
