step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.992,0.9995,0.992,0.992,0.0273,0.0787,0.3845,0.992,16.41
1,0.992,0.9995,0.992,0.992,0.0258,0.0804,0.4689,0.992,16.3461
2,0.9937,0.9997,0.9937,0.9937,0.0247,0.0837,0.5054,0.9938,15.4865
3,0.996,0.9998,0.996,0.996,0.0279,0.0962,0.5055,0.996,16.6294
4,0.996,0.9997,0.996,0.996,0.0339,0.1098,0.5889,0.996,15.6422
5,0.996,0.9997,0.996,0.996,0.034,0.1116,0.591,0.996,15.4161
6,0.995,0.9997,0.995,0.995,0.0395,0.1217,0.6548,0.995,16.4879
7,0.9956,0.9997,0.9956,0.9956,0.0376,0.1203,0.5976,0.9956,15.3386
8,0.996,0.9997,0.996,0.996,0.0389,0.1227,0.6387,0.996,15.0407
9,0.9966,0.9997,0.9966,0.9966,0.0392,0.1248,0.6309,0.9966,15.3329
10,0.9964,0.9998,0.9964,0.9964,0.0404,0.1271,0.6681,0.9964,14.7925
11,0.9969,0.9998,0.9969,0.9969,0.0385,0.1245,0.6478,0.9969,16.2158
12,0.9966,0.9998,0.9966,0.9966,0.039,0.125,0.6844,0.9966,15.7031
13,0.9963,0.9998,0.9963,0.9963,0.0409,0.1288,0.7069,0.9963,15.328
14,0.997,0.9998,0.997,0.997,0.0401,0.1281,0.7109,0.997,15.877
15,0.9963,0.9998,0.9963,0.9963,0.0412,0.1299,0.7372,0.9963,14.2
16,0.996,0.9998,0.996,0.996,0.0419,0.1317,0.7498,0.996,15.4571
17,0.996,0.9998,0.996,0.996,0.0405,0.1295,0.7405,0.996,15.458
18,0.9962,0.9998,0.9962,0.9962,0.0408,0.1297,0.7684,0.9962,14.3826
19,0.9962,0.9998,0.9962,0.9962,0.0399,0.1283,0.7565,0.9962,15.9334
20,0.996,0.9998,0.996,0.996,0.0405,0.1284,0.7906,0.996,15.8262
21,0.9963,0.9998,0.9963,0.9963,0.0395,0.1269,0.7954,0.9963,15.8675
22,0.9967,0.9998,0.9967,0.9967,0.0397,0.1275,0.8029,0.9967,15.3122
23,0.9967,0.9998,0.9967,0.9967,0.0401,0.1286,0.8093,0.9967,15.0514
24,0.9967,0.9998,0.9967,0.9967,0.0394,0.1272,0.8171,0.9967,15.6617
25,0.9967,0.9998,0.9967,0.9967,0.0391,0.1264,0.8244,0.9967,15.2595
26,0.9967,0.9998,0.9967,0.9967,0.0385,0.1254,0.8238,0.9967,15.4754
27,0.9967,0.9998,0.9967,0.9967,0.0392,0.1261,0.8419,0.9967,15.6638
28,0.9969,0.9998,0.9969,0.9969,0.0376,0.1232,0.8324,0.9969,15.9268
29,0.9969,0.9998,0.9969,0.9969,0.038,0.124,0.8394,0.9969,15.346
30,0.9969,0.9998,0.9969,0.9969,0.037,0.1224,0.8342,0.9969,15.8044
31,0.9969,0.9998,0.9969,0.9969,0.0379,0.1236,0.8512,0.9969,15.2843
32,0.9969,0.9998,0.9969,0.9969,0.0374,0.1228,0.8476,0.9969,14.8098
33,0.9969,0.9998,0.9969,0.9969,0.037,0.1218,0.8439,0.9969,15.4798
34,0.9969,0.9999,0.9969,0.9969,0.0367,0.1216,0.8391,0.9969,15.2516
35,0.9967,0.9999,0.9967,0.9967,0.0372,0.122,0.8485,0.9967,14.3028
36,0.9969,0.9999,0.9969,0.9969,0.0358,0.1199,0.8401,0.9969,14.6046
37,0.9969,0.9999,0.9969,0.9969,0.0362,0.12,0.8514,0.9969,14.7309
38,0.9969,0.9999,0.9969,0.9969,0.035,0.1179,0.8482,0.9969,14.9577
39,0.9967,0.9999,0.9967,0.9967,0.0347,0.1173,0.8461,0.9967,14.9864
40,0.9969,0.9999,0.9969,0.9969,0.0343,0.1166,0.8474,0.9969,15.5703
41,0.9969,0.9999,0.9969,0.9969,0.0342,0.1162,0.853,0.9969,15.6515
42,0.9969,0.9999,0.9969,0.9969,0.034,0.1155,0.851,0.9969,13.6013
43,0.9969,0.9999,0.9969,0.9969,0.0336,0.1147,0.8519,0.9969,13.3301
44,0.997,0.9999,0.997,0.997,0.0333,0.1138,0.8509,0.997,12.7785
45,0.997,0.9999,0.997,0.997,0.033,0.1133,0.8495,0.997,12.1943
46,0.997,0.9999,0.997,0.997,0.0329,0.1133,0.8512,0.997,12.2778
47,0.9969,0.9999,0.9969,0.9969,0.033,0.113,0.8562,0.9969,12.6379
48,0.997,0.9999,0.997,0.997,0.032,0.1112,0.8461,0.997,12.2491
49,0.9969,0.9999,0.9969,0.9969,0.0324,0.1117,0.858,0.9969,11.7088
50,0.9969,0.9999,0.9969,0.9969,0.032,0.1109,0.8551,0.9969,11.7919
51,0.9969,0.9999,0.9969,0.9969,0.0316,0.1099,0.8494,0.9969,12.2826
52,0.9969,0.9999,0.9969,0.9969,0.0317,0.1099,0.8556,0.9969,10.7942
53,0.9969,0.9999,0.9969,0.9969,0.0317,0.11,0.857,0.9969,11.561
54,0.9969,0.9999,0.9969,0.9969,0.0317,0.1098,0.8626,0.9969,11.462
55,0.9969,0.9999,0.9969,0.9969,0.0316,0.1095,0.8599,0.9969,11.0924
56,0.9969,0.9999,0.9969,0.9969,0.0311,0.1085,0.8567,0.9969,10.7738
57,0.9969,0.9999,0.9969,0.9969,0.0312,0.1084,0.8621,0.9969,11.3062
58,0.9969,0.9999,0.9969,0.9969,0.0309,0.108,0.8614,0.9969,10.1931
59,0.9969,0.9999,0.9969,0.9969,0.0309,0.1079,0.8627,0.9969,10.0024
