step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5015,0.5,0.5015,0.334,0.997,17.968,0.4985,0.5,3.8459
1,0.783,0.9338,0.783,0.7748,0.3048,0.4691,0.3387,0.7825,1.1953
2,0.7519,0.9412,0.7519,0.7369,0.3547,0.5503,0.3225,0.7512,0.4866
3,0.7273,0.9533,0.7273,0.7057,0.3983,0.6252,0.3135,0.7265,0.4351
4,0.813,0.9667,0.813,0.8081,0.2362,0.3451,0.3385,0.8126,0.6384
5,0.901,0.9815,0.901,0.9006,0.1396,0.2236,0.3803,0.9008,0.5463
6,0.8938,0.9869,0.8938,0.893,0.1433,0.2232,0.3453,0.8935,0.4556
7,0.9204,0.9891,0.9204,0.9201,0.1134,0.1865,0.36,0.9202,0.5025
8,0.9383,0.9909,0.9383,0.9382,0.0936,0.1631,0.3781,0.9382,0.507
9,0.9652,0.9948,0.9652,0.9652,0.0619,0.1231,0.4076,0.9652,0.5357
10,0.9616,0.9926,0.9616,0.9616,0.0671,0.1294,0.4432,0.9616,0.6529
11,0.9679,0.9945,0.9679,0.9679,0.0582,0.1161,0.4775,0.9679,0.6209
12,0.9674,0.9947,0.9674,0.9674,0.0578,0.1141,0.5026,0.9675,0.6899
13,0.9667,0.9949,0.9667,0.9667,0.0577,0.1135,0.5185,0.9668,0.804
14,0.9792,0.9971,0.9792,0.9792,0.0424,0.0928,0.4391,0.9793,0.624
15,0.9835,0.9979,0.9835,0.9835,0.0365,0.0844,0.4624,0.9835,0.6969
16,0.9864,0.9982,0.9864,0.9864,0.0332,0.0799,0.4216,0.9864,0.7487
17,0.9869,0.9985,0.9869,0.9869,0.0321,0.0795,0.3931,0.9869,0.9636
18,0.9866,0.9985,0.9866,0.9866,0.034,0.0813,0.3729,0.9866,0.7645
19,0.9895,0.9987,0.9895,0.9895,0.0289,0.0745,0.3867,0.9895,0.7011
20,0.9888,0.9988,0.9888,0.9888,0.0299,0.076,0.3611,0.9888,0.753
21,0.99,0.9989,0.99,0.99,0.0265,0.0704,0.3724,0.99,0.769
22,0.9899,0.999,0.9899,0.9899,0.0277,0.0724,0.3604,0.9899,0.8573
23,0.9878,0.999,0.9878,0.9878,0.0303,0.0757,0.3456,0.9878,0.9528
24,0.9885,0.9989,0.9885,0.9885,0.0286,0.0721,0.3525,0.9885,0.8459
25,0.9836,0.9991,0.9836,0.9836,0.0349,0.0816,0.3391,0.9836,0.9181
26,0.9827,0.9991,0.9827,0.9826,0.0369,0.0843,0.3336,0.9826,0.9143
27,0.9869,0.9991,0.9869,0.9869,0.0334,0.0802,0.3375,0.9869,1.549
28,0.9856,0.9991,0.9856,0.9856,0.0346,0.0819,0.3336,0.9856,1.0209
29,0.9873,0.9991,0.9873,0.9873,0.0329,0.0791,0.3407,0.9873,0.9351
30,0.9845,0.9991,0.9845,0.9845,0.035,0.0817,0.3354,0.9845,1.0339
31,0.9812,0.9991,0.9812,0.9812,0.0385,0.086,0.3308,0.9812,1.0247
32,0.9795,0.9991,0.9795,0.9795,0.041,0.0895,0.3266,0.9795,0.9483
33,0.9782,0.9991,0.9782,0.9782,0.0429,0.0922,0.3242,0.9782,1.1316
34,0.9777,0.9991,0.9777,0.9777,0.0444,0.0944,0.3212,0.9776,0.971
35,0.9792,0.9991,0.9792,0.9792,0.0422,0.0908,0.3229,0.9792,1.0402
36,0.9825,0.9992,0.9825,0.9825,0.0382,0.0859,0.3242,0.9825,0.9839
37,0.9839,0.9992,0.9839,0.9839,0.0365,0.0834,0.3306,0.9839,0.9758
38,0.9829,0.9992,0.9829,0.9829,0.0389,0.0869,0.3269,0.9829,1.2028
39,0.9818,0.9992,0.9818,0.9818,0.0406,0.0894,0.3244,0.9818,1.0562
40,0.9801,0.9992,0.9801,0.9801,0.0428,0.0923,0.3229,0.98,0.9355
41,0.9822,0.9993,0.9822,0.9822,0.038,0.0847,0.3254,0.9822,1.0865
42,0.9834,0.9992,0.9834,0.9834,0.0362,0.0819,0.3288,0.9833,1.0013
43,0.9844,0.9992,0.9844,0.9844,0.0348,0.0798,0.3311,0.9843,1.238
44,0.9829,0.9993,0.9829,0.9829,0.0377,0.084,0.3273,0.9829,1.3348
45,0.9815,0.9993,0.9815,0.9815,0.0388,0.0855,0.325,0.9815,1.2206
46,0.9829,0.9993,0.9829,0.9829,0.0353,0.0797,0.3284,0.9829,1.3884
47,0.9842,0.9993,0.9842,0.9842,0.0333,0.0769,0.3323,0.9842,1.2146
48,0.9862,0.9994,0.9862,0.9862,0.0306,0.0729,0.3355,0.9862,1.3917
49,0.9871,0.9994,0.9871,0.9871,0.0291,0.0708,0.338,0.987,1.2437
50,0.9882,0.9994,0.9882,0.9882,0.0281,0.0694,0.3431,0.9882,1.5015
51,0.9893,0.9994,0.9893,0.9893,0.0269,0.0673,0.3456,0.9893,1.1683
