step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9443,0.9951,0.9443,0.9441,0.1016,0.1877,0.3214,0.9441,7.1617
1,0.9871,0.9985,0.9871,0.9871,0.0503,0.1318,0.5122,0.9871,7.0717
2,0.9883,0.9991,0.9883,0.9883,0.0458,0.1242,0.3851,0.9883,7.4667
3,0.993,0.9991,0.993,0.993,0.0439,0.1285,0.558,0.993,6.8975
4,0.9925,0.9991,0.9925,0.9925,0.0475,0.136,0.3862,0.9925,7.1364
5,0.9953,0.9993,0.9953,0.9953,0.041,0.1307,0.5571,0.9953,7.0017
6,0.9952,0.9994,0.9952,0.9952,0.0494,0.1481,0.4244,0.9952,6.9869
7,0.9959,0.9992,0.9959,0.9959,0.0506,0.1532,0.4693,0.9959,6.8273
8,0.9946,0.9992,0.9946,0.9946,0.0568,0.1647,0.5212,0.9946,6.6839
9,0.9956,0.9993,0.9956,0.9956,0.0665,0.1825,0.4085,0.9956,6.8221
10,0.996,0.9994,0.996,0.996,0.068,0.1868,0.4635,0.996,6.8544
11,0.9959,0.9995,0.9959,0.9959,0.0746,0.1982,0.4516,0.9959,7.0505
12,0.9962,0.9995,0.9962,0.9962,0.0755,0.2004,0.4789,0.9962,6.8277
13,0.9953,0.9996,0.9953,0.9953,0.0811,0.209,0.419,0.9953,6.796
14,0.9959,0.9996,0.9959,0.9959,0.0817,0.2106,0.4114,0.9959,6.8424
15,0.996,0.9996,0.996,0.996,0.0838,0.2151,0.4714,0.996,7.2506
16,0.9956,0.9996,0.9956,0.9956,0.0886,0.2225,0.4047,0.9956,7.0638
17,0.9964,0.9995,0.9964,0.9964,0.0899,0.2253,0.4191,0.9964,6.8126
18,0.9967,0.9995,0.9967,0.9967,0.09,0.2259,0.4274,0.9967,6.6098
19,0.9966,0.9995,0.9966,0.9966,0.0924,0.2302,0.4649,0.9966,6.9928
20,0.9967,0.9995,0.9967,0.9967,0.0938,0.2327,0.473,0.9967,7.1784
21,0.9967,0.9994,0.9967,0.9967,0.0988,0.2403,0.4453,0.9967,7.1655
22,0.9964,0.9995,0.9964,0.9964,0.1023,0.246,0.4644,0.9964,6.977
23,0.9964,0.9995,0.9964,0.9964,0.1045,0.2492,0.4772,0.9964,6.3982
24,0.9967,0.9996,0.9967,0.9967,0.1034,0.2478,0.4592,0.9967,7.3954
25,0.9969,0.9996,0.9969,0.9969,0.1025,0.2469,0.4855,0.9969,6.9084
26,0.9964,0.9996,0.9964,0.9964,0.1031,0.2479,0.4504,0.9964,7.4816
27,0.9966,0.9995,0.9966,0.9966,0.1037,0.2489,0.4562,0.9966,7.2455
28,0.9967,0.9996,0.9967,0.9967,0.1057,0.252,0.4518,0.9967,6.9579
29,0.9967,0.9995,0.9967,0.9967,0.1041,0.2499,0.4752,0.9967,7.2185
30,0.9966,0.9995,0.9966,0.9966,0.1037,0.2494,0.4488,0.9966,6.944
31,0.9969,0.9995,0.9969,0.9969,0.1035,0.2495,0.4742,0.9969,6.9445
32,0.9967,0.9996,0.9967,0.9967,0.1032,0.2493,0.4729,0.9967,7.0009
33,0.9969,0.9995,0.9969,0.9969,0.1031,0.249,0.5157,0.9969,6.9209
34,0.9969,0.9995,0.9969,0.9969,0.1025,0.2483,0.456,0.9969,6.4116
35,0.997,0.9995,0.997,0.997,0.1025,0.2485,0.4775,0.997,6.2183
36,0.9969,0.9996,0.9969,0.9969,0.1056,0.2531,0.449,0.9969,6.7543
37,0.997,0.9996,0.997,0.997,0.1022,0.2483,0.4893,0.997,6.7281
38,0.997,0.9996,0.997,0.997,0.1027,0.2491,0.4683,0.997,6.522
39,0.9972,0.9996,0.9972,0.9972,0.1029,0.2495,0.5022,0.9972,6.6613
40,0.997,0.9996,0.997,0.997,0.1,0.2456,0.4898,0.997,7.0814
41,0.9969,0.9996,0.9969,0.9969,0.0999,0.2454,0.4777,0.9969,6.9522
42,0.997,0.9996,0.997,0.997,0.0995,0.2449,0.5142,0.997,6.2579
43,0.9972,0.9996,0.9972,0.9972,0.0974,0.2416,0.4358,0.9972,7.1253
