step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9726,0.9979,0.9726,0.9725,0.0615,0.1355,0.4003,0.9725,4.2885
1,0.9925,0.9993,0.9925,0.9925,0.0444,0.1268,0.512,0.9925,4.7841
2,0.9839,0.9985,0.9839,0.9839,0.0576,0.1481,0.491,0.984,4.6813
3,0.9878,0.9988,0.9878,0.9878,0.064,0.1638,0.3883,0.9878,4.666
4,0.9909,0.9993,0.9909,0.9909,0.0544,0.152,0.5516,0.9909,4.3717
5,0.9923,0.9996,0.9923,0.9923,0.0668,0.1746,0.3686,0.9923,4.6142
6,0.9913,0.9993,0.9913,0.9913,0.0749,0.1907,0.3925,0.9913,4.8273
7,0.9937,0.9995,0.9937,0.9937,0.0744,0.1932,0.4463,0.9937,4.8012
8,0.9955,0.9996,0.9955,0.9954,0.0686,0.1859,0.4339,0.9954,4.5686
9,0.9963,0.9997,0.9963,0.9963,0.0674,0.1851,0.4563,0.9963,4.4321
10,0.9959,0.9995,0.9959,0.9959,0.0716,0.1925,0.4503,0.9959,4.6558
11,0.9959,0.9995,0.9959,0.9959,0.0755,0.1997,0.4897,0.9959,4.6426
12,0.9964,0.9995,0.9964,0.9964,0.0786,0.205,0.4215,0.9964,4.683
13,0.9967,0.9995,0.9967,0.9967,0.0811,0.2095,0.4582,0.9967,4.316
14,0.997,0.9995,0.997,0.997,0.0849,0.2158,0.4171,0.997,4.3847
15,0.9966,0.9995,0.9966,0.9966,0.0879,0.2209,0.4139,0.9966,4.6375
16,0.9963,0.9995,0.9963,0.9963,0.0929,0.2277,0.3885,0.9963,4.6067
17,0.9966,0.9995,0.9966,0.9966,0.0919,0.2273,0.4049,0.9966,4.4241
18,0.9962,0.9995,0.9962,0.9962,0.0914,0.2273,0.4248,0.9962,4.2878
19,0.9962,0.9995,0.9962,0.9962,0.0944,0.2321,0.4318,0.9962,4.7042
20,0.9966,0.9995,0.9966,0.9966,0.093,0.2303,0.4228,0.9966,4.5739
21,0.9964,0.9995,0.9964,0.9964,0.0926,0.2299,0.418,0.9964,4.6022
22,0.9967,0.9995,0.9967,0.9967,0.0949,0.234,0.4521,0.9967,4.313
23,0.9964,0.9996,0.9964,0.9964,0.1003,0.2413,0.411,0.9964,4.3266
24,0.9967,0.9996,0.9967,0.9967,0.0966,0.2369,0.4426,0.9967,4.5904
25,0.9964,0.9996,0.9964,0.9964,0.0975,0.2385,0.4395,0.9964,4.6838
26,0.9964,0.9996,0.9964,0.9964,0.0999,0.2419,0.4586,0.9964,4.5021
27,0.9966,0.9996,0.9966,0.9966,0.0997,0.2422,0.4683,0.9966,4.2611
28,0.9967,0.9996,0.9967,0.9967,0.1003,0.2432,0.4699,0.9967,4.5513
29,0.997,0.9996,0.997,0.997,0.1024,0.2465,0.4756,0.997,4.5744
30,0.9966,0.9996,0.9966,0.9966,0.1037,0.2487,0.484,0.9966,4.5286
31,0.9963,0.9996,0.9963,0.9963,0.1046,0.2502,0.5054,0.9963,4.2866
32,0.9969,0.9996,0.9969,0.9969,0.1038,0.2491,0.4645,0.9969,4.2995
33,0.9967,0.9997,0.9967,0.9967,0.1047,0.2506,0.4834,0.9967,4.848
34,0.9966,0.9997,0.9966,0.9966,0.1021,0.2471,0.5075,0.9966,4.8811
35,0.9967,0.9997,0.9967,0.9967,0.1021,0.2468,0.4661,0.9967,4.7565
36,0.997,0.9997,0.997,0.997,0.1015,0.2462,0.5012,0.997,4.3835
37,0.9967,0.9997,0.9967,0.9967,0.1023,0.2477,0.4582,0.9967,4.2996
38,0.9972,0.9997,0.9972,0.9972,0.1014,0.2465,0.4995,0.9972,4.594
39,0.997,0.9997,0.997,0.997,0.1003,0.2449,0.5086,0.997,4.7517
40,0.997,0.9997,0.997,0.997,0.1008,0.2457,0.495,0.997,4.7158
41,0.9972,0.9997,0.9972,0.9972,0.1006,0.2456,0.5144,0.9972,4.3554
42,0.997,0.9997,0.997,0.997,0.097,0.2404,0.4735,0.997,4.3852
43,0.997,0.9997,0.997,0.997,0.098,0.242,0.4655,0.997,4.5574
44,0.9972,0.9997,0.9972,0.9972,0.0973,0.2411,0.5036,0.9972,4.6694
45,0.9969,0.9997,0.9969,0.9969,0.0957,0.2385,0.4292,0.9969,4.4763
46,0.9969,0.9997,0.9969,0.9969,0.0947,0.2374,0.4692,0.9969,4.2693
47,0.9967,0.9997,0.9967,0.9967,0.0944,0.2369,0.4464,0.9967,4.2911
48,0.997,0.9997,0.997,0.997,0.0939,0.2362,0.4774,0.997,4.545
49,0.997,0.9997,0.997,0.997,0.0933,0.2353,0.4553,0.997,4.5424
50,0.9967,0.9997,0.9967,0.9967,0.0928,0.2347,0.4801,0.9967,4.6094
51,0.9967,0.9997,0.9967,0.9967,0.0914,0.2326,0.4475,0.9967,4.3386
52,0.997,0.9997,0.997,0.997,0.0909,0.2321,0.4736,0.997,4.3194
53,0.9969,0.9997,0.9969,0.9969,0.0902,0.231,0.45,0.9969,4.559
54,0.997,0.9997,0.997,0.997,0.0899,0.2307,0.4898,0.997,4.4831
55,0.9967,0.9997,0.9967,0.9967,0.0893,0.2295,0.436,0.9967,4.5704
56,0.9969,0.9997,0.9969,0.9969,0.0889,0.2293,0.4669,0.9969,4.2835
57,0.997,0.9997,0.997,0.997,0.0883,0.2283,0.4669,0.997,4.3089
58,0.997,0.9997,0.997,0.997,0.0878,0.2275,0.4783,0.997,4.5657
59,0.9967,0.9997,0.9967,0.9967,0.0875,0.2269,0.4431,0.9967,4.5796
