step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.8888,0.9761,0.8888,0.8879,0.3314,0.5191,0.3723,0.8886,0.0212
1,0.7695,0.9914,0.7695,0.757,0.3123,0.4831,0.9934,0.7702,0.193
2,0.9802,0.9979,0.9802,0.9802,0.1973,0.3682,0.373,0.9802,0.1514
3,0.9743,0.9976,0.9743,0.9743,0.2238,0.3971,0.3369,0.9742,0.2415
4,0.9835,0.998,0.9835,0.9835,0.2199,0.3957,0.4047,0.9835,0.2736
5,0.9889,0.9985,0.9889,0.9889,0.2001,0.3729,0.4641,0.9889,0.2159
6,0.9893,0.9987,0.9893,0.9893,0.2145,0.3904,0.4037,0.9893,0.2381
7,0.9923,0.9988,0.9923,0.9923,0.2015,0.3757,0.4142,0.9923,0.4379
8,0.9885,0.9984,0.9885,0.9885,0.2228,0.401,0.4446,0.9885,0.4437
9,0.9913,0.9987,0.9913,0.9913,0.2202,0.398,0.5343,0.9913,0.4862
10,0.9898,0.9987,0.9898,0.9898,0.2214,0.3991,0.4216,0.9898,0.5057
11,0.9902,0.9989,0.9902,0.9902,0.2182,0.3945,0.3895,0.9902,0.3325
12,0.9909,0.9983,0.9909,0.9909,0.2095,0.385,0.4958,0.9909,0.6047
13,0.9883,0.9986,0.9883,0.9883,0.2282,0.4072,0.4858,0.9884,0.3527
14,0.9898,0.9985,0.9898,0.9898,0.2304,0.4101,0.4338,0.9898,0.6959
15,0.992,0.9987,0.992,0.992,0.218,0.3954,0.4047,0.992,0.4165
16,0.9912,0.9988,0.9912,0.9912,0.2236,0.4021,0.4439,0.9912,0.7844
17,0.9909,0.9984,0.9909,0.9909,0.2172,0.3947,0.3916,0.9909,0.8399
18,0.9913,0.999,0.9913,0.9913,0.21,0.3866,0.4854,0.9913,0.4707
19,0.9915,0.9988,0.9915,0.9915,0.205,0.3803,0.5506,0.9915,0.9233
20,0.9942,0.9988,0.9942,0.9942,0.1927,0.3661,0.4398,0.9942,0.5154
21,0.9927,0.999,0.9927,0.9927,0.1995,0.3744,0.4521,0.9928,0.5474
22,0.9952,0.9993,0.9952,0.9952,0.1873,0.3596,0.4479,0.9952,1.0364
23,0.9943,0.9989,0.9943,0.9943,0.1884,0.3605,0.4386,0.9943,0.5994
24,0.9939,0.999,0.9939,0.9939,0.1739,0.3422,0.4094,0.9939,0.6169
25,0.9953,0.9992,0.9953,0.9953,0.1742,0.3427,0.4463,0.9953,1.1203
26,0.9949,0.999,0.9949,0.9949,0.171,0.3383,0.4017,0.9949,0.6264
27,0.9946,0.9984,0.9946,0.9946,0.175,0.3431,0.3775,0.9946,1.1958
28,0.9946,0.9988,0.9946,0.9946,0.1781,0.3467,0.396,0.9946,0.7056
29,0.9933,0.9989,0.9933,0.9933,0.1757,0.3438,0.3776,0.9933,0.7338
30,0.9953,0.9987,0.9953,0.9953,0.1616,0.3268,0.4248,0.9953,1.3718
31,0.9967,0.9994,0.9967,0.9967,0.1484,0.3089,0.3771,0.9967,1.4525
32,0.9952,0.999,0.9952,0.9952,0.1564,0.3209,0.4119,0.9952,1.5209
33,0.9962,0.9994,0.9962,0.9962,0.1497,0.3118,0.3959,0.9962,1.4639
34,0.9953,0.9991,0.9953,0.9953,0.1443,0.3044,0.457,0.9953,0.8249
35,0.9955,0.9991,0.9955,0.9955,0.1401,0.2985,0.4436,0.9955,0.8963
36,0.9956,0.9991,0.9956,0.9956,0.1398,0.2979,0.4499,0.9956,1.4835
37,0.9956,0.9989,0.9956,0.9956,0.129,0.2841,0.4459,0.9956,0.9341
38,0.9956,0.9993,0.9956,0.9956,0.1355,0.2919,0.3997,0.9956,1.6282
39,0.996,0.9992,0.996,0.996,0.1274,0.2812,0.4339,0.996,1.6934
40,0.9957,0.9994,0.9957,0.9957,0.1207,0.2721,0.4177,0.9957,1.7575
41,0.996,0.9991,0.996,0.996,0.1174,0.267,0.4351,0.996,0.9584
42,0.9966,0.9994,0.9966,0.9966,0.1156,0.2635,0.4293,0.9966,1.0125
43,0.996,0.9992,0.996,0.996,0.1182,0.2686,0.4196,0.996,1.0556
44,0.9957,0.9994,0.9957,0.9957,0.1177,0.2682,0.447,0.9957,1.9087
45,0.9963,0.999,0.9963,0.9963,0.1196,0.2698,0.4482,0.9963,2.1117
46,0.9962,0.9995,0.9962,0.9962,0.1146,0.2626,0.423,0.9962,2.1751
47,0.9967,0.9995,0.9967,0.9967,0.1161,0.266,0.4216,0.9967,2.2022
48,0.9962,0.9995,0.9962,0.9962,0.1044,0.2489,0.4338,0.9962,2.0938
49,0.9963,0.9992,0.9963,0.9963,0.1098,0.2563,0.413,0.9963,1.1831
50,0.9962,0.9991,0.9962,0.9962,0.1111,0.2583,0.4246,0.9962,2.1691
51,0.9964,0.9995,0.9964,0.9964,0.1034,0.2462,0.4383,0.9964,1.2655
52,0.9963,0.9992,0.9963,0.9963,0.0999,0.2411,0.4513,0.9963,2.2126
53,0.9959,0.9994,0.9959,0.9959,0.0979,0.2384,0.4148,0.9959,1.3834
54,0.9963,0.9993,0.9963,0.9963,0.0947,0.233,0.4325,0.9963,2.2254
55,0.9966,0.9994,0.9966,0.9966,0.0955,0.2348,0.4144,0.9966,2.59
