step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.9896,0.999,0.9896,0.9896,0.1268,0.2721,0.3708,0.9896,0.769
1,0.9922,0.9993,0.9922,0.9922,0.1027,0.2393,0.4909,0.9922,0.8664
2,0.9953,0.9995,0.9953,0.9953,0.0931,0.2255,0.4282,0.9953,0.9161
3,0.9953,0.9995,0.9953,0.9953,0.0817,0.2067,0.4356,0.9953,0.9456
4,0.996,0.9995,0.996,0.996,0.0712,0.1893,0.4757,0.996,0.9704
5,0.9942,0.9995,0.9942,0.9942,0.0678,0.1837,0.4674,0.9942,1.0209
6,0.9939,0.9995,0.9939,0.9939,0.0622,0.1731,0.4764,0.9939,1.0741
7,0.995,0.9996,0.995,0.995,0.061,0.1709,0.4549,0.995,1.1336
8,0.9955,0.9996,0.9955,0.9955,0.057,0.1636,0.4473,0.9955,1.1536
9,0.9962,0.9996,0.9962,0.9962,0.053,0.157,0.4795,0.9962,1.2023
10,0.9959,0.9995,0.9959,0.9959,0.0518,0.1541,0.4519,0.9959,1.2786
11,0.9957,0.9996,0.9957,0.9957,0.0508,0.1521,0.4504,0.9957,1.3755
12,0.9966,0.9997,0.9966,0.9966,0.0474,0.1451,0.4312,0.9966,1.4117
13,0.9957,0.9997,0.9957,0.9957,0.0483,0.1472,0.4385,0.9957,1.5609
14,0.996,0.9996,0.996,0.996,0.0457,0.1419,0.4334,0.996,1.86
15,0.996,0.9995,0.996,0.996,0.0452,0.1416,0.4385,0.996,1.8688
16,0.9964,0.9997,0.9964,0.9964,0.0434,0.1374,0.435,0.9965,1.9394
17,0.9962,0.9997,0.9962,0.9962,0.0439,0.1377,0.4208,0.9962,2.06
18,0.9962,0.9997,0.9962,0.9962,0.0419,0.1335,0.4162,0.9962,2.0522
19,0.9964,0.9996,0.9964,0.9964,0.0399,0.1291,0.4232,0.9964,1.9906
20,0.9962,0.9996,0.9962,0.9962,0.0401,0.1289,0.4081,0.9962,2.1022
21,0.9974,0.9997,0.9974,0.9974,0.0375,0.1236,0.4302,0.9974,2.1625
22,0.9967,0.9996,0.9967,0.9967,0.039,0.1271,0.4181,0.9967,2.1793
23,0.9969,0.9997,0.9969,0.9969,0.0363,0.1204,0.4377,0.9969,2.4568
24,0.996,0.9996,0.996,0.996,0.0387,0.1263,0.4307,0.996,2.3145
25,0.9962,0.9996,0.9962,0.9962,0.0369,0.1209,0.4146,0.9962,2.333
26,0.9962,0.9997,0.9962,0.9962,0.0361,0.1205,0.428,0.9962,2.8389
27,0.9963,0.9996,0.9963,0.9963,0.0359,0.1197,0.4464,0.9963,2.5001
28,0.9966,0.9996,0.9966,0.9966,0.0348,0.1172,0.4252,0.9966,2.6439
29,0.996,0.9995,0.996,0.996,0.0345,0.1156,0.4222,0.996,2.6619
30,0.9962,0.9996,0.9962,0.9962,0.0334,0.1132,0.4244,0.9962,2.7204
31,0.9967,0.9997,0.9967,0.9967,0.0332,0.1134,0.4276,0.9967,3.0793
32,0.9964,0.9996,0.9964,0.9964,0.0327,0.1124,0.4416,0.9964,3.065
