step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.0175
1,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.1722
2,0.4989,0.6734,0.4989,0.3336,0.5343,0.7289,1.0,0.5004,0.1264
3,0.7539,0.8526,0.7539,0.7481,0.4292,0.6212,0.7243,0.7543,0.1361
4,0.8073,0.9478,0.8073,0.8019,0.3836,0.5733,0.3385,0.8068,0.1332
5,0.5132,0.9204,0.5132,0.3595,0.449,0.6345,0.3188,0.5117,0.1357
6,0.7916,0.9224,0.7916,0.7855,0.3835,0.5727,0.3449,0.7911,0.1342
7,0.7156,0.9183,0.7156,0.6949,0.3837,0.5706,0.8639,0.7164,0.1363
8,0.6787,0.8709,0.6787,0.6481,0.4119,0.6008,0.8738,0.6795,0.1347
9,0.8345,0.9357,0.8345,0.8324,0.3528,0.5399,0.6496,0.8348,0.1373
10,0.8494,0.9622,0.8494,0.8469,0.3425,0.5291,0.3473,0.849,0.1394
11,0.8813,0.9582,0.8813,0.881,0.3204,0.5046,0.4085,0.8811,0.1451
12,0.909,0.9718,0.909,0.909,0.3238,0.5102,0.562,0.9091,0.1475
13,0.8564,0.9793,0.8564,0.8538,0.3203,0.5047,0.3367,0.856,0.1434
14,0.879,0.985,0.879,0.8774,0.2974,0.4789,0.3331,0.8787,0.1471
15,0.9263,0.9828,0.9263,0.9263,0.3016,0.4862,0.4185,0.9263,0.1451
16,0.9508,0.989,0.9508,0.9508,0.2792,0.462,0.4973,0.9508,0.1535
17,0.9529,0.9913,0.9529,0.9529,0.2725,0.454,0.6146,0.953,0.1533
18,0.9403,0.9939,0.9403,0.9401,0.2614,0.4399,0.7214,0.9404,0.1512
19,0.9434,0.9963,0.9434,0.9433,0.2491,0.4245,0.8633,0.9436,0.1535
20,0.976,0.9972,0.976,0.976,0.2431,0.4225,0.4765,0.9759,0.1518
21,0.9091,0.9917,0.9091,0.9086,0.2801,0.4597,0.8086,0.9094,0.1536
22,0.9144,0.9948,0.9144,0.9139,0.2601,0.4358,0.8544,0.9146,0.1606
23,0.877,0.995,0.877,0.8753,0.2745,0.4499,0.9251,0.8774,0.1607
24,0.9141,0.9968,0.9141,0.9135,0.2553,0.43,0.8724,0.9144,0.1631
25,0.8961,0.997,0.8961,0.895,0.2689,0.4438,0.9401,0.8964,0.1628
26,0.883,0.9942,0.883,0.8815,0.2725,0.4469,0.9183,0.8833,0.1633
27,0.8545,0.9971,0.8545,0.8515,0.2668,0.434,0.9786,0.855,0.1626
28,0.8918,0.9965,0.8918,0.8906,0.2593,0.431,0.9545,0.8921,0.162
29,0.965,0.9987,0.965,0.965,0.2194,0.3903,0.8354,0.9651,0.1718
30,0.9706,0.9987,0.9706,0.9706,0.222,0.395,0.8383,0.9706,0.1716
31,0.9815,0.9991,0.9815,0.9815,0.2076,0.3789,0.8358,0.9816,0.1718
32,0.9427,0.9984,0.9427,0.9425,0.2237,0.3917,0.8832,0.9429,0.1743
33,0.9613,0.9987,0.9613,0.9613,0.2294,0.4028,0.8995,0.9614,0.1754
34,0.9244,0.9985,0.9244,0.924,0.2412,0.4106,0.9588,0.9246,0.1785
35,0.9487,0.9992,0.9487,0.9486,0.2279,0.3978,0.9259,0.9488,0.1723
36,0.905,0.9983,0.905,0.9042,0.2442,0.4132,0.9385,0.9053,0.1772
37,0.9754,0.999,0.9754,0.9754,0.1905,0.3558,0.8701,0.9755,0.1739
38,0.9691,0.999,0.9691,0.9691,0.2112,0.3809,0.887,0.9692,0.172
39,0.9609,0.9988,0.9609,0.9609,0.2096,0.376,0.8974,0.961,0.1746
40,0.9849,0.9992,0.9849,0.9849,0.1916,0.3611,0.7662,0.985,0.1834
41,0.9771,0.9989,0.9771,0.9771,0.194,0.3606,0.8578,0.9772,0.1825
42,0.9721,0.9993,0.9721,0.9721,0.1877,0.3515,0.9013,0.9722,0.1816
43,0.9811,0.999,0.9811,0.9811,0.1669,0.3244,0.8431,0.9811,0.184
44,0.9747,0.9989,0.9747,0.9747,0.1942,0.3602,0.8698,0.9748,0.1852
45,0.9666,0.9988,0.9666,0.9666,0.2078,0.3747,0.9005,0.9667,0.1858
46,0.9704,0.999,0.9704,0.9704,0.185,0.3467,0.8473,0.9705,0.1866
47,0.9677,0.9991,0.9677,0.9677,0.1945,0.3589,0.857,0.9678,0.1826
48,0.979,0.9993,0.979,0.979,0.1768,0.3387,0.81,0.979,0.1909
49,0.9676,0.9989,0.9676,0.9676,0.1914,0.3554,0.9136,0.9677,0.1863
50,0.9787,0.9996,0.9787,0.9787,0.189,0.3526,0.9078,0.9787,0.1914
51,0.9784,0.9993,0.9784,0.9784,0.1895,0.3543,0.8766,0.9784,0.189
52,0.9842,0.9992,0.9842,0.9842,0.1791,0.3431,0.7849,0.9843,0.1897
53,0.9811,0.9993,0.9811,0.9811,0.1884,0.3536,0.8655,0.9811,0.1897
54,0.9859,0.999,0.9859,0.9859,0.1729,0.337,0.7323,0.986,0.1881
55,0.9892,0.9994,0.9892,0.9892,0.1778,0.3433,0.741,0.9892,0.1901
56,0.9916,0.9992,0.9916,0.9916,0.1674,0.3303,0.7341,0.9916,0.1808
57,0.9873,0.9995,0.9873,0.9873,0.1806,0.3455,0.841,0.9874,0.1815
58,0.9906,0.9995,0.9906,0.9906,0.1664,0.3285,0.7706,0.9906,0.18
59,0.9869,0.9994,0.9869,0.9869,0.177,0.3402,0.8271,0.987,0.1874
