step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.0182
1,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.1859
2,0.4992,0.9095,0.4992,0.3342,0.5023,0.6907,1.0,0.5007,0.1373
3,0.4986,0.9192,0.4986,0.333,0.517,0.7058,1.0,0.5001,0.1332
4,0.638,0.9049,0.638,0.5868,0.4241,0.6137,0.9889,0.639,0.1412
5,0.5025,0.9597,0.5025,0.3414,0.4535,0.6362,1.0,0.504,0.1398
6,0.553,0.9731,0.553,0.4432,0.4157,0.5946,1.0,0.5543,0.1431
7,0.5487,0.9334,0.5487,0.4352,0.4349,0.6213,0.9998,0.55,0.1372
8,0.9113,0.9785,0.9113,0.9111,0.3343,0.5225,0.6648,0.9114,0.1392
9,0.7907,0.9808,0.7907,0.7818,0.3447,0.528,0.9735,0.7913,0.1323
10,0.7707,0.974,0.7707,0.7585,0.3575,0.5429,0.9623,0.7713,0.1401
11,0.6663,0.9923,0.6663,0.6253,0.353,0.5292,0.999,0.6673,0.1412
12,0.5567,0.9866,0.5567,0.45,0.4035,0.5744,1.0,0.558,0.1384
13,0.825,0.9904,0.825,0.8197,0.3215,0.5033,0.9756,0.8255,0.1453
14,0.7097,0.9928,0.7097,0.6835,0.3387,0.5146,0.9954,0.7105,0.1392
15,0.7141,0.9858,0.7141,0.6892,0.3438,0.5203,0.996,0.7149,0.14
16,0.8626,0.997,0.8626,0.8601,0.3032,0.4827,0.986,0.8631,0.1503
17,0.8395,0.9961,0.8395,0.8354,0.316,0.4967,0.9914,0.8399,0.1496
18,0.8548,0.9943,0.8548,0.8519,0.319,0.502,0.9737,0.8553,0.1406
19,0.8187,0.9938,0.8187,0.8129,0.3161,0.4964,0.9737,0.8192,0.1342
20,0.8749,0.9968,0.8749,0.873,0.2913,0.4693,0.9853,0.8752,0.1499
21,0.8187,0.9953,0.8187,0.8128,0.3156,0.4954,0.9871,0.8192,0.1344
22,0.8152,0.9968,0.8152,0.8089,0.303,0.4782,0.9951,0.8157,0.1387
23,0.7962,0.997,0.7962,0.7877,0.3145,0.4916,0.9968,0.7969,0.1465
24,0.5854,0.9918,0.5854,0.5008,0.3801,0.5535,1.0,0.5866,0.146
25,0.5858,0.9962,0.5858,0.5015,0.3699,0.539,1.0,0.587,0.0605
26,0.6044,0.9806,0.6044,0.5324,0.3907,0.5717,0.9997,0.6056,0.0308
27,0.5992,0.9892,0.5992,0.5238,0.3767,0.5525,0.9998,0.6004,0.0338
28,0.6957,0.9961,0.6957,0.6654,0.3339,0.5046,0.9996,0.6966,0.0329
29,0.7163,0.9897,0.7163,0.6923,0.3494,0.5294,0.9972,0.7172,0.0328
30,0.7122,0.995,0.7122,0.6868,0.3366,0.5123,0.999,0.7131,0.0331
31,0.8383,0.996,0.8383,0.8342,0.3045,0.4814,0.9919,0.8388,0.0353
32,0.7126,0.9923,0.7126,0.6875,0.336,0.5104,0.9974,0.7135,0.0327
33,0.7141,0.9928,0.7141,0.6892,0.3316,0.5056,0.9965,0.7149,0.0367
34,0.7388,0.9937,0.7388,0.7202,0.3321,0.5084,0.9977,0.7396,0.0333
35,0.6204,0.9945,0.6204,0.5577,0.3537,0.5239,0.9998,0.6215,0.0372
36,0.6225,0.987,0.6225,0.5609,0.367,0.538,0.9995,0.6236,0.0356
37,0.6051,0.9898,0.6051,0.5336,0.3716,0.5428,0.9997,0.6063,0.0375
38,0.5342,0.994,0.5342,0.4072,0.3936,0.5591,1.0,0.5356,0.0346
39,0.5969,0.9953,0.5969,0.5201,0.3632,0.5313,0.9999,0.5981,0.0371
40,0.5331,0.9944,0.5331,0.405,0.3938,0.5604,1.0,0.5344,0.0347
41,0.566,0.9948,0.566,0.4672,0.3724,0.5393,0.9999,0.5673,0.0366
42,0.5358,0.9896,0.5358,0.4103,0.41,0.5793,1.0,0.5371,0.0377
43,0.5683,0.9936,0.5683,0.4711,0.3841,0.5506,1.0,0.5696,0.0398
44,0.5887,0.9899,0.5887,0.5063,0.3839,0.5479,0.9999,0.5899,0.0361
45,0.5177,0.9946,0.5177,0.3739,0.4091,0.5729,1.0,0.5191,0.0373
46,0.5911,0.9958,0.5911,0.5105,0.3589,0.5246,0.9999,0.5923,0.037
47,0.6996,0.9976,0.6996,0.6704,0.3176,0.4808,0.9995,0.7005,0.0376
48,0.8338,0.9978,0.8338,0.8293,0.2775,0.4427,0.9968,0.8343,0.0368
49,0.8471,0.9986,0.8471,0.8436,0.2726,0.4384,0.9971,0.8476,0.0377
50,0.6873,0.9983,0.6873,0.6542,0.3197,0.4843,0.9997,0.6883,0.0377
51,0.8319,0.9983,0.8319,0.8273,0.2728,0.4352,0.9975,0.8324,0.0404
52,0.7923,0.9982,0.7923,0.7832,0.2834,0.4443,0.9987,0.7929,0.0374
53,0.8106,0.999,0.8106,0.8038,0.278,0.4399,0.9988,0.8112,0.04
54,0.7688,0.9984,0.7688,0.7561,0.2878,0.4461,0.9994,0.7695,0.0384
