step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5015,0.5,0.5015,0.334,0.997,17.968,0.4985,0.5,6.3307
1,0.6835,0.7722,0.6835,0.6818,0.4552,0.6479,0.4369,0.6833,0.5083
2,0.5018,0.8996,0.5018,0.3399,0.4878,0.6764,1.0,0.5033,0.4839
3,0.5141,0.9277,0.5141,0.3664,0.464,0.65,1.0,0.5156,0.5257
4,0.6983,0.9077,0.6983,0.671,0.4212,0.6121,0.9677,0.6991,0.5315
5,0.6414,0.923,0.6414,0.5918,0.4164,0.6052,0.9879,0.6425,0.5068
6,0.8533,0.9456,0.8533,0.8523,0.3821,0.5728,0.7569,0.8535,0.5119
7,0.7823,0.9142,0.7823,0.7775,0.3867,0.5761,0.8485,0.7828,0.512
8,0.5184,0.944,0.5184,0.3755,0.4425,0.6253,1.0,0.5198,0.5376
9,0.6923,0.9235,0.6923,0.6623,0.3903,0.5755,0.9807,0.6932,0.5448
10,0.5622,0.9089,0.5622,0.4601,0.4437,0.6276,0.9996,0.5635,0.5105
11,0.5217,0.9086,0.5217,0.3821,0.4542,0.6367,1.0,0.5231,0.524
12,0.5325,0.9483,0.5325,0.4041,0.4382,0.6168,0.9999,0.5339,0.5128
13,0.5075,0.9242,0.5075,0.3522,0.4802,0.6616,1.0,0.5089,0.5482
14,0.4991,0.877,0.4991,0.3339,0.5276,0.7156,1.0,0.5006,0.5482
15,0.5048,0.947,0.5048,0.3464,0.4976,0.6768,1.0,0.5062,0.5545
16,0.5151,0.9642,0.5151,0.3685,0.4404,0.6188,1.0,0.5166,0.5524
17,0.5487,0.9881,0.5487,0.4352,0.4021,0.5733,1.0,0.55,0.5366
18,0.5665,0.9905,0.5665,0.4678,0.3889,0.5638,1.0,0.5678,0.5676
19,0.5592,0.9855,0.5592,0.4547,0.3972,0.5694,0.9999,0.5605,0.549
20,0.7035,0.9859,0.7035,0.6757,0.3536,0.5329,0.9973,0.7044,0.557
21,0.5625,0.9891,0.5625,0.4607,0.3896,0.5649,1.0,0.5638,0.5336
22,0.5626,0.9842,0.5626,0.4611,0.3948,0.5672,0.9999,0.5639,0.529
23,0.5935,0.9903,0.5935,0.5144,0.3757,0.5476,0.9999,0.5947,0.5781
24,0.5914,0.9916,0.5914,0.5109,0.3745,0.5473,1.0,0.5926,0.5852
25,0.511,0.9891,0.511,0.3598,0.4347,0.6052,1.0,0.5125,0.5795
26,0.5154,0.982,0.5154,0.3691,0.4366,0.6108,1.0,0.5169,0.5339
27,0.5171,0.9784,0.5171,0.3727,0.438,0.6088,1.0,0.5186,0.5431
28,0.6499,0.9922,0.6499,0.6021,0.3521,0.524,0.9996,0.651,0.564
29,0.629,0.9955,0.629,0.5711,0.3548,0.5228,0.9998,0.6301,0.5631
30,0.6083,0.986,0.6083,0.5385,0.3809,0.5514,0.9999,0.6094,0.5423
31,0.5827,0.9954,0.5827,0.4962,0.3731,0.5431,1.0,0.5839,0.5182
32,0.5818,0.9901,0.5818,0.4947,0.3801,0.5479,0.9999,0.5831,0.547
33,0.5469,0.9865,0.5469,0.4317,0.4069,0.577,1.0,0.5482,0.5574
34,0.5757,0.9923,0.5757,0.4842,0.3935,0.5628,1.0,0.577,0.5744
35,0.5248,0.9923,0.5248,0.3885,0.4212,0.5878,1.0,0.5262,0.5511
36,0.5439,0.9936,0.5439,0.426,0.3902,0.5513,1.0,0.5452,0.5299
37,0.5136,0.9899,0.5136,0.3652,0.4285,0.5947,1.0,0.515,0.5397
38,0.5287,0.9911,0.5287,0.3962,0.407,0.5709,1.0,0.5301,0.5433
39,0.539,0.991,0.539,0.4167,0.4025,0.568,1.0,0.5404,0.5587
40,0.5109,0.9936,0.5109,0.3595,0.4295,0.5928,1.0,0.5123,0.5568
41,0.5399,0.9952,0.5399,0.4183,0.3962,0.5586,1.0,0.5413,0.5479
42,0.5889,0.9951,0.5889,0.5068,0.3664,0.5269,1.0,0.5902,0.5624
43,0.596,0.9945,0.596,0.5187,0.3682,0.5349,1.0,0.5972,0.5437
44,0.5641,0.9932,0.5641,0.4635,0.3852,0.5509,1.0,0.5654,0.5613
45,0.6295,0.9977,0.6295,0.5716,0.3417,0.5035,1.0,0.6306,0.5481
46,0.5558,0.9948,0.5558,0.4484,0.3773,0.5438,1.0,0.5571,0.5368
47,0.6093,0.9936,0.6093,0.5401,0.3632,0.5318,0.9999,0.6104,0.5487
48,0.5645,0.9959,0.5645,0.4643,0.373,0.539,1.0,0.5658,0.5662
49,0.5237,0.9943,0.5237,0.3861,0.4043,0.5709,1.0,0.5251,0.5573
50,0.5747,0.9957,0.5747,0.4824,0.3689,0.5313,1.0,0.576,0.5463
51,0.5872,0.9952,0.5872,0.5041,0.3638,0.5271,1.0,0.5885,0.5711
52,0.6833,0.9973,0.6833,0.6488,0.3281,0.4911,0.9999,0.6843,0.5538
53,0.6292,0.9951,0.6292,0.5712,0.3557,0.5191,1.0,0.6303,0.5836
54,0.5734,0.9959,0.5734,0.4802,0.3783,0.5409,1.0,0.5747,0.5807
55,0.6671,0.9963,0.6671,0.6266,0.3363,0.5,0.9998,0.6681,0.5208
56,0.6359,0.9972,0.6359,0.5812,0.3398,0.5003,0.9999,0.6369,0.5524
57,0.6487,0.9952,0.6487,0.6001,0.3431,0.5053,1.0,0.6497,0.588
58,0.7155,0.9966,0.7155,0.691,0.3176,0.4804,0.9997,0.7163,0.5882
59,0.6369,0.9965,0.6369,0.5827,0.3494,0.5138,0.9999,0.6379,0.6123
