step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5015,0.5,0.5015,0.334,0.997,17.968,0.4985,0.5,6.8202
1,0.5015,0.5,0.5015,0.334,0.997,17.968,0.4985,0.5,0.5413
2,0.5015,0.8709,0.5015,0.334,0.5433,0.7357,0.3232,0.5,0.539
3,0.8348,0.9188,0.8348,0.8347,0.4024,0.594,0.545,0.8349,0.5359
4,0.6042,0.9538,0.6042,0.5305,0.4036,0.591,0.3196,0.603,0.5464
5,0.5422,0.9713,0.5422,0.4189,0.4076,0.5855,0.3164,0.5408,0.5624
6,0.512,0.955,0.512,0.357,0.4374,0.6168,0.3176,0.5106,0.5979
7,0.5238,0.9949,0.5238,0.3819,0.4003,0.5744,0.318,0.5224,0.6033
8,0.6138,0.9943,0.6138,0.545,0.354,0.5277,0.3167,0.6127,0.5547
9,0.6767,0.9898,0.6767,0.6383,0.3431,0.5182,0.3152,0.6757,0.5766
10,0.6369,0.9899,0.6369,0.5807,0.3496,0.5207,0.3149,0.6358,0.5578
11,0.7195,0.9923,0.7195,0.6952,0.3167,0.4892,0.3145,0.7186,0.6
12,0.6579,0.9903,0.6579,0.6117,0.3352,0.5001,0.3134,0.6569,0.5912
13,0.6147,0.9816,0.6147,0.5465,0.3648,0.5297,0.3129,0.6135,0.5936
14,0.5993,0.9906,0.5993,0.5214,0.3648,0.5264,0.3133,0.5981,0.5942
15,0.7125,0.9924,0.7125,0.6862,0.3145,0.4834,0.3146,0.7116,0.6257
16,0.8335,0.9921,0.8335,0.8289,0.2806,0.4518,0.3179,0.833,0.6806
17,0.9701,0.9979,0.9701,0.9701,0.2073,0.376,0.3403,0.9701,0.6751
18,0.9354,0.9878,0.9354,0.9354,0.2292,0.3987,0.3556,0.9354,0.5921
19,0.9447,0.9912,0.9447,0.9447,0.2287,0.3993,0.3542,0.9446,0.6127
20,0.9561,0.9955,0.9561,0.956,0.2211,0.391,0.3373,0.956,0.5505
21,0.9444,0.9933,0.9444,0.9443,0.2213,0.3896,0.3397,0.9443,0.5524
22,0.9791,0.9984,0.9791,0.9791,0.1854,0.3489,0.3471,0.9791,0.5783
23,0.9814,0.9977,0.9814,0.9814,0.1823,0.3458,0.3707,0.9814,0.6409
24,0.9612,0.9981,0.9612,0.9611,0.1909,0.3528,0.331,0.9611,0.6096
25,0.9555,0.998,0.9555,0.9554,0.1994,0.3614,0.3256,0.9554,0.6039
26,0.9775,0.9977,0.9775,0.9775,0.178,0.3396,0.3466,0.9775,0.6186
27,0.9775,0.998,0.9775,0.9775,0.1765,0.3377,0.3492,0.9775,0.6263
28,0.9784,0.9979,0.9784,0.9784,0.1807,0.3422,0.3425,0.9784,0.6028
29,0.9794,0.998,0.9794,0.9794,0.1803,0.3441,0.3543,0.9794,0.588
30,0.9842,0.9984,0.9842,0.9842,0.1832,0.3485,0.357,0.9842,0.5909
