step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.5922,0.9774,0.5922,0.5124,0.3903,0.5692,0.9993,0.5934,4.144
1,0.5117,0.9558,0.5117,0.3613,0.4805,0.6581,1.0,0.5132,4.2812
2,0.5083,0.9644,0.5083,0.354,0.4721,0.6432,1.0,0.5098,4.2763
3,0.513,0.9555,0.513,0.364,0.5052,0.6791,1.0,0.5145,4.505
4,0.5023,0.962,0.5023,0.3411,0.5103,0.686,1.0,0.5038,4.3657
5,0.6366,0.9965,0.6366,0.5823,0.3431,0.5027,0.9999,0.6377,4.1468
6,0.9097,0.999,0.9097,0.909,0.2289,0.3893,0.9907,0.91,4.1406
7,0.945,0.9991,0.945,0.9448,0.2157,0.376,0.9886,0.9451,4.1043
8,0.9359,0.999,0.9359,0.9356,0.2093,0.3688,0.9762,0.9361,3.9252
9,0.9413,0.9991,0.9413,0.9411,0.217,0.3794,0.982,0.9414,4.0684
10,0.9583,0.999,0.9583,0.9583,0.1818,0.3372,0.9547,0.9585,4.0678
11,0.9817,0.9993,0.9817,0.9817,0.1714,0.3302,0.9181,0.9817,4.0006
12,0.9845,0.9994,0.9845,0.9845,0.1701,0.3305,0.9214,0.9845,4.1233
13,0.9718,0.9995,0.9718,0.9718,0.1825,0.34,0.9707,0.9719,4.095
14,0.9868,0.9995,0.9868,0.9868,0.1618,0.3171,0.9459,0.9868,4.0146
15,0.9845,0.9994,0.9845,0.9845,0.1598,0.3147,0.9416,0.9845,4.158
16,0.9817,0.9996,0.9817,0.9817,0.1631,0.3167,0.9601,0.9817,4.274
17,0.9804,0.9993,0.9804,0.9804,0.1615,0.3128,0.9582,0.9804,5.0324
18,0.9881,0.9995,0.9881,0.9881,0.1416,0.291,0.9275,0.9881,4.7075
19,0.992,0.9994,0.992,0.992,0.1387,0.2898,0.9048,0.9921,4.1627
20,0.9882,0.9996,0.9882,0.9882,0.1433,0.2935,0.9301,0.9882,4.3145
21,0.9908,0.9996,0.9908,0.9908,0.1369,0.2849,0.9235,0.9908,4.4976
22,0.9892,0.9996,0.9892,0.9892,0.1441,0.2915,0.9541,0.9892,5.0411
23,0.9909,0.9995,0.9909,0.9909,0.1282,0.2741,0.8923,0.9909,4.7449
