step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.0247
1,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.1445
2,0.4999,0.7988,0.4999,0.3361,0.5,0.6915,1.0,0.5014,0.1478
3,0.7304,0.8307,0.7304,0.7278,0.4302,0.6222,0.6067,0.7307,0.1513
4,0.66,0.8857,0.66,0.6172,0.427,0.6179,0.3204,0.659,0.1531
5,0.8685,0.9683,0.8685,0.8674,0.374,0.5641,0.8049,0.8688,0.1517
6,0.7735,0.9644,0.7735,0.7624,0.3584,0.5446,0.3224,0.7729,0.1551
7,0.8699,0.9749,0.8699,0.8681,0.3453,0.5337,0.3575,0.8696,0.1541
8,0.8429,0.9875,0.8429,0.8392,0.3208,0.504,0.3229,0.8424,0.1549
9,0.914,0.9817,0.914,0.9136,0.3208,0.5078,0.3968,0.9138,0.1614
10,0.8901,0.9818,0.8901,0.8891,0.3166,0.5021,0.3491,0.8898,0.1561
11,0.8467,0.9965,0.8467,0.8429,0.3034,0.4859,0.3191,0.8463,0.158
12,0.8854,0.9948,0.8854,0.8838,0.3008,0.4844,0.3242,0.8851,0.1587
13,0.9167,0.9961,0.9167,0.9161,0.272,0.4521,0.3277,0.9164,0.1609
14,0.9649,0.994,0.9649,0.9649,0.2851,0.47,0.4675,0.9649,0.1647
15,0.9569,0.996,0.9569,0.9568,0.284,0.469,0.4001,0.9568,0.168
16,0.9362,0.9985,0.9362,0.9359,0.2637,0.4431,0.3249,0.936,0.1647
17,0.9831,0.9985,0.9831,0.9831,0.2484,0.4297,0.4337,0.9831,0.1726
18,0.9774,0.9973,0.9774,0.9774,0.2412,0.4206,0.4262,0.9774,0.1684
19,0.9751,0.9972,0.9751,0.9751,0.2491,0.4294,0.6166,0.9751,0.1662
20,0.9645,0.9988,0.9645,0.9644,0.2542,0.4327,0.9182,0.9646,0.1717
21,0.9855,0.9984,0.9855,0.9855,0.238,0.4179,0.6929,0.9855,0.1733
22,0.9827,0.9986,0.9827,0.9826,0.2261,0.404,0.505,0.9826,0.1719
23,0.9817,0.9986,0.9817,0.9817,0.2244,0.4016,0.4458,0.9816,0.1712
24,0.9716,0.9993,0.9716,0.9715,0.216,0.3898,0.3401,0.9715,0.1805
25,0.9844,0.9986,0.9844,0.9844,0.2229,0.4004,0.5026,0.9843,0.174
26,0.9791,0.9981,0.9791,0.9791,0.2218,0.3985,0.4939,0.9791,0.1746
27,0.9898,0.9992,0.9898,0.9898,0.2262,0.405,0.618,0.9898,0.1844
28,0.9836,0.9993,0.9836,0.9836,0.2148,0.391,0.3754,0.9836,0.18
29,0.9804,0.9985,0.9804,0.9804,0.2176,0.3934,0.3745,0.9803,0.1934
30,0.9835,0.9991,0.9835,0.9835,0.2052,0.3787,0.364,0.9835,0.192
31,0.9883,0.9991,0.9883,0.9883,0.2131,0.3891,0.4149,0.9883,0.1901
32,0.9765,0.9984,0.9765,0.9765,0.2061,0.3798,0.4742,0.9765,0.1947
33,0.9909,0.9995,0.9909,0.9909,0.208,0.3843,0.4088,0.9909,0.1835
34,0.9845,0.9988,0.9845,0.9845,0.2157,0.392,0.4171,0.9845,0.1864
35,0.9829,0.9983,0.9829,0.9829,0.2086,0.3825,0.5474,0.9829,0.1864
36,0.9903,0.9989,0.9903,0.9903,0.2066,0.3825,0.5052,0.9903,0.1906
37,0.9852,0.9993,0.9852,0.9852,0.1857,0.3561,0.4258,0.9852,0.1867
38,0.9936,0.9994,0.9936,0.9936,0.1957,0.3692,0.5945,0.9936,0.1862
39,0.9903,0.9993,0.9903,0.9903,0.1855,0.3561,0.5594,0.9903,0.1898
40,0.9922,0.9995,0.9922,0.9922,0.1894,0.3615,0.478,0.9922,0.1893
41,0.9933,0.9993,0.9933,0.9933,0.1865,0.3587,0.5499,0.9933,0.1925
42,0.9936,0.9995,0.9936,0.9936,0.197,0.3711,0.6363,0.9936,0.1915
43,0.9929,0.9995,0.9929,0.9929,0.1896,0.3614,0.6241,0.9929,0.1952
44,0.9932,0.9995,0.9932,0.9932,0.1757,0.3437,0.5865,0.9932,0.1905
45,0.9937,0.9995,0.9937,0.9937,0.1907,0.3627,0.6829,0.9937,0.1933
46,0.9903,0.9992,0.9903,0.9903,0.194,0.3656,0.6995,0.9903,0.1942
47,0.9903,0.9991,0.9903,0.9903,0.2039,0.3784,0.5931,0.9903,0.1983
48,0.9945,0.9997,0.9945,0.9945,0.1783,0.3484,0.5883,0.9945,0.1987
49,0.9915,0.9991,0.9915,0.9915,0.1904,0.3623,0.5299,0.9915,0.1975
50,0.9916,0.9995,0.9916,0.9916,0.1888,0.3612,0.4286,0.9916,0.2018
51,0.9927,0.9996,0.9927,0.9927,0.193,0.3662,0.4785,0.9927,0.2016
52,0.9926,0.9993,0.9926,0.9926,0.1988,0.3729,0.5152,0.9926,0.2009
53,0.9925,0.9995,0.9925,0.9925,0.1963,0.3696,0.7127,0.9925,0.2006
54,0.9927,0.9992,0.9927,0.9927,0.2057,0.3814,0.5508,0.9928,0.2055
55,0.9926,0.9994,0.9926,0.9926,0.1885,0.3606,0.4661,0.9926,0.2
56,0.9933,0.9994,0.9933,0.9933,0.1865,0.358,0.5764,0.9933,0.2039
57,0.9935,0.9995,0.9935,0.9935,0.1883,0.3605,0.5406,0.9935,0.2078
58,0.9942,0.9995,0.9942,0.9942,0.1837,0.355,0.5064,0.9942,0.2011
59,0.9932,0.9996,0.9932,0.9932,0.1873,0.3589,0.6336,0.9932,0.2094
