step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.0204
1,0.4985,0.5,0.4985,0.3327,1.003,18.0756,1.0,0.5,0.1146
2,0.5008,0.7782,0.5008,0.3377,0.4991,0.6906,1.0,0.5023,0.112
3,0.817,0.9462,0.817,0.8119,0.381,0.5704,0.3433,0.8165,0.1186
4,0.5754,0.9685,0.5754,0.4809,0.4032,0.5889,0.3192,0.5742,0.1266
5,0.8747,0.964,0.8747,0.8738,0.3604,0.5499,0.3702,0.8745,0.1233
6,0.7101,0.9852,0.7101,0.6833,0.3573,0.5413,0.3169,0.7092,0.1228
7,0.9192,0.9787,0.9192,0.9192,0.3209,0.5075,0.4442,0.9193,0.1262
8,0.93,0.9835,0.93,0.9299,0.3217,0.5094,0.5767,0.9302,0.1246
9,0.9583,0.9917,0.9583,0.9583,0.2769,0.4608,0.4973,0.9584,0.13
10,0.9591,0.9923,0.9591,0.959,0.2659,0.448,0.4924,0.9591,0.1248
11,0.9635,0.9963,0.9635,0.9634,0.2479,0.4275,0.3732,0.9634,0.1267
12,0.9728,0.9949,0.9728,0.9728,0.2395,0.4183,0.4678,0.9728,0.127
13,0.9751,0.9974,0.9751,0.9751,0.2415,0.4213,0.3699,0.9751,0.1233
14,0.9754,0.9969,0.9754,0.9754,0.2353,0.4144,0.4412,0.9754,0.1257
15,0.975,0.9979,0.975,0.975,0.232,0.4099,0.3865,0.9749,0.13
16,0.9845,0.9974,0.9845,0.9845,0.2418,0.4226,0.489,0.9845,0.1296
17,0.9851,0.998,0.9851,0.9851,0.2364,0.4166,0.5325,0.9851,0.1297
18,0.9851,0.9984,0.9851,0.9851,0.2313,0.4099,0.7273,0.9851,0.137
19,0.9836,0.9972,0.9836,0.9836,0.2123,0.3863,0.3836,0.9836,0.1502
20,0.9851,0.9979,0.9851,0.9851,0.2341,0.4133,0.5834,0.9851,0.1369
21,0.965,0.9977,0.965,0.965,0.2416,0.4194,0.3387,0.9649,0.1367
22,0.9738,0.9964,0.9738,0.9738,0.2475,0.4282,0.3985,0.9738,0.1389
23,0.975,0.9969,0.975,0.975,0.2388,0.4178,0.3754,0.9749,0.1395
24,0.9579,0.9961,0.9579,0.9579,0.238,0.4151,0.6594,0.958,0.1408
25,0.9866,0.9982,0.9866,0.9866,0.2167,0.3933,0.4734,0.9866,0.1409
26,0.9805,0.9973,0.9805,0.9805,0.2256,0.4028,0.4336,0.9805,0.1387
27,0.9929,0.9987,0.9929,0.9929,0.2067,0.3826,0.4428,0.9929,0.1434
28,0.9818,0.9979,0.9818,0.9818,0.2226,0.3984,0.3517,0.9818,0.139
29,0.9856,0.9981,0.9856,0.9856,0.2132,0.3885,0.4593,0.9856,0.1626
30,0.9888,0.998,0.9888,0.9888,0.218,0.3953,0.4297,0.9888,0.1411
31,0.9861,0.9986,0.9861,0.9861,0.2095,0.3837,0.3703,0.986,0.1406
32,0.9898,0.9985,0.9898,0.9898,0.1934,0.3654,0.3761,0.9898,0.1428
33,0.9889,0.9983,0.9889,0.9889,0.1989,0.3716,0.6201,0.9889,0.1436
34,0.9913,0.9983,0.9913,0.9913,0.1821,0.3523,0.4442,0.9913,0.1427
35,0.9933,0.9984,0.9933,0.9933,0.1921,0.3647,0.482,0.9933,0.1455
36,0.9906,0.9985,0.9906,0.9906,0.2135,0.39,0.3989,0.9906,0.1489
37,0.9926,0.9986,0.9926,0.9926,0.2078,0.3834,0.4213,0.9926,0.1467
38,0.9937,0.9988,0.9937,0.9937,0.1991,0.3737,0.5268,0.9937,0.1492
39,0.9915,0.9987,0.9915,0.9915,0.1945,0.3674,0.4165,0.9915,0.1526
40,0.9896,0.9984,0.9896,0.9896,0.2033,0.3771,0.3833,0.9896,0.1536
41,0.9918,0.9988,0.9918,0.9918,0.1958,0.3693,0.405,0.9917,0.1505
42,0.9939,0.9987,0.9939,0.9939,0.1982,0.3728,0.521,0.9939,0.1547
43,0.9929,0.9989,0.9929,0.9929,0.204,0.3792,0.5147,0.9929,0.1546
44,0.9922,0.9987,0.9922,0.9922,0.1948,0.3681,0.629,0.9922,0.1584
45,0.9927,0.9987,0.9927,0.9927,0.1933,0.3667,0.4505,0.9928,0.1574
46,0.9937,0.999,0.9937,0.9937,0.1882,0.3603,0.4543,0.9937,0.1567
47,0.9929,0.9987,0.9929,0.9929,0.1797,0.35,0.4238,0.9929,0.1567
48,0.9937,0.9986,0.9937,0.9937,0.1775,0.3473,0.4012,0.9937,0.1591
49,0.9915,0.9987,0.9915,0.9915,0.1791,0.3489,0.4718,0.9915,0.1583
50,0.9939,0.9989,0.9939,0.9939,0.1745,0.3429,0.5423,0.9939,0.1543
51,0.994,0.9988,0.994,0.994,0.1854,0.357,0.4541,0.994,0.1612
52,0.9946,0.9988,0.9946,0.9946,0.1822,0.3537,0.5051,0.9946,0.161
53,0.9923,0.9986,0.9923,0.9923,0.1883,0.3603,0.436,0.9923,0.1606
54,0.9918,0.9986,0.9918,0.9918,0.1882,0.3603,0.4855,0.9917,0.1637
55,0.9932,0.9988,0.9932,0.9932,0.1789,0.3487,0.5015,0.9932,0.1598
56,0.993,0.999,0.993,0.993,0.1793,0.3499,0.494,0.993,0.1614
57,0.9946,0.9988,0.9946,0.9946,0.1731,0.3422,0.4867,0.9946,0.1621
58,0.9909,0.9986,0.9909,0.9909,0.1886,0.3597,0.6972,0.9909,0.1657
59,0.9919,0.9988,0.9919,0.9919,0.1694,0.3364,0.5512,0.9919,0.1613
