step,accuracy,auroc,f1_micro,f1_macro,neg_brier_score,neg_log_loss,average_precision,balanced_accuracy,time
0,0.0758,0.5431,0.0758,0.0157,1.0865,32.5403,0.0479,0.0758,0.0377
1,0.0837,0.5521,0.0837,0.0225,1.077,31.8456,0.0617,0.0837,17.2069
2,0.0838,0.5525,0.0838,0.0201,1.0802,31.842,0.0624,0.0838,14.3259
3,0.0838,0.5525,0.0838,0.0198,1.0806,31.8418,0.0627,0.0838,16.0189
4,0.0915,0.5576,0.0915,0.0232,1.0783,31.488,0.071,0.0915,16.2769
5,0.1072,0.5799,0.1072,0.0383,1.0338,29.1558,0.0813,0.1072,16.3459
6,0.1107,0.5807,0.1107,0.0394,1.0326,29.146,0.086,0.1107,16.0701
7,0.1118,0.5862,0.1118,0.0415,1.0232,28.1722,0.0882,0.1118,15.929
8,0.1167,0.5868,0.1167,0.0467,1.0282,27.5354,0.0941,0.1167,16.9025
9,0.1122,0.587,0.1122,0.0448,1.0333,27.5375,0.0937,0.1122,14.7614
10,0.1159,0.5937,0.1159,0.0475,1.03,26.8797,0.098,0.1159,16.0423
11,0.1195,0.6009,0.1195,0.0552,1.0279,26.2211,0.1046,0.1195,16.3914
12,0.1175,0.5992,0.1175,0.0535,1.042,26.2332,0.1032,0.1175,15.9618
13,0.1251,0.6107,0.1251,0.0581,1.0228,25.2339,0.1132,0.1251,16.3787
14,0.1317,0.6185,0.1317,0.0631,1.0097,24.5675,0.1199,0.1317,16.2051
15,0.1319,0.618,0.1319,0.0625,1.0109,24.5701,0.1203,0.1319,14.3366
16,0.1358,0.6237,0.1358,0.0668,1.0038,24.2252,0.1272,0.1358,16.0396
17,0.1376,0.6231,0.1376,0.0671,1.0049,24.2251,0.1284,0.1376,16.2747
18,0.1364,0.6215,0.1364,0.0672,1.0152,24.2367,0.1262,0.1364,16.5246
19,0.1364,0.6215,0.1364,0.0665,1.0162,24.2369,0.1265,0.1364,16.3986
20,0.1476,0.6405,0.1476,0.078,0.9927,22.5919,0.1416,0.1476,16.8148
21,0.1482,0.6409,0.1482,0.0774,0.9919,22.5902,0.1417,0.1482,15.7622
22,0.1477,0.64,0.1477,0.0771,0.9938,22.5959,0.1418,0.1477,16.4353
23,0.147,0.6395,0.147,0.0774,0.9976,22.6009,0.1414,0.147,16.7344
24,0.1633,0.658,0.1633,0.0928,0.9735,21.2605,0.1629,0.1633,16.6319
25,0.168,0.6653,0.168,0.0981,0.9675,20.9133,0.169,0.168,16.6767
26,0.1664,0.6649,0.1664,0.0968,0.9721,20.9211,0.1679,0.1664,15.6962
27,0.1692,0.6672,0.1692,0.0996,0.9697,20.9054,0.1707,0.1692,16.8601
28,0.169,0.667,0.169,0.0991,0.9704,20.9066,0.1708,0.169,16.8278
29,0.1689,0.6677,0.1689,0.0999,0.9727,20.9058,0.1714,0.1689,17.1107
30,0.1712,0.6691,0.1712,0.1005,0.9685,20.8913,0.1747,0.1712,17.3988
31,0.1726,0.6695,0.1726,0.1007,0.9676,20.888,0.1753,0.1726,15.1678
32,0.1727,0.6717,0.1727,0.101,0.9684,20.8762,0.1764,0.1727,16.9736
33,0.1712,0.6713,0.1712,0.0987,0.9713,20.8827,0.1745,0.1712,17.5508
34,0.1785,0.674,0.1785,0.1024,0.962,20.8521,0.1832,0.1785,16.961
35,0.1806,0.674,0.1806,0.1051,0.9644,20.8487,0.1848,0.1806,17.469
36,0.182,0.6745,0.182,0.1065,0.9638,20.8432,0.1859,0.182,16.9304
37,0.1869,0.679,0.1869,0.1107,0.9609,20.5103,0.1933,0.1869,17.0551
38,0.1959,0.6843,0.1959,0.1198,0.9496,20.1588,0.2028,0.1959,17.6455
39,0.2076,0.6972,0.2076,0.1321,0.9347,19.1613,0.211,0.2076,17.3637
40,0.2073,0.7001,0.2073,0.1355,0.944,18.856,0.2124,0.2073,17.9987
41,0.2068,0.7,0.2068,0.1371,0.9527,18.8643,0.2132,0.2068,17.8437
42,0.2062,0.6998,0.2062,0.1371,0.9548,18.8663,0.213,0.2062,15.7862
43,0.2066,0.6996,0.2066,0.1377,0.9583,18.8708,0.2126,0.2066,17.8629
44,0.2083,0.7009,0.2083,0.1392,0.9554,18.8538,0.2168,0.2083,17.5704
45,0.2096,0.7007,0.2096,0.1396,0.9551,18.8538,0.2173,0.2096,18.5674
46,0.2112,0.7004,0.2112,0.1394,0.9533,18.8518,0.2188,0.2112,17.7899
47,0.2126,0.7011,0.2126,0.1418,0.9543,18.8447,0.2205,0.2126,16.9397
48,0.2124,0.7007,0.2124,0.1416,0.9559,18.85,0.22,0.2124,18.2595
49,0.2155,0.7015,0.2155,0.1435,0.954,18.8398,0.223,0.2155,17.9081
50,0.2169,0.7026,0.2169,0.1428,0.9565,18.8328,0.2237,0.2169,17.8096
51,0.2194,0.7031,0.2194,0.144,0.9547,18.827,0.2259,0.2194,17.7304
52,0.2197,0.7031,0.2197,0.1439,0.9538,18.8244,0.226,0.2197,16.5153
53,0.2207,0.7039,0.2207,0.1451,0.9519,18.8151,0.2278,0.2207,18.4898
54,0.2202,0.7049,0.2202,0.1466,0.9607,18.8215,0.2288,0.2202,18.4414
55,0.2303,0.7065,0.2303,0.1526,0.9495,18.7842,0.233,0.2303,18.0002
56,0.2298,0.7061,0.2298,0.1516,0.9499,18.7867,0.2331,0.2298,18.2255
57,0.2317,0.708,0.2317,0.154,0.9473,18.7665,0.2357,0.2317,17.8431
58,0.232,0.7103,0.232,0.1547,0.9474,18.4601,0.239,0.232,18.9225
59,0.2372,0.7143,0.2372,0.1627,0.943,18.1274,0.2459,0.2372,18.331
